Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,age at harvest,mouse genotype,tissue,GEO Accession
SRR13091557,6681977,334098850,50,203,SRX9537471,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP293462,PRJNA679768,37349305,"",SRS7743732,SAMN16845962,simple,10090,Mus musculus,GSM4916284,GEO,SRA1161831,05,2023,Fame,ChP-tagged mRNAs,AM_0: Adult-1 (P60) 9am TRAP,ChP-tagged mRNAs,60 days,FoxJ1:cre x bacTRAP (EGFP:L10a),choroid plexus (ChP),GSM4916284
SRR13091558,6561231,328061550,50,204,SRX9537471,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP293462,PRJNA679768,37349305,"",SRS7743732,SAMN16845962,simple,10090,Mus musculus,GSM4916284,GEO,SRA1161831,05,2023,Fame,ChP-tagged mRNAs,AM_0: Adult-1 (P60) 9am TRAP,ChP-tagged mRNAs,60 days,FoxJ1:cre x bacTRAP (EGFP:L10a),choroid plexus (ChP),GSM4916285
SRR13091559,9665276,483263800,50,290,SRX9537472,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP293462,PRJNA679768,37349305,"",SRS7743733,SAMN16845961,simple,10090,Mus musculus,GSM4916285,GEO,SRA1161831,05,2023,Fame,ChP-tagged mRNAs,AM_1: Adult-2 (P60) 9am TRAP,ChP-tagged mRNAs,60 days,FoxJ1:cre x bacTRAP (EGFP:L10a),choroid plexus (ChP),GSM4916286
SRR13091560,9499957,474997850,50,292,SRX9537472,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP293462,PRJNA679768,37349305,"",SRS7743733,SAMN16845961,simple,10090,Mus musculus,GSM4916285,GEO,SRA1161831,05,2023,Fame,ChP-tagged mRNAs,AM_1: Adult-2 (P60) 9am TRAP,ChP-tagged mRNAs,60 days,FoxJ1:cre x bacTRAP (EGFP:L10a),choroid plexus (ChP),GSM4916287
SRR13091561,6033675,301683750,50,182,SRX9537473,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP293462,PRJNA679768,37349305,"",SRS7743734,SAMN16845960,simple,10090,Mus musculus,GSM4916286,GEO,SRA1161831,05,2023,Fame,ChP-tagged mRNAs,AM_2: Adult-3 (P60) 9am TRAP,ChP-tagged mRNAs,60 days,FoxJ1:cre x bacTRAP (EGFP:L10a),choroid plexus (ChP),GSM4916288
SRR13091562,5935783,296789150,50,183,SRX9537473,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP293462,PRJNA679768,37349305,"",SRS7743734,SAMN16845960,simple,10090,Mus musculus,GSM4916286,GEO,SRA1161831,05,2023,Fame,ChP-tagged mRNAs,AM_2: Adult-3 (P60) 9am TRAP,ChP-tagged mRNAs,60 days,FoxJ1:cre x bacTRAP (EGFP:L10a),choroid plexus (ChP),GSM4916289
SRR13091563,7877496,393874800,50,235,SRX9537474,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP293462,PRJNA679768,37349305,"",SRS7743735,SAMN16845959,simple,10090,Mus musculus,GSM4916287,GEO,SRA1161831,05,2023,Fame,ChP-tagged mRNAs,SAM_0: Adult-1 (P60) 9am supernatant,ChP-tagged mRNAs,60 days,FoxJ1:cre x bacTRAP (EGFP:L10a),choroid plexus (ChP),GSM4916290
SRR13091564,7741717,387085850,50,237,SRX9537474,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP293462,PRJNA679768,37349305,"",SRS7743735,SAMN16845959,simple,10090,Mus musculus,GSM4916287,GEO,SRA1161831,05,2023,Fame,ChP-tagged mRNAs,SAM_0: Adult-1 (P60) 9am supernatant,ChP-tagged mRNAs,60 days,FoxJ1:cre x bacTRAP (EGFP:L10a),choroid plexus (ChP),GSM4916291
SRR13091565,6384123,319206150,50,188,SRX9537475,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP293462,PRJNA679768,37349305,"",SRS7743736,SAMN16845958,simple,10090,Mus musculus,GSM4916288,GEO,SRA1161831,05,2023,Fame,ChP-tagged mRNAs,SAM_1: Adult-2 (P60) 9am supernatant,ChP-tagged mRNAs,60 days,FoxJ1:cre x bacTRAP (EGFP:L10a),choroid plexus (ChP),GSM4916292
SRR13091566,6290297,314514850,50,190,SRX9537475,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP293462,PRJNA679768,37349305,"",SRS7743736,SAMN16845958,simple,10090,Mus musculus,GSM4916288,GEO,SRA1161831,05,2023,Fame,ChP-tagged mRNAs,SAM_1: Adult-2 (P60) 9am supernatant,ChP-tagged mRNAs,60 days,FoxJ1:cre x bacTRAP (EGFP:L10a),choroid plexus (ChP),GSM4916293
