Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,developmental stage,genotype,strain,experiment,GEO Accession
SRR10493411,253544244,18659792957,73,7203,SRX7182526,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP230603,PRJNA590361,1,"",SRS5688759,SAMN13325961,simple,10090,Mus musculus,GSM4176146,GEO,SRA998950,06,2020,Makar,mouse cortical neurons,WT.5EU1hr,mouse cortical neurons,DIV 14,wild type,FVB.129P2-Pde6b+ Tyrc-ch/AntJ,"RNA-seq of enriched 5EU labeled (1hr) mouse neuron RNA, with D melanogaster (5EU labeled) and S cerevisiae (unlabeled) as spike-in",GSM4176146
SRR10493412,252858124,18614859593,73,7177,SRX7182527,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP230603,PRJNA590361,1,"",SRS5688760,SAMN13325978,simple,10090,Mus musculus,GSM4176147,GEO,SRA998950,06,2020,Makar,mouse cortical neurons,WT.5EU20min,mouse cortical neurons,DIV 14,wild type,FVB.129P2-Pde6b+ Tyrc-ch/AntJ,"RNA-seq of enriched 5EU labeled (20min) mouse neuron RNA, with D melanogaster (5EU labeled) and S cerevisiae (unlabeled) as spike-in",GSM4176147
SRR10493413,77644371,5660181560,72,2191,SRX7182528,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP230603,PRJNA590361,1,"",SRS5688761,SAMN13325977,simple,10090,Mus musculus,GSM4176148,GEO,SRA998950,06,2020,Makar,mouse cortical neurons,WT.input.rep1,mouse cortical neurons,DIV 14,wild type,FVB.129P2-Pde6b+ Tyrc-ch/AntJ,"RNA-seq of unenriched mouse neuron RNA, with D melanogaster (5EU labeled) and S cerevisiae (unlabeled) as spike-in",GSM4176148
SRR10493414,133326988,9751979284,73,3696,SRX7182529,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP230603,PRJNA590361,1,"",SRS5688762,SAMN13325976,simple,10090,Mus musculus,GSM4176149,GEO,SRA998950,06,2020,Makar,mouse cortical neurons,WT.input.rep2,mouse cortical neurons,DIV 14,wild type,FVB.129P2-Pde6b+ Tyrc-ch/AntJ,"RNA-seq of unenriched mouse neuron RNA, with D melanogaster (5EU labeled) and S cerevisiae (unlabeled) as spike-in",GSM4176149
SRR10493415,55512254,4098590273,73,1545,SRX7182530,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP230603,PRJNA590361,1,"",SRS5688763,SAMN13325975,simple,10090,Mus musculus,GSM4176150,GEO,SRA998950,06,2020,Makar,mouse cortical neurons,WT.unlab,mouse cortical neurons,DIV 14,wild type,FVB.129P2-Pde6b+ Tyrc-ch/AntJ,"RNA-seq of enriched unlabeled mouse neuron RNA, with D melanogaster (5EU labeled) and S cerevisiae (unlabeled) as spike-in",GSM4176150
SRR10493416,229746230,16881154222,73,6334,SRX7182531,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP230603,PRJNA590361,1,"",SRS5688764,SAMN13325974,simple,10090,Mus musculus,GSM4176151,GEO,SRA998950,06,2020,Makar,mouse cortical neurons,FK.5EU1hr,mouse cortical neurons,DIV 14,Fmr1-KO,FVB.129P2-Pde6b+ Tyrc-ch/AntJ,"RNA-seq of enriched 5EU labeled (1hr) mouse neuron RNA, with D melanogaster (5EU labeled) and S cerevisiae (unlabeled) as spike-in",GSM4176151
SRR10493417,230234271,16904812543,73,6417,SRX7182532,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP230603,PRJNA590361,1,"",SRS5688765,SAMN13325973,simple,10090,Mus musculus,GSM4176152,GEO,SRA998950,06,2020,Makar,mouse cortical neurons,FK.5EU20min,mouse cortical neurons,DIV 14,Fmr1-KO,FVB.129P2-Pde6b+ Tyrc-ch/AntJ,"RNA-seq of enriched 5EU labeled (20min) mouse neuron RNA, with D melanogaster (5EU labeled) and S cerevisiae (unlabeled) as spike-in",GSM4176152
SRR10493418,84553235,6088006459,72,2352,SRX7182533,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP230603,PRJNA590361,1,"",SRS5688766,SAMN13325972,simple,10090,Mus musculus,GSM4176153,GEO,SRA998950,06,2020,Makar,mouse cortical neurons,FK.input.rep1,mouse cortical neurons,DIV 14,Fmr1-KO,FVB.129P2-Pde6b+ Tyrc-ch/AntJ,"RNA-seq of unenriched mouse neuron RNA, with D melanogaster (5EU labeled) and S cerevisiae (unlabeled) as spike-in",GSM4176153
SRR10493419,137261778,9877621551,71,3777,SRX7182534,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP230603,PRJNA590361,1,"",SRS5688767,SAMN13325970,simple,10090,Mus musculus,GSM4176154,GEO,SRA998950,06,2020,Makar,mouse cortical neurons,FK.input.rep2,mouse cortical neurons,DIV 14,Fmr1-KO,FVB.129P2-Pde6b+ Tyrc-ch/AntJ,"RNA-seq of unenriched mouse neuron RNA, with D melanogaster (5EU labeled) and S cerevisiae (unlabeled) as spike-in",GSM4176154
SRR10493420,51506637,3798832332,73,1403,SRX7182535,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP230603,PRJNA590361,1,"",SRS5688768,SAMN13325969,simple,10090,Mus musculus,GSM4176155,GEO,SRA998950,06,2020,Makar,mouse cortical neurons,FK.unlab,mouse cortical neurons,DIV 14,Fmr1-KO,FVB.129P2-Pde6b+ Tyrc-ch/AntJ,"RNA-seq of enriched unlabeled mouse neuron RNA, with D melanogaster (5EU labeled) and S cerevisiae (unlabeled) as spike-in",GSM4176155
