Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,growth media,type of stress,assayed molecule,substrain,GEO Accession
SRR2016456,36178395,1302422220,36,1457,SRX1023515,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP058200,PRJNA283800,26857681,"",SRS933232,SAMN03652524,simple,1403831,Escherichia coli str. K-12 substr. MC4100,GSM1680884,GEO,SRA267717,07,2015,Bartholomäus,"E. coli MC4100, LB",LB mRNA,"E. coli MC4100, LB",MC4100,LB,no,mRNA,MC4100,GSM1680884
SRR2016457,35352233,1272680388,36,1447,SRX1023516,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP058200,PRJNA283800,26857681,"",SRS933231,SAMN03652525,simple,1403831,Escherichia coli str. K-12 substr. MC4100,GSM1680885,GEO,SRA267717,07,2015,Bartholomäus,"E. coli MC4100, LB",LB RPF,"E. coli MC4100, LB",MC4100,LB,no,mRNA (ribosome protected),MC4100,GSM1680885
SRR2016458,36370635,1309342860,36,1482,SRX1023517,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP058200,PRJNA283800,26857681,"",SRS933230,SAMN03652526,simple,1403831,Escherichia coli str. K-12 substr. MC4100,GSM1680886,GEO,SRA267717,07,2015,Bartholomäus,"E. coli MC4100, heat",heat mRNA,"E. coli MC4100, heat",MC4100,LB,heat stress 7 min 47°C,mRNA,MC4100,GSM1680886
SRR2016459,35362647,1273055292,36,1445,SRX1023518,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP058200,PRJNA283800,26857681,"",SRS933229,SAMN03652527,simple,1403831,Escherichia coli str. K-12 substr. MC4100,GSM1680887,GEO,SRA267717,07,2015,Bartholomäus,"E. coli MC4100, heat",heat RPF,"E. coli MC4100, heat",MC4100,LB,heat stress 7 min 47°C,mRNA (ribosome protected),MC4100,GSM1680887
SRR2016460,30378855,1093638780,36,1185,SRX1023519,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP058200,PRJNA283800,26857681,"",SRS933228,SAMN03652528,simple,1403831,Escherichia coli str. K-12 substr. MC4100,GSM1680888,GEO,SRA267717,07,2015,Bartholomäus,"E. coli MC4100, MM",MM mRNA,"E. coli MC4100, MM",MC4100,"MM medium (12.8 g/l Na2HPO4×7H2O, 3 g/l KH2PO4, 1 g/l NH4Cl, 2 mM MgSO4, 0.1 mM CaCl2, 0.4% glucose)",No / MM medium,mRNA,MC4100,GSM1680888
SRR2016461,31494400,1133798400,36,1247,SRX1023520,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP058200,PRJNA283800,26857681,"",SRS933227,SAMN03652529,simple,1403831,Escherichia coli str. K-12 substr. MC4100,GSM1680889,GEO,SRA267717,07,2015,Bartholomäus,"E. coli MC4100, MM",MM RPF,"E. coli MC4100, MM",MC4100,"MM medium (12.8 g/l Na2HPO4×7H2O, 3 g/l KH2PO4, 1 g/l NH4Cl, 2 mM MgSO4, 0.1 mM CaCl2, 0.4% glucose)",No / MM medium,mRNA (ribosome protected),MC4100,GSM1680889
SRR2016462,33864109,1219107924,36,1372,SRX1023521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP058200,PRJNA283800,26857681,"",SRS933226,SAMN03652530,simple,1403831,Escherichia coli str. K-12 substr. MC4100,GSM1680890,GEO,SRA267717,07,2015,Bartholomäus,"E. coli MC4100, osm",osm mRNA,"E. coli MC4100, osm",MC4100,"MM medium (12.8 g/l Na2HPO4×7H2O, 3 g/l KH2PO4, 1 g/l NH4Cl, 2 mM MgSO4, 0.1 mM CaCl2, 0.4% glucose)",osmotic stress 20min,mRNA,MC4100,GSM1680890
SRR2016463,32997315,1187903340,36,1313,SRX1023522,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP058200,PRJNA283800,26857681,"",SRS933225,SAMN03652531,simple,1403831,Escherichia coli str. K-12 substr. MC4100,GSM1680891,GEO,SRA267717,07,2015,Bartholomäus,"E. coli MC4100, osm",osm RPF,"E. coli MC4100, osm",MC4100,"MM medium (12.8 g/l Na2HPO4×7H2O, 3 g/l KH2PO4, 1 g/l NH4Cl, 2 mM MgSO4, 0.1 mM CaCl2, 0.4% glucose)",osmotic stress 20min,mRNA (ribosome protected),MC4100,GSM1680891
SRR2016464,28528259,1027017324,36,1088,SRX1023523,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP058200,PRJNA283800,26857681,"",SRS933224,SAMN03652532,simple,1403831,Escherichia coli str. K-12 substr. MC4100,GSM1680892,GEO,SRA267717,07,2015,Bartholomäus,"E. coli MC4100, LB",LB mRNA biological replicate,"E. coli MC4100, LB",MC4100,LB,no,mRNA,MC4100,GSM1680892
SRR2016465,29770749,1071746964,36,1156,SRX1023524,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP058200,PRJNA283800,26857681,"",SRS933223,SAMN03652533,simple,1403831,Escherichia coli str. K-12 substr. MC4100,GSM1680893,GEO,SRA267717,07,2015,Bartholomäus,"E. coli MC4100, LB",LB RPF biological replicate,"E. coli MC4100, LB",MC4100,LB,no,mRNA (ribosome protected),MC4100,GSM1680893
