Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,GEO Accession
SRR2064017,134204905,6844450155,51,4546,SRX1059593,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059531,PRJNA287112,26599541,"",SRS961864,SAMN03776549,simple,9606,Homo sapiens,GSM1712271,GEO,SRA273059,11,2015,Tirosh,footprints uninfected fibroblasts,footprints uninfected fibroblasts,footprints uninfected fibroblasts,Primary fibroblasts,GSM1712271
SRR2064018,100619445,5131591695,51,3451,SRX1059594,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059531,PRJNA287112,26599541,"",SRS961863,SAMN03776550,simple,9606,Homo sapiens,GSM1712272,GEO,SRA273059,11,2015,Tirosh,footprints uninfected fibroblasts treated with type 1 interferon,footprints uninfected fibroblasts treated with type 1 interferon,footprints uninfected fibroblasts treated with type 1 interferon,Primary fibroblasts,GSM1712272
SRR2064019,81871314,4175437014,51,2843,SRX1059595,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059531,PRJNA287112,26599541,"",SRS961862,SAMN03776551,simple,9606,Homo sapiens,GSM1712273,GEO,SRA273059,11,2015,Tirosh,footprints fibroblasts infected with irradiated virus,footprints fibroblasts infected with irradiated virus,footprints fibroblasts infected with irradiated virus,Primary fibroblasts,GSM1712273
SRR2064020,92417958,4713315858,51,3144,SRX1059596,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059531,PRJNA287112,26599541,"",SRS961861,SAMN03776552,simple,9606,Homo sapiens,GSM1712274,GEO,SRA273059,11,2015,Tirosh,footprints fibroblasts infected for 5hr,footprints fibroblasts infected for 5hr,footprints fibroblasts infected for 5hr,Primary fibroblasts,GSM1712274
SRR2064021,42166791,2150506341,51,1486,SRX1059597,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059531,PRJNA287112,26599541,"",SRS961860,SAMN03776553,simple,9606,Homo sapiens,GSM1712275,GEO,SRA273059,11,2015,Tirosh,footprints fibroblasts infected for 12hr,footprints fibroblasts infected for 12hr,footprints fibroblasts infected for 12hr,Primary fibroblasts,GSM1712275
SRR2064022,40831102,2082386202,51,1471,SRX1059598,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059531,PRJNA287112,26599541,"",SRS961859,SAMN03776554,simple,9606,Homo sapiens,GSM1712276,GEO,SRA273059,11,2015,Tirosh,footprints fibroblasts infected for 24hr,footprints fibroblasts infected for 24hr,footprints fibroblasts infected for 24hr,Primary fibroblasts,GSM1712276
SRR2064023,77756301,3965571351,51,2682,SRX1059599,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059531,PRJNA287112,26599541,"",SRS961858,SAMN03776555,simple,9606,Homo sapiens,GSM1712277,GEO,SRA273059,11,2015,Tirosh,footprints fibroblasts infected for 72hr,footprints fibroblasts infected for 72hr,footprints fibroblasts infected for 72hr,Primary fibroblasts,GSM1712277
SRR2064024,96550206,4924060506,51,3446,SRX1059600,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059531,PRJNA287112,26599541,"",SRS961857,SAMN03776556,simple,9606,Homo sapiens,GSM1712278,GEO,SRA273059,11,2015,Tirosh,mRNA uninfected fibroblasts,mRNA uninfected fibroblasts,mRNA uninfected fibroblasts,Primary fibroblasts,GSM1712278
SRR2064025,108930717,5555466567,51,3783,SRX1059601,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059531,PRJNA287112,26599541,"",SRS961856,SAMN03776557,simple,9606,Homo sapiens,GSM1712279,GEO,SRA273059,11,2015,Tirosh,mRNA uninfected fibroblasts treated with type 1 interferon,mRNA uninfected fibroblasts treated with type 1 interferon,mRNA uninfected fibroblasts treated with type 1 interferon,Primary fibroblasts,GSM1712279
SRR2064026,147029163,7498487313,51,5126,SRX1059602,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059531,PRJNA287112,26599541,"",SRS961855,SAMN03776558,simple,9606,Homo sapiens,GSM1712280,GEO,SRA273059,11,2015,Tirosh,mRNA fibroblasts infected with irradiated virus,mRNA fibroblasts infected with irradiated virus,mRNA fibroblasts infected with irradiated virus,Primary fibroblasts,GSM1712280
