Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,common name,sample name,strain,Experimental Factor: RNA,Experimental Factor: time
ERR392516,6503233,318658417,49,196,ERX364700,E_pat1_0h_ribosome-protected RNA,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP004523,PRJEB5150,1,"",ERS387250,SAMEA2294210,simple,4896,Schizosaccharomyces pombe,SAMEA2294210,"Department of Biochemistry, University of Cambridge, UK",ERA279179,06,2014,Makar,"",pat1_0h,2014-06-03,2018-03-08,SAMEA2294210,"Department of Biochemistry, University of Cambridge, UK","Department of Biochemistry, University of Cambridge, UK",2014-06-03T17:04:08Z,2018-03-08T17:02:13Z,public,E-MTAB-2179:pat1_0h,ArrayExpress,fission yeast,E-MTAB-2179:pat1_0h,pat1 diploid,ribosome-protected RNA,0 hour
ERR392517,12183951,597013599,49,357,ERX364687,E_pat1_7h_ribosome-protected RNA,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP004523,PRJEB5150,1,"",ERS387244,SAMEA2294204,simple,4896,Schizosaccharomyces pombe,SAMEA2294204,"Department of Biochemistry, University of Cambridge, UK",ERA279179,06,2014,Makar,"",pat1_7h,2014-06-03,2018-03-08,SAMEA2294204,"Department of Biochemistry, University of Cambridge, UK","Department of Biochemistry, University of Cambridge, UK",2014-06-03T17:04:08Z,2018-03-08T17:02:04Z,public,E-MTAB-2179:pat1_7h,ArrayExpress,fission yeast,E-MTAB-2179:pat1_7h,pat1 diploid,ribosome-protected RNA,7 hour
ERR392519,14818793,726120857,49,410,ERX364688,E_pat1_3h_mRNA,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP004523,PRJEB5150,1,"",ERS387245,SAMEA2294205,simple,4896,Schizosaccharomyces pombe,SAMEA2294205,"Department of Biochemistry, University of Cambridge, UK",ERA279179,06,2014,Makar,"",pat1_3h,2014-06-03,2018-03-08,SAMEA2294205,"Department of Biochemistry, University of Cambridge, UK","Department of Biochemistry, University of Cambridge, UK",2014-06-03T17:04:08Z,2018-03-08T17:02:04Z,public,E-MTAB-2179:pat1_3h,ArrayExpress,fission yeast,E-MTAB-2179:pat1_3h,pat1 diploid,mRNA,3 hour
ERR392526,9970803,488569347,49,305,ERX364689,E_pat1_10h_mRNA,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP004523,PRJEB5150,1,"",ERS387246,SAMEA2294206,simple,4896,Schizosaccharomyces pombe,SAMEA2294206,"Department of Biochemistry, University of Cambridge, UK",ERA279179,06,2014,Makar,"",pat1_10h,2014-06-03,2018-03-08,SAMEA2294206,"Department of Biochemistry, University of Cambridge, UK","Department of Biochemistry, University of Cambridge, UK",2014-06-03T17:04:08Z,2018-03-08T17:02:04Z,public,E-MTAB-2179:pat1_10h,ArrayExpress,fission yeast,E-MTAB-2179:pat1_10h,pat1 diploid,mRNA,10 hour
ERR392522,9135447,447636903,49,281,ERX364690,E_pat1_veg_mRNA,RNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP004523,PRJEB5150,1,"",ERS387247,SAMEA2294207,simple,4896,Schizosaccharomyces pombe,SAMEA2294207,"Department of Biochemistry, University of Cambridge, UK",ERA279179,06,2014,Makar,"",pat1_veg,2014-06-03,2018-03-08,SAMEA2294207,"Department of Biochemistry, University of Cambridge, UK","Department of Biochemistry, University of Cambridge, UK",2014-06-03T17:04:08Z,2018-03-08T17:02:04Z,public,E-MTAB-2179:pat1_veg,ArrayExpress,fission yeast,E-MTAB-2179:pat1_veg,pat1 diploid,mRNA,-14 hour
ERR392523,6055255,296707495,49,188,ERX364691,E_pat1_veg_ribosome-protected RNA,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP004523,PRJEB5150,1,"",ERS387247,SAMEA2294207,simple,4896,Schizosaccharomyces pombe,SAMEA2294207,"Department of Biochemistry, University of Cambridge, UK",ERA279179,06,2014,Makar,"",pat1_veg,2014-06-03,2018-03-08,SAMEA2294207,"Department of Biochemistry, University of Cambridge, UK","Department of Biochemistry, University of Cambridge, UK",2014-06-03T17:04:08Z,2018-03-08T17:02:04Z,public,E-MTAB-2179:pat1_veg,ArrayExpress,fission yeast,E-MTAB-2179:pat1_veg,pat1 diploid,ribosome-protected RNA,-14 hour
ERR392528,10780232,528231368,49,314,ERX364692,E_pat1_5h_ribosome-protected RNA,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP004523,PRJEB5150,1,"",ERS387248,SAMEA2294208,simple,4896,Schizosaccharomyces pombe,SAMEA2294208,"Department of Biochemistry, University of Cambridge, UK",ERA279179,06,2014,Makar,"",pat1_5h,2014-06-03,2018-03-08,SAMEA2294208,"Department of Biochemistry, University of Cambridge, UK","Department of Biochemistry, University of Cambridge, UK",2014-06-03T17:04:08Z,2018-03-08T17:02:13Z,public,E-MTAB-2179:pat1_5h,ArrayExpress,fission yeast,E-MTAB-2179:pat1_5h,pat1 diploid,ribosome-protected RNA,5 hour
ERR392525,8457363,414410787,49,259,ERX364693,E_pat1_10h_ribosome-protected RNA,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP004523,PRJEB5150,1,"",ERS387246,SAMEA2294206,simple,4896,Schizosaccharomyces pombe,SAMEA2294206,"Department of Biochemistry, University of Cambridge, UK",ERA279179,06,2014,Makar,"",pat1_10h,2014-06-03,2018-03-08,SAMEA2294206,"Department of Biochemistry, University of Cambridge, UK","Department of Biochemistry, University of Cambridge, UK",2014-06-03T17:04:08Z,2018-03-08T17:02:04Z,public,E-MTAB-2179:pat1_10h,ArrayExpress,fission yeast,E-MTAB-2179:pat1_10h,pat1 diploid,ribosome-protected RNA,10 hour
ERR392515,8972293,439642357,49,275,ERX364694,E_pat1_1h_ribosome-protected RNA,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP004523,PRJEB5150,1,"",ERS387249,SAMEA2294209,simple,4896,Schizosaccharomyces pombe,SAMEA2294209,"Department of Biochemistry, University of Cambridge, UK",ERA279179,06,2014,Makar,"",pat1_1h,2014-06-03,2018-03-08,SAMEA2294209,"Department of Biochemistry, University of Cambridge, UK","Department of Biochemistry, University of Cambridge, UK",2014-06-03T17:04:08Z,2018-03-08T17:02:13Z,public,E-MTAB-2179:pat1_1h,ArrayExpress,fission yeast,E-MTAB-2179:pat1_1h,pat1 diploid,ribosome-protected RNA,1 hour
ERR392518,11000328,539016072,49,322,ERX364695,E_pat1_3h_ribosome-protected RNA,OTHER,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP004523,PRJEB5150,1,"",ERS387245,SAMEA2294205,simple,4896,Schizosaccharomyces pombe,SAMEA2294205,"Department of Biochemistry, University of Cambridge, UK",ERA279179,06,2014,Makar,"",pat1_3h,2014-06-03,2018-03-08,SAMEA2294205,"Department of Biochemistry, University of Cambridge, UK","Department of Biochemistry, University of Cambridge, UK",2014-06-03T17:04:08Z,2018-03-08T17:02:04Z,public,E-MTAB-2179:pat1_3h,ArrayExpress,fission yeast,E-MTAB-2179:pat1_3h,pat1 diploid,ribosome-protected RNA,3 hour
