Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,GEO Accession
SRR389606,21148773,845950920,40,504,SRX111550,GSM849109: loc1_RNAseq,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP009836,PRJNA156379,1,"",SRS282444,SAMN00765537,simple,4932,Saccharomyces cerevisiae,GSM849109,GEO,SRA048650,01,2014,Makar,loc1- cells (BY4741 loc1::KAN),loc1_RNAseq,loc1- cells (BY4741 loc1::KAN),BY4741 loc1::KAN,Whole-cell total RNA prep,GSM849109
SRR389607,16227892,811394600,50,482,SRX111550,GSM849109: loc1_RNAseq,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP009836,PRJNA156379,1,"",SRS282444,SAMN00765537,simple,4932,Saccharomyces cerevisiae,GSM849109,GEO,SRA048650,01,2014,Makar,loc1- cells (BY4741 loc1::KAN),loc1_RNAseq,Wild-type cells (BY4741),BY4741,Whole-cell total RNA prep,GSM849110
SRR389608,24885524,1244276200,50,758,SRX111550,GSM849109: loc1_RNAseq,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP009836,PRJNA156379,1,"",SRS282444,SAMN00765537,simple,4932,Saccharomyces cerevisiae,GSM849109,GEO,SRA048650,01,2014,Makar,loc1- cells (BY4741 loc1::KAN),loc1_RNAseq,loc1- cells (BY4741 loc1::KAN),BY4741 loc1::KAN,Isolation of ribosome footprint RNAs,GSM849111
SRR389609,22574685,902987400,40,423,SRX111551,GSM849110: WT_RNAseq,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP009836,PRJNA156379,1,"",SRS282445,SAMN00765538,simple,4932,Saccharomyces cerevisiae,GSM849110,GEO,SRA048650,01,2014,Makar,Wild-type cells (BY4741),WT_RNAseq,Wild-type cells (BY4741),BY4741,Isolation of ribosome footprint RNAs,GSM849112
SRR389610,15502361,775118050,50,462,SRX111551,GSM849110: WT_RNAseq,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP009836,PRJNA156379,1,"",SRS282445,SAMN00765538,simple,4932,Saccharomyces cerevisiae,GSM849110,GEO,SRA048650,01,2014,Makar,Wild-type cells (BY4741),WT_RNAseq,loc1- cells (BY4741 loc1::KAN),BY4741 loc1::KAN,Whole-cell total RNA prep,GSM849109
SRR389611,15590308,779515400,50,481,SRX111551,GSM849110: WT_RNAseq,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP009836,PRJNA156379,1,"",SRS282445,SAMN00765538,simple,4932,Saccharomyces cerevisiae,GSM849110,GEO,SRA048650,01,2014,Makar,Wild-type cells (BY4741),WT_RNAseq,Wild-type cells (BY4741),BY4741,Whole-cell total RNA prep,GSM849110
SRR389612,22363895,961647485,43,558,SRX111552,GSM849111: loc1_riboProfiling,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP009836,PRJNA156379,1,"",SRS282446,SAMN00765539,simple,4932,Saccharomyces cerevisiae,GSM849111,GEO,SRA048650,01,2014,Makar,loc1- cells (BY4741 loc1::KAN),loc1_riboProfiling,loc1- cells (BY4741 loc1::KAN),BY4741 loc1::KAN,Isolation of ribosome footprint RNAs,GSM849111
SRR389613,21130684,1056534200,50,592,SRX111552,GSM849111: loc1_riboProfiling,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP009836,PRJNA156379,1,"",SRS282446,SAMN00765539,simple,4932,Saccharomyces cerevisiae,GSM849111,GEO,SRA048650,01,2014,Makar,loc1- cells (BY4741 loc1::KAN),loc1_riboProfiling,Wild-type cells (BY4741),BY4741,Isolation of ribosome footprint RNAs,GSM849112
SRR389614,18580228,929011400,50,552,SRX111552,GSM849111: loc1_riboProfiling,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP009836,PRJNA156379,1,"",SRS282446,SAMN00765539,simple,4932,Saccharomyces cerevisiae,GSM849111,GEO,SRA048650,01,2014,Makar,loc1- cells (BY4741 loc1::KAN),loc1_riboProfiling,loc1- cells (BY4741 loc1::KAN),BY4741 loc1::KAN,Whole-cell total RNA prep,GSM849109
SRR389615,23023680,920947200,40,431,SRX111553,GSM849112: WT_riboProfiling,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP009836,PRJNA156379,1,"",SRS282447,SAMN00765540,simple,4932,Saccharomyces cerevisiae,GSM849112,GEO,SRA048650,01,2014,Makar,Wild-type cells (BY4741),WT_riboProfiling,Wild-type cells (BY4741),BY4741,Whole-cell total RNA prep,GSM849110
SRR389616,22479469,1123973450,50,646,SRX111553,GSM849112: WT_riboProfiling,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP009836,PRJNA156379,1,"",SRS282447,SAMN00765540,simple,4932,Saccharomyces cerevisiae,GSM849112,GEO,SRA048650,01,2014,Makar,Wild-type cells (BY4741),WT_riboProfiling,loc1- cells (BY4741 loc1::KAN),BY4741 loc1::KAN,Isolation of ribosome footprint RNAs,GSM849111
SRR389617,26626727,1331336350,50,791,SRX111553,GSM849112: WT_riboProfiling,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP009836,PRJNA156379,1,"",SRS282447,SAMN00765540,simple,4932,Saccharomyces cerevisiae,GSM849112,GEO,SRA048650,01,2014,Makar,Wild-type cells (BY4741),WT_riboProfiling,Wild-type cells (BY4741),BY4741,Isolation of ribosome footprint RNAs,GSM849112
