Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,stimulated,libraryprepmethod,experiment type
SRR17694828,9327498,373099920,40,148,SRX13857969,GSM5830080,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732898,SAMN25159670,simple,10090,Mus musculus,GSM5830080,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 14,cntrb_RNA: BDNF and glugly stim control RNA,cortical culture DIV 14,cortical culture DIV 14,No,RNA-seq,BDNF/Glugly experiment
SRR17694827,10075047,403001880,40,186,SRX13857970,GSM5830081,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732900,SAMN25159669,simple,10090,Mus musculus,GSM5830081,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 14,bdnfs_RNA: BDNF stim RNA,cortical culture DIV 14,cortical culture DIV 14,Yes,RNA-seq,BDNF/Glugly experiment
SRR17694826,9724939,388997560,40,154,SRX13857971,GSM5830082,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732899,SAMN25159668,simple,10090,Mus musculus,GSM5830082,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 14,glugl_RNA: Glugly stim RNA,cortical culture DIV 14,cortical culture DIV 14,Yes,RNA-seq,BDNF/Glugly experiment
SRR17694825,10971489,438859560,40,170,SRX13857972,GSM5830083,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732901,SAMN25159667,simple,10090,Mus musculus,GSM5830083,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 14,cntrb_RPF: BDNF and glugly stim control RPF,cortical culture DIV 14,cortical culture DIV 14,No,Ribosome profiling,BDNF/Glugly experiment
SRR17694824,9558506,382340240,40,148,SRX13857973,GSM5830084,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732902,SAMN25159666,simple,10090,Mus musculus,GSM5830084,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 14,bdnfs_RPF: BDNF stim RPF,cortical culture DIV 14,cortical culture DIV 14,Yes,Ribosome profiling,BDNF/Glugly experiment
SRR17694823,8274279,330971160,40,129,SRX13857974,GSM5830085,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732904,SAMN25159665,simple,10090,Mus musculus,GSM5830085,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 14,glugl_RPF: Glugly stim RPF,cortical culture DIV 14,cortical culture DIV 14,Yes,Ribosome profiling,BDNF/Glugly experiment
SRR17694822,25366413,1014656520,40,397,SRX13857975,GSM5830086,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732903,SAMN25159664,simple,10090,Mus musculus,GSM5830086,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 10,cntrk_RNA: KCl stim control RNA,cortical culture DIV 10,cortical culture DIV 10,No,RNA-seq,KCl experiment
SRR17694821,9974447,398977880,40,158,SRX13857976,GSM5830087,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732905,SAMN25159663,simple,10090,Mus musculus,GSM5830087,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 10,kcl10_RNA: KCl stim 10 min RNA,cortical culture DIV 10,cortical culture DIV 10,Yes,RNA-seq,KCl experiment
SRR17694820,25964442,1038577680,40,409,SRX13857977,GSM5830088,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732907,SAMN25159662,simple,10090,Mus musculus,GSM5830088,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 10,kcl30_RNA: KCl stim 30 min RNA,cortical culture DIV 10,cortical culture DIV 10,Yes,RNA-seq,KCl experiment
SRR17694819,27844508,1113780320,40,427,SRX13857978,GSM5830089,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732906,SAMN25159661,simple,10090,Mus musculus,GSM5830089,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 10,cntrk_RPF: KCl stim control RPF,cortical culture DIV 10,cortical culture DIV 10,No,Ribosome profiling,KCl experiment
SRR17694818,18869785,754791400,40,292,SRX13857979,GSM5830090,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732908,SAMN25159660,simple,10090,Mus musculus,GSM5830090,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 10,kcl10_RPF: KCl stim 10 min RPF,cortical culture DIV 10,cortical culture DIV 10,Yes,Ribosome profiling,KCl experiment
SRR17694817,12034188,481367520,40,209,SRX13857980,GSM5830091,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732910,SAMN25159659,simple,10090,Mus musculus,GSM5830091,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 10,kcl30_RPF: KCl stim 30 min RPF,cortical culture DIV 10,cortical culture DIV 10,Yes,Ribosome profiling,KCl experiment
SRR17694816,32602065,1304082600,40,905,SRX13857981,GSM5830092,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732909,SAMN25159658,simple,10090,Mus musculus,GSM5830092,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,Adult hippocampus,aduhp_RNA: Adult hippocampus tissue RNA,Adult hippocampus,Adult hippocampus,NA,RNA-seq,Tissue dissection
SRR17694815,27942796,1117711840,40,781,SRX13857982,GSM5830093,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732911,SAMN25159657,simple,10090,Mus musculus,GSM5830093,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,Embryonic hippocampus,embhp_RNA: Embryonic hippocampus tissue RNA,Embryonic hippocampus,Embryonic hippocampus,NA,RNA-seq,Tissue dissection
SRR17694814,48513572,1940542880,40,1366,SRX13857983,GSM5830094,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732913,SAMN25159656,simple,10090,Mus musculus,GSM5830094,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,Adult hippocampus,aduhp_RPF: Adult hippocampus tissue RPF,Adult hippocampus,Adult hippocampus,NA,Ribosome profiling,Tissue dissection
SRR17694813,57338390,2293535600,40,1613,SRX13857984,GSM5830095,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732912,SAMN25159655,simple,10090,Mus musculus,GSM5830095,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,Embryonic hippocampus,embhp_RPF: Embryonic hippocampus tissue RPF,Embryonic hippocampus,Embryonic hippocampus,NA,Ribosome profiling,Tissue dissection
SRR17694812,23034569,921382760,40,362,SRX13857985,GSM5830096,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732914,SAMN25159654,simple,10090,Mus musculus,GSM5830096,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,Adult cortex,aduco_RNA: Adult cortex tissue RNA,Adult cortex,Adult cortex,NA,RNA-seq,Tissue dissection
SRR17694811,18065716,722628640,40,282,SRX13857986,GSM5830097,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732916,SAMN25159653,simple,10090,Mus musculus,GSM5830097,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,Adult cortex,aduco_RPF: Adult cortex tissue RPF,Adult cortex,Adult cortex,NA,Ribosome profiling,Tissue dissection
SRR17694810,9697479,387899160,40,153,SRX13857987,GSM5830098,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP356162,PRJNA799348,35273099,"",SRS11732915,SAMN25159652,simple,10090,Mus musculus,GSM5830098,"David Bartel, Biology, Whitehead Institute for Biomedical Research",SRA1360213,03,2022,Eisen,cortical culture DIV 14,gfpRNA: GFP transduced cortical culture RNA,cortical culture DIV 14,cortical culture DIV 14,NA,RNA-seq,microRNA experiment
