Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,age
SRR22969817,35723464,10717039200,150,4074,SRX18926205,GSM6915721,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP415790,PRJNA918384,1,"",SRS16351692,SAMN32576287,simple,7955,Danio rerio,GSM6915721,Beijing Institute of Genomics (BIG) of Chinese Academy of Sciences (CAS),SRA1569390,02,2023,Makar,Ribo-seq_wt+lowdoseMO_8h_replicate_1,Ribo-seq_wt+lowdoseMO_8h_replicate_1,Ribo-seq_wt+lowdoseMO_8h_replicate_1,zebrafish embryos,wild type,8 hpf
SRR22969816,35697344,10709203200,150,4039,SRX18926206,GSM6915722,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP415790,PRJNA918384,1,"",SRS16351693,SAMN32576286,simple,7955,Danio rerio,GSM6915722,Beijing Institute of Genomics (BIG) of Chinese Academy of Sciences (CAS),SRA1569390,02,2023,Makar,Ribo-seq_wt+lowdoseMO_8h_replicate_2,Ribo-seq_wt+lowdoseMO_8h_replicate_2,Ribo-seq_wt+lowdoseMO_8h_replicate_2,zebrafish embryos,wild type,8 hpf
SRR22969815,40946913,12284073900,150,4629,SRX18926207,GSM6915723,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP415790,PRJNA918384,1,"",SRS16351694,SAMN32576285,simple,7955,Danio rerio,GSM6915723,Beijing Institute of Genomics (BIG) of Chinese Academy of Sciences (CAS),SRA1569390,02,2023,Makar,Ribo-seq_cpeb1bmutant+lowdoseMO_8h_replicate_1,Ribo-seq_cpeb1bmutant+lowdoseMO_8h_replicate_1,Ribo-seq_cpeb1bmutant+lowdoseMO_8h_replicate_1,zebrafish embryos,cpeb1b mutant,8 hpf
SRR22969814,36341685,10902505500,150,4191,SRX18926208,GSM6915724,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP415790,PRJNA918384,1,"",SRS16351695,SAMN32576284,simple,7955,Danio rerio,GSM6915724,Beijing Institute of Genomics (BIG) of Chinese Academy of Sciences (CAS),SRA1569390,02,2023,Makar,Ribo-seq_cpeb1bmutant+lowdoseMO_8h_replicate_2,Ribo-seq_cpeb1bmutant+lowdoseMO_8h_replicate_2,Ribo-seq_cpeb1bmutant+lowdoseMO_8h_replicate_2,zebrafish embryos,cpeb1b mutant,8 hpf
SRR22969813,36377523,10913256900,150,4131,SRX18926209,GSM6915725,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP415790,PRJNA918384,1,"",SRS16351696,SAMN32576283,simple,7955,Danio rerio,GSM6915725,Beijing Institute of Genomics (BIG) of Chinese Academy of Sciences (CAS),SRA1569390,02,2023,Makar,Ribo-seq_wt+lowdoseMO_16h_replicate_1,Ribo-seq_wt+lowdoseMO_16h_replicate_1,Ribo-seq_wt+lowdoseMO_16h_replicate_1,zebrafish embryos,wild type,16 hpf
SRR22969812,35439105,10631731500,150,4079,SRX18926210,GSM6915726,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP415790,PRJNA918384,1,"",SRS16351697,SAMN32576282,simple,7955,Danio rerio,GSM6915726,Beijing Institute of Genomics (BIG) of Chinese Academy of Sciences (CAS),SRA1569390,02,2023,Makar,Ribo-seq_wt+lowdoseMO_16h_replicate_2,Ribo-seq_wt+lowdoseMO_16h_replicate_2,Ribo-seq_wt+lowdoseMO_16h_replicate_2,zebrafish embryos,wild type,16 hpf
SRR22969811,27977708,8393312400,150,3185,SRX18926211,GSM6915727,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP415790,PRJNA918384,1,"",SRS16351698,SAMN32576281,simple,7955,Danio rerio,GSM6915727,Beijing Institute of Genomics (BIG) of Chinese Academy of Sciences (CAS),SRA1569390,02,2023,Makar,Ribo-seq_cpeb1bmutant+lowdoseMO_16h_replicate_1,Ribo-seq_cpeb1bmutant+lowdoseMO_16h_replicate_1,Ribo-seq_cpeb1bmutant+lowdoseMO_16h_replicate_1,zebrafish embryos,cpeb1b mutant,16 hpf
SRR22969810,35540295,10662088500,150,4132,SRX18926212,GSM6915728,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP415790,PRJNA918384,1,"",SRS16351699,SAMN32576280,simple,7955,Danio rerio,GSM6915728,Beijing Institute of Genomics (BIG) of Chinese Academy of Sciences (CAS),SRA1569390,02,2023,Makar,Ribo-seq_cpeb1bmutant+lowdoseMO_16h_replicate_2,Ribo-seq_cpeb1bmutant+lowdoseMO_16h_replicate_2,Ribo-seq_cpeb1bmutant+lowdoseMO_16h_replicate_2,zebrafish embryos,cpeb1b mutant,16 hpf
SRR22969809,27108464,8132539200,150,3187,SRX18926213,GSM6915729,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP415790,PRJNA918384,1,"",SRS16351700,SAMN32576279,simple,7955,Danio rerio,GSM6915729,Beijing Institute of Genomics (BIG) of Chinese Academy of Sciences (CAS),SRA1569390,02,2023,Makar,Ribo-seq_wt+lowdoseMO_22h_replicate_1,Ribo-seq_wt+lowdoseMO_22h_replicate_1,Ribo-seq_wt+lowdoseMO_22h_replicate_1,zebrafish embryos,wild type,22 hpf
SRR22969808,38336224,11500867200,150,4459,SRX18926214,GSM6915730,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP415790,PRJNA918384,1,"",SRS16351701,SAMN32576278,simple,7955,Danio rerio,GSM6915730,Beijing Institute of Genomics (BIG) of Chinese Academy of Sciences (CAS),SRA1569390,02,2023,Makar,Ribo-seq_wt+lowdoseMO_22h_replicate_2,Ribo-seq_wt+lowdoseMO_22h_replicate_2,Ribo-seq_wt+lowdoseMO_22h_replicate_2,zebrafish embryos,wild type,22 hpf
