Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,time in development,strain,GEO Accession
SRR1041687,50000000,2.55e+09,51,1553,SRX386026,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033430,PRJNA230441,24440504,"",SRS510036,SAMN02429226,simple,6239,Caenorhabditis elegans,GSM1277907,GEO,SRA115147,03,2014,Hendriks,Whole-worm,Footprint_contDevB_N2_18hr,Whole-worm,18 hours,N2,GSM1277907
SRR1041688,5708628,291140028,51,181,SRX386026,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033430,PRJNA230441,24440504,"",SRS510036,SAMN02429226,simple,6239,Caenorhabditis elegans,GSM1277907,GEO,SRA115147,03,2014,Hendriks,Whole-worm,Footprint_contDevB_N2_18hr,Whole-worm,20 hours,N2,GSM1277908
SRR1041689,36702479,1871826429,51,1137,SRX386027,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033430,PRJNA230441,24440504,"",SRS510035,SAMN02429227,simple,6239,Caenorhabditis elegans,GSM1277908,GEO,SRA115147,03,2014,Hendriks,Whole-worm,Footprint_contDevB_N2_20hr,Whole-worm,22 hours,N2,GSM1277909
SRR1041690,50000000,2.55e+09,51,1589,SRX386028,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033430,PRJNA230441,24440504,"",SRS510037,SAMN02429228,simple,6239,Caenorhabditis elegans,GSM1277909,GEO,SRA115147,03,2014,Hendriks,Whole-worm,Footprint_contDevB_N2_22hr,Whole-worm,24 hours,N2,GSM1277910
SRR1041691,1942559,99070509,,64,SRX386028,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033430,PRJNA230441,24440504,"",SRS510037,SAMN02429228,simple,6239,Caenorhabditis elegans,GSM1277909,GEO,SRA115147,03,2014,Hendriks,Whole-worm,Footprint_contDevB_N2_22hr,Whole-worm,26 hours,N2,GSM1277911
SRR1041692,33630499,1715155449,51,1065,SRX386029,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033430,PRJNA230441,24440504,"",SRS510038,SAMN02429229,simple,6239,Caenorhabditis elegans,GSM1277910,GEO,SRA115147,03,2014,Hendriks,Whole-worm,Footprint_contDevB_N2_24hr,Whole-worm,28 hours,N2,GSM1277912
SRR1041693,50000000,2.55e+09,51,1566,SRX386030,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033430,PRJNA230441,24440504,"",SRS510040,SAMN02429230,simple,6239,Caenorhabditis elegans,GSM1277911,GEO,SRA115147,03,2014,Hendriks,Whole-worm,Footprint_contDevB_N2_26hr,Whole-worm,30 hours,N2,GSM1277913
SRR1041694,8796828,448638228,51,275,SRX386030,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033430,PRJNA230441,24440504,"",SRS510040,SAMN02429230,simple,6239,Caenorhabditis elegans,GSM1277911,GEO,SRA115147,03,2014,Hendriks,Whole-worm,Footprint_contDevB_N2_26hr,Whole-worm,32 hours,N2,GSM1277914
SRR1041695,46262444,2359384644,51,1446,SRX386031,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033430,PRJNA230441,24440504,"",SRS510039,SAMN02429235,simple,6239,Caenorhabditis elegans,GSM1277912,GEO,SRA115147,03,2014,Hendriks,Whole-worm,Footprint_contDevB_N2_28hr,Whole-worm,34 hours,N2,GSM1277915
SRR1041696,38340984,1955390184,51,1212,SRX386032,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033430,PRJNA230441,24440504,"",SRS510042,SAMN02429233,simple,6239,Caenorhabditis elegans,GSM1277913,GEO,SRA115147,03,2014,Hendriks,Whole-worm,Footprint_contDevB_N2_30hr,Whole-worm,36 hours,N2,GSM1277916
SRR1041697,43103122,2198259222,51,1347,SRX386033,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033430,PRJNA230441,24440504,"",SRS510041,SAMN02429231,simple,6239,Caenorhabditis elegans,GSM1277914,GEO,SRA115147,03,2014,Hendriks,Whole-worm,Footprint_contDevB_N2_32hr,Whole-worm,18 hours,N2,GSM1277907
SRR1041698,50000000,2.55e+09,51,1535,SRX386034,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033430,PRJNA230441,24440504,"",SRS510043,SAMN02429232,simple,6239,Caenorhabditis elegans,GSM1277915,GEO,SRA115147,03,2014,Hendriks,Whole-worm,Footprint_contDevB_N2_34hr,Whole-worm,20 hours,N2,GSM1277908
SRR1041699,3018290,153932790,51,98,SRX386034,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033430,PRJNA230441,24440504,"",SRS510043,SAMN02429232,simple,6239,Caenorhabditis elegans,GSM1277915,GEO,SRA115147,03,2014,Hendriks,Whole-worm,Footprint_contDevB_N2_34hr,Whole-worm,22 hours,N2,GSM1277909
