Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,tissue,GEO Accession
SRR6053327,30518282,967124950,31,693,SRX3200266,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP118278,PRJNA408071,30143613,"",SRS2527267,SAMN07674575,simple,9606,Homo sapiens,GSM2788001,GEO,SRA610642,07,2018,Jakobsson,HAP-1,METTL13_KO_RPF_replicate1,HAP-1,METTL13-KO,HAP-1 cells,GSM2788001
SRR6053328,30360609,975687050,32,686,SRX3200267,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP118278,PRJNA408071,30143613,"",SRS2527269,SAMN07674585,simple,9606,Homo sapiens,GSM2788002,GEO,SRA610642,07,2018,Jakobsson,HAP-1,METTL13_KO_RPF_replicate2,HAP-1,METTL13-KO,HAP-1 cells,GSM2788002
SRR6053329,29514081,940195532,31,652,SRX3200268,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP118278,PRJNA408071,30143613,"",SRS2527268,SAMN07674584,simple,9606,Homo sapiens,GSM2788003,GEO,SRA610642,07,2018,Jakobsson,HAP-1,METTL13_KO_RPF_replicate3,HAP-1,METTL13-KO,HAP-1 cells,GSM2788003
SRR6053330,11879436,593971800,50,430,SRX3200269,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP118278,PRJNA408071,30143613,"",SRS2527270,SAMN07674583,simple,9606,Homo sapiens,GSM2788004,GEO,SRA610642,07,2018,Jakobsson,HAP-1,METTL13_KO_mRNA_replicate1,HAP-1,METTL13-KO,HAP-1 cells,GSM2788004
SRR6053331,14881320,744066000,50,537,SRX3200270,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP118278,PRJNA408071,30143613,"",SRS2527272,SAMN07674582,simple,9606,Homo sapiens,GSM2788005,GEO,SRA610642,07,2018,Jakobsson,HAP-1,METTL13_KO_mRNA_replicate2,HAP-1,METTL13-KO,HAP-1 cells,GSM2788005
SRR6053332,11793609,589680450,50,426,SRX3200271,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP118278,PRJNA408071,30143613,"",SRS2527271,SAMN07674581,simple,9606,Homo sapiens,GSM2788006,GEO,SRA610642,07,2018,Jakobsson,HAP-1,METTL13_KO_mRNA_replicate3,HAP-1,METTL13-KO,HAP-1 cells,GSM2788006
SRR6053333,8197726,250870771,30,148,SRX3200272,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP118278,PRJNA408071,30143613,"",SRS2527273,SAMN07674580,simple,9606,Homo sapiens,GSM2788007,GEO,SRA610642,07,2018,Jakobsson,HAP-1,WT_RPF_replicate1,HAP-1,wild type,HAP-1 cells,GSM2788007
SRR6053334,6868226,210269969,30,124,SRX3200273,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP118278,PRJNA408071,30143613,"",SRS2527274,SAMN07674579,simple,9606,Homo sapiens,GSM2788008,GEO,SRA610642,07,2018,Jakobsson,HAP-1,WT_RPF_replicate2,HAP-1,wild type,HAP-1 cells,GSM2788008
SRR6053335,9698285,484914250,50,347,SRX3200274,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP118278,PRJNA408071,30143613,"",SRS2527275,SAMN07674578,simple,9606,Homo sapiens,GSM2788009,GEO,SRA610642,07,2018,Jakobsson,HAP-1,WT_mRNA_replicate1,HAP-1,wild type,HAP-1 cells,GSM2788009
SRR6053336,16240612,812030600,50,578,SRX3200275,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP118278,PRJNA408071,30143613,"",SRS2527276,SAMN07674577,simple,9606,Homo sapiens,GSM2788010,GEO,SRA610642,07,2018,Jakobsson,HAP-1,WT_mRNA_replicate2,HAP-1,wild type,HAP-1 cells,GSM2788010
SRR6053337,14542006,727100300,50,516,SRX3200276,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiScanSQ,SRP118278,PRJNA408071,30143613,"",SRS2527277,SAMN07674576,simple,9606,Homo sapiens,GSM2788011,GEO,SRA610642,07,2018,Jakobsson,HAP-1,WT_mRNA_replicate3,HAP-1,wild type,HAP-1 cells,GSM2788011
