Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,sex,tissue,cell_line,cell_type,replicate,cell_subtype,BioSampleModel
SRR10058787,1003746,342198022,42,234,SRX6792674,1f,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP220276,PRJNA563539,1,"",SRS5347944,SAMN12675840,simple,9606,Homo sapiens,1f,ICBFM SB RAS,SRA954972,09,2019,Makar,"",uS19  Ribo-seq of Homo Sapiens: HEK 293,-,-,"Laboratory of Ribosome Structure and Functions, ICBFM SB RAS",not determined,-,HEK 293,Human embryonic kidney,biological replicate 1,pAG-1(FLAGuS19)-derivatized HEK293,Human
SRR10058786,87527,30359992,48,20,SRX6792675,1n,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP220276,PRJNA563539,1,"",SRS5347945,SAMN12675841,simple,9606,Homo sapiens,1n,ICBFM SB RAS,SRA954972,09,2019,Makar,"",uS19 Ribo-seq of Homo  Sapiens: HEK 293,-,-,"Laboratory of Ribosome Structure and Functions, ICBFM SB RAS",not determined,-,HEK 293,Human embryonic kidney,biological replicate 2,pAG-1(FLAGuS19)-derivatized HEK293,Human
SRR10058785,505319,171401175,40,117,SRX6792676,s4U-2,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP220276,PRJNA563539,1,"",SRS5347946,SAMN12675850,simple,9606,Homo sapiens,s4U-2,ICBFM SB RAS,SRA954972,09,2019,Makar,"",4sU Ribo-seq of Homo Sapiens:  HEK 293,-,-,"Laboratory of Ribosome Structure and Functions, ICBFM SB RAS",not determined,-,HEK 293,Human embryonic kidney,biological replicate 11,,Human
SRR10058784,822071,279125150,41,191,SRX6792677,s4U-3,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP220276,PRJNA563539,1,"",SRS5347947,SAMN12675851,simple,9606,Homo sapiens,s4U-3,ICBFM SB RAS,SRA954972,09,2019,Makar,"",4sU Ribo-seq of Homo Sapiens:  HEK 293,-,-,"Laboratory of Ribosome Structure and Functions, ICBFM SB RAS",not determined,-,HEK 293,Human embryonic kidney,biological replicate 12,,Human
SRR10058783,630159,218662347,48,151,SRX6792678,2f,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP220276,PRJNA563539,1,"",SRS5347948,SAMN12675842,simple,9606,Homo sapiens,2f,ICBFM SB RAS,SRA954972,09,2019,Makar,"",uS19 Ribo-seq of Homo  Sapiens: HEK 293,-,-,"Laboratory of Ribosome Structure and Functions, ICBFM SB RAS",not determined,-,HEK 293,Human embryonic kidney,biological replicate 3,pAG-1(FLAGuS19)-derivatized HEK293,Human
SRR10058782,1646347,559599082,41,382,SRX6792679,2n,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP220276,PRJNA563539,1,"",SRS5347949,SAMN12675843,simple,9606,Homo sapiens,2n,ICBFM SB RAS,SRA954972,09,2019,Makar,"",uS19 Ribo-seq of Homo  Sapiens: HEK 293,-,-,"Laboratory of Ribosome Structure and Functions, ICBFM SB RAS",not determined,-,HEK 293,Human embryonic kidney,biological replicate 4,pAG-1(FLAGuS19)-derivatized HEK293,Human
SRR10058781,1107193,378223607,43,259,SRX6792680,3f,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP220276,PRJNA563539,1,"",SRS5347950,SAMN12675844,simple,9606,Homo sapiens,3f,ICBFM SB RAS,SRA954972,09,2019,Makar,"",uS19 Ribo-seq of Homo  Sapiens: HEK 293,-,-,"Laboratory of Ribosome Structure and Functions, ICBFM SB RAS",not determined,-,HEK 293,Human embryonic kidney,biological replicate 5,pAG-1(FLAGuS19)-derivatized HEK293,Human
SRR10058780,83361,28714168,45,19,SRX6792681,3n,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP220276,PRJNA563539,1,"",SRS5347951,SAMN12675845,simple,9606,Homo sapiens,3n,ICBFM SB RAS,SRA954972,09,2019,Makar,"",uS19 Ribo-seq of Homo  Sapiens: HEK 293,-,-,"Laboratory of Ribosome Structure and Functions, ICBFM SB RAS",not determined,-,HEK 293,Human embryonic kidney,biological replicate 6,pAG-1(FLAGuS19)-derivatized HEK293,Human
SRR10058779,819432,278532033,41,191,SRX6792682,Norm-4,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP220276,PRJNA563539,1,"",SRS5347952,SAMN12675846,simple,9606,Homo sapiens,Norm-4,ICBFM SB RAS,SRA954972,09,2019,Makar,"",Ribo-seq  of Homo Sapiens: HEK 293,-,-,"Laboratory of Ribosome Structure and Functions, ICBFM SB RAS",not determined,-,HEK 293,Human embryonic kidney,biological replicate 7,,Human
SRR10058778,715541,243029496,41,166,SRX6792683,Norm-5,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP220276,PRJNA563539,1,"",SRS5347953,SAMN12675847,simple,9606,Homo sapiens,Norm-5,ICBFM SB RAS,SRA954972,09,2019,Makar,"",Ribo-seq of Homo Sapiens: HEK  293,-,-,"Laboratory of Ribosome Structure and Functions, ICBFM SB RAS",not determined,-,HEK 293,Human embryonic kidney,biological replicate 8,,Human
