Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,sample type,tissue,rna type,genotype,time,GEO Accession
SRR10008167,17865593,893279650,50,501,SRX6746441,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296773,SAMN12611334,simple,10090,Mus musculus,GSM4040953,GEO,SRA945845,06,2020,Gerashchenko,AML12 cell line,AML12_control-1,AML12 cell line,cell culture,AML12 cell line,polyA enriched mRNA-seq,control,,GSM4040953
SRR10008168,16265258,813262900,50,457,SRX6746442,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296774,SAMN12611333,simple,10090,Mus musculus,GSM4040954,GEO,SRA945845,06,2020,Gerashchenko,AML12 cell line,AML12_control-2,AML12 cell line,cell culture,AML12 cell line,polyA enriched mRNA-seq,control,,GSM4040954
SRR10008169,18263047,913152350,50,514,SRX6746443,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296775,SAMN12611332,simple,10090,Mus musculus,GSM4040955,GEO,SRA945845,06,2020,Gerashchenko,AML12 cell line,AML12_control-3,AML12 cell line,cell culture,AML12 cell line,polyA enriched mRNA-seq,control,,GSM4040955
SRR10008170,13870447,693522350,50,390,SRX6746444,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296776,SAMN12611331,simple,10090,Mus musculus,GSM4040956,GEO,SRA945845,06,2020,Gerashchenko,AML12 cell line,AML12_control-4,AML12 cell line,cell culture,AML12 cell line,polyA enriched mRNA-seq,control,,GSM4040956
SRR10008171,24460062,1223003100,50,693,SRX6746445,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296777,SAMN12611329,simple,10090,Mus musculus,GSM4040957,GEO,SRA945845,06,2020,Gerashchenko,AML12 cell line,AML12_kd-1,AML12 cell line,cell culture,AML12 cell line,polyA enriched mRNA-seq,eef2 kd,,GSM4040957
SRR10008172,13966814,698340700,50,398,SRX6746446,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296778,SAMN12611328,simple,10090,Mus musculus,GSM4040958,GEO,SRA945845,06,2020,Gerashchenko,AML12 cell line,AML12_kd-2,AML12 cell line,cell culture,AML12 cell line,polyA enriched mRNA-seq,eef2 kd,,GSM4040958
SRR10008173,15741144,787057200,50,443,SRX6746447,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296779,SAMN12611327,simple,10090,Mus musculus,GSM4040959,GEO,SRA945845,06,2020,Gerashchenko,AML12 cell line,AML12_kd-3,AML12 cell line,cell culture,AML12 cell line,polyA enriched mRNA-seq,eef2 kd,,GSM4040959
SRR10008174,15501465,775073250,50,435,SRX6746448,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296780,SAMN12611326,simple,10090,Mus musculus,GSM4040960,GEO,SRA945845,06,2020,Gerashchenko,AML12 cell line,AML12_kd-4,AML12 cell line,cell culture,AML12 cell line,polyA enriched mRNA-seq,eef2 kd,,GSM4040960
SRR10008175,12645400,632270000,50,373,SRX6746449,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296781,SAMN12611325,simple,10090,Mus musculus,GSM4040961,GEO,SRA945845,06,2020,Gerashchenko,liver,mRNA-seq_liver_control-1,liver,tissue,liver,polyA enriched mRNA-seq,control,,GSM4040961
SRR10008176,8532071,426603550,50,254,SRX6746450,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296782,SAMN12611324,simple,10090,Mus musculus,GSM4040962,GEO,SRA945845,06,2020,Gerashchenko,liver,mRNA-seq_liver_control-2,liver,tissue,liver,polyA enriched mRNA-seq,control,,GSM4040962
SRR10008177,11695957,584797850,50,341,SRX6746451,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296783,SAMN12611323,simple,10090,Mus musculus,GSM4040963,GEO,SRA945845,06,2020,Gerashchenko,liver,mRNA-seq_liver_control-3,liver,tissue,liver,polyA enriched mRNA-seq,control,,GSM4040963
SRR10008178,17188479,859423950,50,510,SRX6746452,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296784,SAMN12611322,simple,10090,Mus musculus,GSM4040964,GEO,SRA945845,06,2020,Gerashchenko,liver,mRNA-seq_liver_kd_7days-1,liver,tissue,liver,polyA enriched mRNA-seq,eef2 kd,7 days,GSM4040964
SRR10008179,14796416,739820800,50,436,SRX6746453,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP218948,PRJNA561206,32968084,"",SRS5296785,SAMN12611357,simple,10090,Mus musculus,GSM4040965,GEO,SRA945845,06,2020,Gerashchenko,liver,mRNA-seq_liver_kd_7days-2,liver,tissue,liver,polyA enriched mRNA-seq,eef2 kd,7 days,GSM4040965
