Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,background,genotype,treatment,GEO Accession
SRR13208091,67532129,5064909675,75,1569,SRX9641262,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP296783,PRJNA683007,33878104,"",SRS7840857,SAMN17015574,simple,580240,Saccharomyces cerevisiae W303,GSM4959785,GEO,SRA1168074,12,2020,Mangkalaphiban,HFY114,SUP45_25C rep1_Riboseq,HFY114,W303,Wild-type,Mock temperature shift,GSM4959785
SRR13208092,61556833,4616762475,75,1413,SRX9641263,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP296783,PRJNA683007,33878104,"",SRS7840858,SAMN17015573,simple,580240,Saccharomyces cerevisiae W303,GSM4959786,GEO,SRA1168074,12,2020,Mangkalaphiban,HFY114,SUP45_25C_rep2_Riboseq,HFY114,W303,Wild-type,Mock temperature shift,GSM4959786
SRR13208093,49805337,3735400275,75,1128,SRX9641264,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP296783,PRJNA683007,33878104,"",SRS7840859,SAMN17015572,simple,580240,Saccharomyces cerevisiae W303,GSM4959787,GEO,SRA1168074,12,2020,Mangkalaphiban,HFY114,SUP45_37C_rep1_Riboseq,HFY114,W303,Wild-type,Temperature shift from 25°C to 37°C,GSM4959787
SRR13208094,64613280,4845996000,75,1476,SRX9641265,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP296783,PRJNA683007,33878104,"",SRS7840860,SAMN17015580,simple,580240,Saccharomyces cerevisiae W303,GSM4959788,GEO,SRA1168074,12,2020,Mangkalaphiban,HFY114,SUP45_37C_rep2_Riboseq,HFY114,W303,Wild-type,Temperature shift from 25°C to 37°C,GSM4959788
SRR13208095,91931471,6894860325,75,2229,SRX9641266,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP296783,PRJNA683007,33878104,"",SRS7840861,SAMN17015571,simple,580240,Saccharomyces cerevisiae W303,GSM4959789,GEO,SRA1168074,12,2020,Mangkalaphiban,HFY1218,sup45-ts_25C_rep1_Riboseq,HFY1218,W303,sup45-2,Mock temperature shift,GSM4959789
SRR13208096,60891476,4566860700,75,1452,SRX9641267,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP296783,PRJNA683007,33878104,"",SRS7840862,SAMN17015570,simple,580240,Saccharomyces cerevisiae W303,GSM4959790,GEO,SRA1168074,12,2020,Mangkalaphiban,HFY1218,sup45-ts_25C_rep2_Riboseq,HFY1218,W303,sup45-2,Mock temperature shift,GSM4959790
SRR13208097,77154540,5786590500,75,1866,SRX9641268,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP296783,PRJNA683007,33878104,"",SRS7840863,SAMN17015569,simple,580240,Saccharomyces cerevisiae W303,GSM4959791,GEO,SRA1168074,12,2020,Mangkalaphiban,HFY1218,sup45-ts_37C_rep1_Riboseq,HFY1218,W303,sup45-2,Temperature shift from 25°C to 37°C,GSM4959791
SRR13208098,66416665,4981249875,75,1586,SRX9641269,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP296783,PRJNA683007,33878104,"",SRS7840864,SAMN17015568,simple,580240,Saccharomyces cerevisiae W303,GSM4959792,GEO,SRA1168074,12,2020,Mangkalaphiban,HFY1218,sup45-ts_37C_rep2_Riboseq,HFY1218,W303,sup45-2,Temperature shift from 25°C to 37°C,GSM4959792
SRR13208099,179039420,13324756138,74,5642,SRX9641270,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP296783,PRJNA683007,33878104,"",SRS7840865,SAMN17015567,simple,580240,Saccharomyces cerevisiae W303,GSM4959793,GEO,SRA1168074,12,2020,Mangkalaphiban,HFY114,SUP45_25C rep1_RNAseq,HFY114,W303,Wild-type,Mock temperature shift,GSM4959793
SRR13208100,141673608,10546780537,74,4467,SRX9641271,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP296783,PRJNA683007,33878104,"",SRS7840866,SAMN17015566,simple,580240,Saccharomyces cerevisiae W303,GSM4959794,GEO,SRA1168074,12,2020,Mangkalaphiban,HFY114,SUP45_25C_rep2_RNAseq,HFY114,W303,Wild-type,Mock temperature shift,GSM4959794
