Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,sex,tissue,cell_line,BioSampleModel
SRR10513636,13355848,1669481000,125,520,SRX7201733,1R,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP231304,PRJNA591214,1,"",SRS5706994,SAMN13354200,simple,9606,Homo sapiens,1R_CAGATC,Food and Drug Administration,SRA1001027,11,2019,Makar,"",Ribo-Seq WT1,Wild-type RIBO-SEQ 1,female,Human Embryonic Kidney,HEK-293T,Human
SRR10513635,14566314,1820789250,125,581,SRX7201734,1T,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP231304,PRJNA591214,1,"",SRS5706995,SAMN13354201,simple,9606,Homo sapiens,1T_ATCACG,Food and Drug Administration,SRA1001027,11,2019,Makar,"",mRNA-Seq WT1,Wild-type mRNA-SEQ 1,female,Human Embryonic Kidney,HEK-293T,Human
SRR10513634,14541142,1817642750,125,570,SRX7201735,6R,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP231304,PRJNA591214,1,"",SRS5706996,SAMN13354210,simple,9606,Homo sapiens,6R_CTTGTA,Food and Drug Administration,SRA1001027,11,2019,Makar,"",Ribo-Seq CO3,Codon-optimized RIBO-SEQ 3,female,Human Embryonic Kidney,HEK-293T,Human
SRR10513633,13296276,1662034500,125,530,SRX7201736,6T,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP231304,PRJNA591214,1,"",SRS5706997,SAMN13354211,simple,9606,Homo sapiens,6T_GCCAAT,Food and Drug Administration,SRA1001027,11,2019,Makar,"",mRNA-Seq CO3,Codon-optimized mRNA-SEQ 3,female,Human Embryonic Kidney,HEK-293T,Human
SRR10513632,13451867,1681483375,125,530,SRX7201737,2R,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP231304,PRJNA591214,1,"",SRS5706998,SAMN13354202,simple,9606,Homo sapiens,2R_ACTTGA,Food and Drug Administration,SRA1001027,11,2019,Makar,"",Ribo-Seq WT2,Wild-type RIBO-SEQ 2,female,Human Embryonic Kidney,HEK-293T,Human
SRR10513631,14932652,1866581500,125,598,SRX7201738,2T,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP231304,PRJNA591214,1,"",SRS5706999,SAMN13354203,simple,9606,Homo sapiens,2T_CGATGT,Food and Drug Administration,SRA1001027,11,2019,Makar,"",mRNA-Seq WT2,Wild-type mRNA-SEQ 2,female,Human Embryonic Kidney,HEK-293T,Human
SRR10513630,12092292,1511536500,125,477,SRX7201739,3R,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP231304,PRJNA591214,1,"",SRS5707000,SAMN13354204,simple,9606,Homo sapiens,3R_GATCAG,Food and Drug Administration,SRA1001027,11,2019,Makar,"",Ribo-Seq WT3,Wild-type RIBO-SEQ 3,female,Human Embryonic Kidney,HEK-293T,Human
SRR10513629,13227113,1653389125,125,528,SRX7201740,3T,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP231304,PRJNA591214,1,"",SRS5707001,SAMN13354205,simple,9606,Homo sapiens,3T_TTAGGC,Food and Drug Administration,SRA1001027,11,2019,Makar,"",mRNA-Seq WT3,Wild-type mRNA-SEQ 3,female,Human Embryonic Kidney,HEK-293T,Human
SRR10513628,14600572,1825071500,125,575,SRX7201741,4R,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP231304,PRJNA591214,1,"",SRS5707002,SAMN13354206,simple,9606,Homo sapiens,4R_TAGCTT,Food and Drug Administration,SRA1001027,11,2019,Makar,"",Ribo-Seq CO1,Codon-optimized RIBO-SEQ 1,female,Human Embryonic Kidney,HEK-293T,Human
SRR10513627,13848340,1731042500,125,553,SRX7201742,4T,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP231304,PRJNA591214,1,"",SRS5707003,SAMN13354207,simple,9606,Homo sapiens,4T_TGACCA,Food and Drug Administration,SRA1001027,11,2019,Makar,"",mRNA-Seq CO1,Codon-optimized mRNA-SEQ 1,female,Human Embryonic Kidney,HEK-293T,Human
SRR10513626,12292279,1536534875,125,482,SRX7201743,5R,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP231304,PRJNA591214,1,"",SRS5707004,SAMN13354208,simple,9606,Homo sapiens,5R_GGCTAC,Food and Drug Administration,SRA1001027,11,2019,Makar,"",Ribo-Seq CO2,Codon-optimized RIBO-SEQ 2,female,Human Embryonic Kidney,HEK-293T,Human
SRR10513625,14033677,1754209625,125,560,SRX7201744,5T,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP231304,PRJNA591214,1,"",SRS5707005,SAMN13354209,simple,9606,Homo sapiens,5T_ACAGTG,Food and Drug Administration,SRA1001027,11,2019,Makar,"",mRNA-Seq CO2,Codon-optimized mRNA-SEQ 2,female,Human Embryonic Kidney,HEK-293T,Human
