Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,GEO Accession
SRR3680957,18139539,558752294,30,262,SRX1853570,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076733,PRJNA326128,28460002,"",SRS1510562,SAMN05263455,simple,9606,Homo sapiens,GSM2204381,GEO,SRA434452,06,2017,Aviner,HeLa S3,RNAseq_M_min_rep1,HeLa S3,untreated,GSM2204381
SRR3680958,17416831,536681109,30,251,SRX1853571,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076733,PRJNA326128,28460002,"",SRS1510563,SAMN05263456,simple,9606,Homo sapiens,GSM2204382,GEO,SRA434452,06,2017,Aviner,HeLa S3,RNAseq_M_min_rep2,HeLa S3,untreated,GSM2204382
SRR3680959,20209599,622649348,30,290,SRX1853572,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076733,PRJNA326128,28460002,"",SRS1510565,SAMN05263457,simple,9606,Homo sapiens,GSM2204383,GEO,SRA434452,06,2017,Aviner,HeLa S3,RNAseq_M_min_rep3,HeLa S3,untreated,GSM2204383
SRR3680960,22838066,703650204,30,328,SRX1853573,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076733,PRJNA326128,28460002,"",SRS1510564,SAMN05263458,simple,9606,Homo sapiens,GSM2204384,GEO,SRA434452,06,2017,Aviner,HeLa S3,RNAseq_M_min_rep4,HeLa S3,untreated,GSM2204384
SRR3680961,16733032,533800014,31,251,SRX1853574,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076733,PRJNA326128,28460002,"",SRS1510566,SAMN05263459,simple,9606,Homo sapiens,GSM2204385,GEO,SRA434452,06,2017,Aviner,HeLa S3,RNAseq_M_plus_rep1,HeLa S3,treated with Dox to induce knockdown,GSM2204385
SRR3680963,16102459,513865094,31,241,SRX1853575,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076733,PRJNA326128,28460002,"",SRS1510567,SAMN05263460,simple,9606,Homo sapiens,GSM2204386,GEO,SRA434452,06,2017,Aviner,HeLa S3,RNAseq_M_plus_rep2,HeLa S3,treated with Dox to induce knockdown,GSM2204386
SRR3680964,20469384,650103549,31,304,SRX1853576,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076733,PRJNA326128,28460002,"",SRS1510568,SAMN05263461,simple,9606,Homo sapiens,GSM2204387,GEO,SRA434452,06,2017,Aviner,HeLa S3,RNAseq_M_plus_rep3,HeLa S3,treated with Dox to induce knockdown,GSM2204387
SRR3680965,23167068,735798834,31,344,SRX1853577,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076733,PRJNA326128,28460002,"",SRS1510569,SAMN05263462,simple,9606,Homo sapiens,GSM2204388,GEO,SRA434452,06,2017,Aviner,HeLa S3,RNAseq_M_plus_rep4,HeLa S3,treated with Dox to induce knockdown,GSM2204388
SRR3680966,30731487,925586218,30,428,SRX1853578,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076733,PRJNA326128,28460002,"",SRS1510570,SAMN05263463,simple,9606,Homo sapiens,GSM2204389,GEO,SRA434452,06,2017,Aviner,HeLa S3,RF_M_min_rep1,HeLa S3,untreated,GSM2204389
SRR3680967,40029774,1206029559,30,556,SRX1853579,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP076733,PRJNA326128,28460002,"",SRS1510571,SAMN05263464,simple,9606,Homo sapiens,GSM2204390,GEO,SRA434452,06,2017,Aviner,HeLa S3,RF_M_min_rep2,HeLa S3,untreated,GSM2204390
