Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,cell line,genotype,gneotype,GEO Accession
SRR8899067,86026712,4387362312,51,1880,SRX5685178,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192588,PRJNA532893,31483294,"",SRS4625087,SAMN11418617,simple,10090,Mus musculus,GSM3722552,GEO,SRA874279,09,2019,Kim,NIH3T3 cell line,RPF_WT_3,NIH3T3 cell line,fibroblast,NIH3T3,WT,,GSM3722552
SRR8899068,67839196,3459798996,51,2355,SRX5685179,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192588,PRJNA532893,31483294,"",SRS4625088,SAMN11418616,simple,10090,Mus musculus,GSM3722553,GEO,SRA874279,09,2019,Kim,NIH3T3 cell line,RPF_C1483Y_1,NIH3T3 cell line,fibroblast,NIH3T3,,C1483Y,GSM3722553
SRR8899069,76803583,3916982733,51,2676,SRX5685180,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192588,PRJNA532893,31483294,"",SRS4625089,SAMN11418615,simple,10090,Mus musculus,GSM3722554,GEO,SRA874279,09,2019,Kim,NIH3T3 cell line,RPF_C1483Y_2,NIH3T3 cell line,fibroblast,NIH3T3,,C1483Y,GSM3722554
SRR8899070,115448783,5887887933,51,2466,SRX5685181,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192588,PRJNA532893,31483294,"",SRS4625090,SAMN11418614,simple,10090,Mus musculus,GSM3722555,GEO,SRA874279,09,2019,Kim,NIH3T3 cell line,RPF_C1483Y_3,NIH3T3 cell line,fibroblast,NIH3T3,,C1483Y,GSM3722555
SRR8899071,69845284,3562109484,51,2362,SRX5685182,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192588,PRJNA532893,31483294,"",SRS4625091,SAMN11418613,simple,10090,Mus musculus,GSM3722556,GEO,SRA874279,09,2019,Kim,NIH3T3 cell line,RPF_Torin1_1,NIH3T3 cell line,fibroblast,NIH3T3,,WT,GSM3722556
SRR8899072,105027922,5356424022,51,2652,SRX5685183,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192588,PRJNA532893,31483294,"",SRS4625092,SAMN11418612,simple,10090,Mus musculus,GSM3722557,GEO,SRA874279,09,2019,Kim,NIH3T3 cell line,RPF_Torin1_2,NIH3T3 cell line,fibroblast,NIH3T3,,WT,GSM3722557
SRR8899073,117489790,5991979290,51,2601,SRX5685184,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192588,PRJNA532893,31483294,"",SRS4625093,SAMN11418611,simple,10090,Mus musculus,GSM3722558,GEO,SRA874279,09,2019,Kim,NIH3T3 cell line,RPF_Torin1_3,NIH3T3 cell line,fibroblast,NIH3T3,,WT,GSM3722558
SRR8899074,76325689,3892610139,51,1643,SRX5685185,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192588,PRJNA532893,31483294,"",SRS4625094,SAMN11418610,simple,10090,Mus musculus,GSM3722559,GEO,SRA874279,09,2019,Kim,NIH3T3 cell line,mRNA_WT_1,NIH3T3 cell line,fibroblast,NIH3T3,,WT,GSM3722559
SRR8899075,322820203,16463830353,51,6792,SRX5685186,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192588,PRJNA532893,31483294,"",SRS4625095,SAMN11418609,simple,10090,Mus musculus,GSM3722560,GEO,SRA874279,09,2019,Kim,NIH3T3 cell line,mRNA_WT_2,NIH3T3 cell line,fibroblast,NIH3T3,,WT,GSM3722560
SRR8899076,131345936,6698642736,51,2892,SRX5685187,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192588,PRJNA532893,31483294,"",SRS4625096,SAMN11418608,simple,10090,Mus musculus,GSM3722561,GEO,SRA874279,09,2019,Kim,NIH3T3 cell line,mRNA_WT_3,NIH3T3 cell line,fibroblast,NIH3T3,,WT,GSM3722561
