Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,age,genotype,treatment,antibody,tissue,GEO Accession
SRR12749186,21479166,1700448851,39,807,SRX9221331,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285939,PRJNA666680,33299180,"",SRS7455032,SAMN16320000,simple,10090,Mus musculus,GSM4811920,GEO,SRA1136331,10,2020,Yap,CA1_CaMK2a_PBS1_Fos,CUTRUN_CA1_CaMK2a_PBS1_Fos,CA1_CaMK2a_PBS1_Fos,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Sun1-GFP/+,2-3-hour PBS,c-Fos (in-house 1096AE),CA1 region of hippocampus,GSM4811920
SRR12749187,28753971,2276235497,39,1068,SRX9221332,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285939,PRJNA666680,33299180,"",SRS7455033,SAMN16319998,simple,10090,Mus musculus,GSM4811921,GEO,SRA1136331,10,2020,Yap,CA1_CaMK2a_PBS1_IgG,CUTRUN_CA1_CaMK2a_PBS1_IgG,CA1_CaMK2a_PBS1_IgG,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Sun1-GFP/+,2-3-hour PBS,Rabbit IgG (Cell Signaling Technologies 2729),CA1 region of hippocampus,GSM4811921
SRR12749188,33778401,2673858180,39,1257,SRX9221333,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285939,PRJNA666680,33299180,"",SRS7455034,SAMN16319997,simple,10090,Mus musculus,GSM4811922,GEO,SRA1136331,10,2020,Yap,CA1_CaMK2a_PBS2_Fos,CUTRUN_CA1_CaMK2a_PBS2_Fos,CA1_CaMK2a_PBS2_Fos,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Sun1-GFP/+,2-3-hour PBS,c-Fos (in-house 1096AE),CA1 region of hippocampus,GSM4811922
SRR12749189,28512758,2256643908,39,1054,SRX9221334,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285939,PRJNA666680,33299180,"",SRS7455035,SAMN16319996,simple,10090,Mus musculus,GSM4811923,GEO,SRA1136331,10,2020,Yap,CA1_CaMK2a_PBS2_IgG,CUTRUN_CA1_CaMK2a_PBS2_IgG,CA1_CaMK2a_PBS2_IgG,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Sun1-GFP/+,2-3-hour PBS,Rabbit IgG (Cell Signaling Technologies 2729),CA1 region of hippocampus,GSM4811923
SRR12749190,27479628,2170894119,39,1064,SRX9221335,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285939,PRJNA666680,33299180,"",SRS7455036,SAMN16319994,simple,10090,Mus musculus,GSM4811924,GEO,SRA1136331,10,2020,Yap,CA1_CaMK2a_PBS3_Fos,CUTRUN_CA1_CaMK2a_PBS3_Fos,CA1_CaMK2a_PBS3_Fos,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Sun1-GFP/+,2-3-hour PBS,c-Fos (in-house 1096AE),CA1 region of hippocampus,GSM4811924
SRR12749191,21863148,1727659534,39,845,SRX9221336,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285939,PRJNA666680,33299180,"",SRS7455037,SAMN16319993,simple,10090,Mus musculus,GSM4811925,GEO,SRA1136331,10,2020,Yap,CA1_CaMK2a_PBS3_IgG,CUTRUN_CA1_CaMK2a_PBS3_IgG,CA1_CaMK2a_PBS3_IgG,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Sun1-GFP/+,2-3-hour PBS,Rabbit IgG (Cell Signaling Technologies 2729),CA1 region of hippocampus,GSM4811925
SRR12749192,32700825,2588434371,39,1208,SRX9221337,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285939,PRJNA666680,33299180,"",SRS7455038,SAMN16319992,simple,10090,Mus musculus,GSM4811926,GEO,SRA1136331,10,2020,Yap,CA1_CaMK2a_KA1_Fos,CUTRUN_CA1_CaMK2a_KA1_Fos,CA1_CaMK2a_KA1_Fos,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Sun1-GFP/+,2-3-hour kainic acid,c-Fos (in-house 1096AE),CA1 region of hippocampus,GSM4811926
SRR12749193,29516474,2336023131,39,1093,SRX9221338,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285939,PRJNA666680,33299180,"",SRS7455039,SAMN16319991,simple,10090,Mus musculus,GSM4811927,GEO,SRA1136331,10,2020,Yap,CA1_CaMK2a_KA1_IgG,CUTRUN_CA1_CaMK2a_KA1_IgG,CA1_CaMK2a_KA1_IgG,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Sun1-GFP/+,2-3-hour kainic acid,Rabbit IgG (Cell Signaling Technologies 2729),CA1 region of hippocampus,GSM4811927
SRR12749194,35065839,2775217617,39,1295,SRX9221339,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285939,PRJNA666680,33299180,"",SRS7455040,SAMN16319990,simple,10090,Mus musculus,GSM4811928,GEO,SRA1136331,10,2020,Yap,CA1_CaMK2a_KA2_Fos,CUTRUN_CA1_CaMK2a_KA2_Fos,CA1_CaMK2a_KA2_Fos,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Sun1-GFP/+,2-3-hour kainic acid,c-Fos (in-house 1096AE),CA1 region of hippocampus,GSM4811928
SRR12749195,25438687,2013846250,39,961,SRX9221340,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285939,PRJNA666680,33299180,"",SRS7455041,SAMN16319989,simple,10090,Mus musculus,GSM4811929,GEO,SRA1136331,10,2020,Yap,CA1_CaMK2a_KA2_IgG,CUTRUN_CA1_CaMK2a_KA2_IgG,CA1_CaMK2a_KA2_IgG,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Sun1-GFP/+,2-3-hour kainic acid,Rabbit IgG (Cell Signaling Technologies 2729),CA1 region of hippocampus,GSM4811929
SRR12749196,21053135,1663575012,39,815,SRX9221341,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285939,PRJNA666680,33299180,"",SRS7455042,SAMN16319988,simple,10090,Mus musculus,GSM4811930,GEO,SRA1136331,10,2020,Yap,CA1_CaMK2a_KA3_Fos,CUTRUN_CA1_CaMK2a_KA3_Fos,CA1_CaMK2a_KA3_Fos,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Sun1-GFP/+,2-3-hour kainic acid,c-Fos (in-house 1096AE),CA1 region of hippocampus,GSM4811930
SRR12749197,19758613,1561217171,39,766,SRX9221342,,OTHER,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP285939,PRJNA666680,33299180,"",SRS7455043,SAMN16319986,simple,10090,Mus musculus,GSM4811931,GEO,SRA1136331,10,2020,Yap,CA1_CaMK2a_KA3_IgG,CUTRUN_CA1_CaMK2a_KA3_IgG,CA1_CaMK2a_KA3_IgG,C57BL/6,3-4 weeks,CaMK2a-Cre/+; LSL-Sun1-GFP/+,2-3-hour kainic acid,Rabbit IgG (Cell Signaling Technologies 2729),CA1 region of hippocampus,GSM4811931
