Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,substrain
SRR17249551,5175752,627570462,121,453,SRX13428484,GSM5738287,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329458,SAMN24144374,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738287,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Expo_Rep1_A,Escherichia coli,K-12,MG1655
SRR17249550,4973907,541528095,108,378,SRX13428485,GSM5738288,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329460,SAMN24144373,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738288,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Expo_Rep1_B,Escherichia coli,K-12,MG1655
SRR17249546,6443529,651111398,101,454,SRX13428486,GSM5738289,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329459,SAMN24144372,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738289,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Expo_Rep1_C,Escherichia coli,K-12,MG1655
SRR17249545,4990527,555005001,111,389,SRX13428487,GSM5738290,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329461,SAMN24144371,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738290,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Expo_Rep1_D,Escherichia coli,K-12,MG1655
SRR17249547,8013480,813138499,101,571,SRX13428488,GSM5738291,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329463,SAMN24144370,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738291,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Expo_Rep1_E,Escherichia coli,K-12,MG1655
SRR17249544,6852230,648442488,94,454,SRX13428489,GSM5738292,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329462,SAMN24144369,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738292,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Expo_Rep1_F,Escherichia coli,K-12,MG1655
SRR17249548,7316431,798817963,109,568,SRX13428490,GSM5738293,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329464,SAMN24144368,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738293,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Expo_Rep1_G,Escherichia coli,K-12,MG1655
SRR17249543,8000803,771980814,96,537,SRX13428491,GSM5738294,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329466,SAMN24144367,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738294,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Expo_Rep2_A,Escherichia coli,K-12,MG1655
SRR17249549,9018579,1003562936,111,682,SRX13428492,GSM5738295,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329465,SAMN24144366,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738295,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Expo_Rep2_B,Escherichia coli,K-12,MG1655
SRR17249542,11123465,1411523854,126,1003,SRX13428493,GSM5738296,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329467,SAMN24144365,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738296,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Expo_Rep2_C,Escherichia coli,K-12,MG1655
SRR17249538,14046750,1246823175,88,874,SRX13428494,GSM5738298,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329469,SAMN24144363,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738298,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Expo_Rep2_E,Escherichia coli,K-12,MG1655
SRR17249537,10814614,1013292644,93,711,SRX13428495,GSM5738297,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329468,SAMN24144364,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738297,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Expo_Rep2_D,Escherichia coli,K-12,MG1655
SRR17249536,6245816,583351535,93,404,SRX13428496,GSM5738299,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329470,SAMN24144362,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738299,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Expo_Rep2_F,Escherichia coli,K-12,MG1655
SRR17249539,8461871,813862631,96,574,SRX13428497,GSM5738300,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329472,SAMN24144361,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738300,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Expo_Rep2_G,Escherichia coli,K-12,MG1655
SRR17249535,7591197,699399177,92,492,SRX13428498,GSM5738301,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329471,SAMN24144360,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738301,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Expo_Rep3_A,Escherichia coli,K-12,MG1655
SRR17249540,9022654,851064230,94,593,SRX13428499,GSM5738302,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329473,SAMN24144359,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738302,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Expo_Rep3_B,Escherichia coli,K-12,MG1655
SRR17249534,8222286,689017383,83,478,SRX13428500,GSM5738303,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329475,SAMN24144358,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738303,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Expo_Rep3_C,Escherichia coli,K-12,MG1655
SRR17249541,11508394,1116717881,97,789,SRX13428501,GSM5738304,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329474,SAMN24144357,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738304,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Expo_Rep3_D,Escherichia coli,K-12,MG1655
SRR17249533,11423585,1019414192,89,710,SRX13428502,GSM5738305,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329476,SAMN24144356,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738305,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Expo_Rep3_E,Escherichia coli,K-12,MG1655
SRR17249532,12093823,1129926574,93,789,SRX13428503,GSM5738306,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329477,SAMN24144355,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738306,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Expo_Rep3_F,Escherichia coli,K-12,MG1655
SRR17249528,13553717,1309534842,96,927,SRX13428504,GSM5738307,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329479,SAMN24144354,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738307,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Expo_Rep3_G,Escherichia coli,K-12,MG1655
SRR17249527,13039704,1368326197,104,989,SRX13428505,GSM5738308,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329478,SAMN24144353,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738308,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Stat_Rep1_A,Escherichia coli,K-12,MG1655
SRR17249529,11395804,1445046798,126,1034,SRX13428506,GSM5738309,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329480,SAMN24144352,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738309,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Stat_Rep1_B,Escherichia coli,K-12,MG1655
SRR17249526,11778355,1399354337,118,1001,SRX13428507,GSM5738310,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329482,SAMN24144351,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738310,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Stat_Rep1_C,Escherichia coli,K-12,MG1655
SRR17249530,12209980,1538643215,126,1101,SRX13428508,GSM5738311,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329481,SAMN24144350,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738311,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Stat_Rep1_D,Escherichia coli,K-12,MG1655
SRR17249525,12842989,1536232641,119,1103,SRX13428509,GSM5738312,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329483,SAMN24144349,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738312,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Stat_Rep1_E,Escherichia coli,K-12,MG1655
SRR17249531,12458207,1608833752,129,1152,SRX13428510,GSM5738313,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329485,SAMN24144348,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738313,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Stat_Rep1_F,Escherichia coli,K-12,MG1655
SRR17249524,13364842,1683758748,125,1207,SRX13428511,GSM5738314,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329484,SAMN24144347,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738314,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Stat_Rep1_G,Escherichia coli,K-12,MG1655
SRR17249520,13962348,1680597743,120,1206,SRX13428512,GSM5738316,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329486,SAMN24144345,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738316,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Stat_Rep2_B,Escherichia coli,K-12,MG1655
SRR17249519,11906463,1406717469,118,1012,SRX13428513,GSM5738315,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329487,SAMN24144346,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738315,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Stat_Rep2_A,Escherichia coli,K-12,MG1655
SRR17249518,12450990,1525202877,122,1094,SRX13428514,GSM5738317,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329489,SAMN24144344,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738317,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Stat_Rep2_C,Escherichia coli,K-12,MG1655
SRR17249521,12008760,1549489871,129,1106,SRX13428515,GSM5738318,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329488,SAMN24144343,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738318,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Stat_Rep2_D,Escherichia coli,K-12,MG1655
SRR17249517,13659466,1677786078,122,1199,SRX13428516,GSM5738319,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329490,SAMN24144342,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738319,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Stat_Rep2_E,Escherichia coli,K-12,MG1655
SRR17249522,12411805,1546074133,124,1103,SRX13428517,GSM5738320,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329491,SAMN24144341,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738320,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Stat_Rep2_F,Escherichia coli,K-12,MG1655
SRR17249516,10029024,1514186735,150,1081,SRX13428518,GSM5738321,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329492,SAMN24144340,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738321,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Stat_Rep2_G,Escherichia coli,K-12,MG1655
SRR17249523,14536322,1368246516,94,996,SRX13428519,GSM5738322,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329493,SAMN24144339,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738322,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Stat_Rep3_A,Escherichia coli,K-12,MG1655
SRR17249515,12607426,1593564836,126,1147,SRX13428520,GSM5738323,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329494,SAMN24144338,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738323,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Stat_Rep3_B,Escherichia coli,K-12,MG1655
SRR17249514,12831699,1558274039,121,1121,SRX13428521,GSM5738324,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329496,SAMN24144337,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738324,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Stat_Rep3_C,Escherichia coli,K-12,MG1655
SRR17249512,11555149,1476768181,127,1058,SRX13428522,GSM5738325,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329495,SAMN24144336,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738325,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Stat_Rep3_D,Escherichia coli,K-12,MG1655
SRR17249511,16457771,1765661238,107,1273,SRX13428523,GSM5738326,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329497,SAMN24144335,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738326,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Stat_Rep3_E,Escherichia coli,K-12,MG1655
SRR17249513,16396221,1927624382,117,1382,SRX13428524,GSM5738327,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329499,SAMN24144334,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738327,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Stat_Rep3_F,Escherichia coli,K-12,MG1655
SRR17249510,11453336,1662227700,145,1185,SRX13428525,GSM5738328,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent Proton,SRP351137,PRJNA789568,35138139,"",SRS11329498,SAMN24144333,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM5738328,TBI,SRA1376420,02,2022,Nguyen,Escherichia coli,Stat_Rep3_G,Escherichia coli,K-12,MG1655
