Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,strain,developmental stage,genotype,GEO Accession
SRR8899091,43660252,2226672852,51,1487,SRX5685202,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192590,PRJNA532897,31483294,"",SRS4625111,SAMN11418686,simple,10090,Mus musculus,GSM3722576,GEO,SRA874281,09,2019,Kim,Cortical neuron,neuron_RPF_WT_3,Cortical neuron,Cortical neuron sorted from brain,C57BL/6,E18,WT,GSM3722576
SRR8899092,243382145,12412489395,51,8591,SRX5685203,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192590,PRJNA532897,31483294,"",SRS4625112,SAMN11418689,simple,10090,Mus musculus,GSM3722577,GEO,SRA874281,09,2019,Kim,Cortical neuron,neuron_RPF_C1483Y_1,Cortical neuron,Cortical neuron sorted from brain,C57BL/6,E18,C1483Y,GSM3722577
SRR8899093,81687139,4166044089,51,2642,SRX5685204,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192590,PRJNA532897,31483294,"",SRS4625113,SAMN11418685,simple,10090,Mus musculus,GSM3722578,GEO,SRA874281,09,2019,Kim,Cortical neuron,neuron_RPF_C1483Y_2,Cortical neuron,Cortical neuron sorted from brain,C57BL/6,E18,C1483Y,GSM3722578
SRR8899094,28359495,1446334245,51,984,SRX5685205,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192590,PRJNA532897,31483294,"",SRS4625114,SAMN11418702,simple,10090,Mus musculus,GSM3722579,GEO,SRA874281,09,2019,Kim,Cortical neuron,neuron_RPF_C1483Y_3,Cortical neuron,Cortical neuron sorted from brain,C57BL/6,E18,C1483Y,GSM3722579
SRR8899095,82527477,5312613977,64,4792,SRX5685206,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192590,PRJNA532897,31483294,"",SRS4625115,SAMN11418701,simple,10090,Mus musculus,GSM3722580,GEO,SRA874281,09,2019,Kim,Cortical neuron,neuron_RPF_L2427P_1,Cortical neuron,Cortical neuron sorted from brain,C57BL/6,E18,L2427P,GSM3722580
SRR8899096,68279276,3482243076,51,2248,SRX5685207,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192590,PRJNA532897,31483294,"",SRS4625116,SAMN11418700,simple,10090,Mus musculus,GSM3722581,GEO,SRA874281,09,2019,Kim,Cortical neuron,neuron_RPF_L2427P_2,Cortical neuron,Cortical neuron sorted from brain,C57BL/6,E18,L2427P,GSM3722581
SRR8899097,80379748,4099367148,51,2887,SRX5685208,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192590,PRJNA532897,31483294,"",SRS4625117,SAMN11418699,simple,10090,Mus musculus,GSM3722582,GEO,SRA874281,09,2019,Kim,Cortical neuron,neuron_RPF_L2427P_3,Cortical neuron,Cortical neuron sorted from brain,C57BL/6,E18,L2427P,GSM3722582
SRR8899098,132516557,6758344407,51,4221,SRX5685209,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192590,PRJNA532897,31483294,"",SRS4625118,SAMN11418698,simple,10090,Mus musculus,GSM3722583,GEO,SRA874281,09,2019,Kim,Cortical neuron,neuron_mRNA_WT_1,Cortical neuron,Cortical neuron sorted from brain,C57BL/6,E18,WT,GSM3722583
SRR8899099,132516557,6758344407,51,4221,SRX5685210,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192590,PRJNA532897,31483294,"",SRS4625119,SAMN11418697,simple,10090,Mus musculus,GSM3722584,GEO,SRA874281,09,2019,Kim,Cortical neuron,neuron_mRNA_WT_2,Cortical neuron,Cortical neuron sorted from brain,C57BL/6,E18,WT,GSM3722584
SRR8899100,141375625,7210156875,51,4815,SRX5685211,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192590,PRJNA532897,31483294,"",SRS4625120,SAMN11418696,simple,10090,Mus musculus,GSM3722585,GEO,SRA874281,09,2019,Kim,Cortical neuron,neuron_mRNA_WT_3,Cortical neuron,Cortical neuron sorted from brain,C57BL/6,E18,WT,GSM3722585
SRR8899101,147912808,7543553208,51,4721,SRX5685212,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192590,PRJNA532897,31483294,"",SRS4625121,SAMN11418695,simple,10090,Mus musculus,GSM3722586,GEO,SRA874281,09,2019,Kim,Cortical neuron,neuron_mRNA_C1483Y_1,Cortical neuron,Cortical neuron sorted from brain,C57BL/6,E18,C1483Y,GSM3722586
SRR8899102,143206719,7303542669,51,4851,SRX5685213,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192590,PRJNA532897,31483294,"",SRS4625122,SAMN11418694,simple,10090,Mus musculus,GSM3722587,GEO,SRA874281,09,2019,Kim,Cortical neuron,neuron_mRNA_C1483Y_2,Cortical neuron,Cortical neuron sorted from brain,C57BL/6,E18,C1483Y,GSM3722587
SRR8899103,92636343,4724453493,51,3189,SRX5685214,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP192590,PRJNA532897,31483294,"",SRS4625123,SAMN11418693,simple,10090,Mus musculus,GSM3722588,GEO,SRA874281,09,2019,Kim,Cortical neuron,neuron_mRNA_C1483Y_3,Cortical neuron,Cortical neuron sorted from brain,C57BL/6,E18,C1483Y,GSM3722588
