Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,strain,batch,molecule type,GEO Accession
SRR5398651,6633366,338301666,51,212,SRX2693397,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102816,PRJNA381205,1,"",SRS2090010,SAMN06672130,simple,10090,Mus musculus,GSM2561004,GEO,SRA550674,01,2019,Makar,Bone-marrow derived macrophages,KO #1 RPF,Bone-marrow derived macrophages,Apobec1 -/-,C57BL/6J,1,ribosome protected fragment (RPFs),GSM2561004
SRR5398652,19455370,992223870,51,613,SRX2693398,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102816,PRJNA381205,1,"",SRS2090012,SAMN06672131,simple,10090,Mus musculus,GSM2561005,GEO,SRA550674,01,2019,Makar,"","GEO accession GSM2561005 is currently private and is scheduled to be released on Dec 31, 2018.",Bone-marrow derived macrophages,Apobec1 -/-,C57BL/6J,2,total RNA,GSM2561005
SRR5398653,16170310,824685810,51,515,SRX2693399,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102816,PRJNA381205,1,"",SRS2090011,SAMN06672133,simple,10090,Mus musculus,GSM2561006,GEO,SRA550674,01,2019,Makar,"","GEO accession GSM2561006 is currently private and is scheduled to be released on Dec 31, 2018.",Bone-marrow derived macrophages,Apobec1 -/-,C57BL/6J,2,ribosome protected fragment (RPFs),GSM2561006
SRR5398654,19950397,1017470247,51,617,SRX2693400,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102816,PRJNA381205,1,"",SRS2090013,SAMN06672132,simple,10090,Mus musculus,GSM2561007,GEO,SRA550674,01,2019,Makar,"","GEO accession GSM2561007 is currently private and is scheduled to be released on Dec 31, 2018.",Bone-marrow derived macrophages,Apobec1 -/-,C57BL/6J,2,total RNA,GSM2561007
SRR5398655,3379180,172338180,51,108,SRX2693401,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102816,PRJNA381205,1,"",SRS2090014,SAMN06672110,simple,10090,Mus musculus,GSM2561008,GEO,SRA550674,01,2019,Makar,"","GEO accession GSM2561008 is currently private and is scheduled to be released on Dec 31, 2018.",Bone-marrow derived macrophages,wildtype,C57BL/6J,2,ribosome protected fragment (RPFs),GSM2561008
SRR5398656,14293801,728983851,51,443,SRX2693402,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102816,PRJNA381205,1,"",SRS2090015,SAMN06672129,simple,10090,Mus musculus,GSM2561009,GEO,SRA550674,01,2019,Makar,"","GEO accession GSM2561009 is currently private and is scheduled to be released on Dec 31, 2018.",Bone-marrow derived macrophages,wildtype,C57BL/6J,2,total RNA,GSM2561009
SRR5398657,13031785,664621035,51,419,SRX2693403,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102816,PRJNA381205,1,"",SRS2090016,SAMN06672128,simple,10090,Mus musculus,GSM2561010,GEO,SRA550674,01,2019,Makar,"","GEO accession GSM2561010 is currently private and is scheduled to be released on Dec 31, 2018.",Bone-marrow derived macrophages,Apobec1 -/-,C57BL/6J,3,ribosome protected fragment (RPFs),GSM2561010
SRR5398658,21437136,1093293936,51,670,SRX2693404,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102816,PRJNA381205,1,"",SRS2090017,SAMN06672127,simple,10090,Mus musculus,GSM2561011,GEO,SRA550674,01,2019,Makar,"","GEO accession GSM2561011 is currently private and is scheduled to be released on Dec 31, 2018.",Bone-marrow derived macrophages,Apobec1 -/-,C57BL/6J,3,total RNA,GSM2561011
SRR5398659,16386558,835714458,51,385,SRX2693405,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102816,PRJNA381205,1,"",SRS2090018,SAMN06672126,simple,10090,Mus musculus,GSM2561012,GEO,SRA550674,01,2019,Makar,"","GEO accession GSM2561012 is currently private and is scheduled to be released on Dec 31, 2018.",Bone-marrow derived macrophages,Apobec1 -/-,C57BL/6J,3,ribosome protected fragment (RPFs),GSM2561012
SRR5398660,18623891,949818441,51,434,SRX2693406,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP102816,PRJNA381205,1,"",SRS2090020,SAMN06672125,simple,10090,Mus musculus,GSM2561013,GEO,SRA550674,01,2019,Makar,"","GEO accession GSM2561013 is currently private and is scheduled to be released on Dec 31, 2018.",Bone-marrow derived macrophages,Apobec1 -/-,C57BL/6J,3,total RNA,GSM2561013
