Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,sample name
ERR3804289,4668320,685528790,146,256,ERX3806179,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP119285,PRJEB36134,1,"",ERS4228758,SAMEA6463254,simple,84022,Clostridium aceticum,SAMEA6463254,KAIST,ERA2339832,01,2020,Makar,"",Clostridium aceticum RNA-Seq and Ribo-Seq,2020-01-30,2020-01-10,SAMEA6463254,KAIST,KAIST,2020-01-30T08:04:47Z,2020-01-10T05:57:06Z,public,Clostridium_aceticum_RNA_A1,Clostridium_aceticum_RNA_A1
ERR3804290,4818249,714450616,148,268,ERX3806180,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP119285,PRJEB36134,1,"",ERS4228759,SAMEA6463255,simple,84022,Clostridium aceticum,SAMEA6463255,KAIST,ERA2339832,01,2020,Makar,"",Clostridium aceticum RNA-Seq and Ribo-Seq,2020-01-30,2020-01-10,SAMEA6463255,KAIST,KAIST,2020-01-30T08:04:47Z,2020-01-10T05:57:06Z,public,Clostridium_aceticum_RNA_A2,Clostridium_aceticum_RNA_A2
ERR3804291,8592897,1093780182,127,453,ERX3806181,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP119285,PRJEB36134,1,"",ERS4228760,SAMEA6463256,simple,84022,Clostridium aceticum,SAMEA6463256,KAIST,ERA2339832,01,2020,Makar,"",Clostridium aceticum RNA-Seq and Ribo-Seq,2020-01-30,2020-01-10,SAMEA6463256,KAIST,KAIST,2020-01-30T08:04:47Z,2020-01-10T05:57:06Z,public,Clostridium_aceticum_RNA_H1,Clostridium_aceticum_RNA_H1
ERR3804292,6693980,816081071,121,342,ERX3806182,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,ERP119285,PRJEB36134,1,"",ERS4228761,SAMEA6463257,simple,84022,Clostridium aceticum,SAMEA6463257,KAIST,ERA2339832,01,2020,Makar,"",Clostridium aceticum RNA-Seq and Ribo-Seq,2020-01-30,2020-01-10,SAMEA6463257,KAIST,KAIST,2020-01-30T08:04:47Z,2020-01-10T05:57:06Z,public,Clostridium_aceticum_RNA_H2,Clostridium_aceticum_RNA_H2
ERR3804293,136831370,6978399870,51,3212,ERX3806183,unspecified,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP119285,PRJEB36134,1,"",ERS4228762,SAMEA6463258,simple,84022,Clostridium aceticum,SAMEA6463258,KAIST,ERA2339832,01,2020,Makar,"",Clostridium aceticum RNA-Seq and Ribo-Seq,2020-01-30,2020-01-10,SAMEA6463258,KAIST,KAIST,2020-01-30T08:04:47Z,2020-01-10T05:57:06Z,public,Clostridium_aceticum_Ribo_H1,Clostridium_aceticum_Ribo_H1
ERR3804294,33584417,1712805267,51,803,ERX3806184,unspecified,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP119285,PRJEB36134,1,"",ERS4228762,SAMEA6463258,simple,84022,Clostridium aceticum,SAMEA6463258,KAIST,ERA2339832,01,2020,Makar,"",Clostridium aceticum RNA-Seq and Ribo-Seq,2020-01-30,2020-01-10,SAMEA6463258,KAIST,KAIST,2020-01-30T08:04:47Z,2020-01-10T05:57:06Z,public,Clostridium_aceticum_Ribo_H1,Clostridium_aceticum_Ribo_H1
ERR3804295,150136426,7656957726,51,3417,ERX3806185,unspecified,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP119285,PRJEB36134,1,"",ERS4228763,SAMEA6463259,simple,84022,Clostridium aceticum,SAMEA6463259,KAIST,ERA2339832,01,2020,Makar,"",Clostridium aceticum RNA-Seq and Ribo-Seq,2020-01-30,2020-01-10,SAMEA6463259,KAIST,KAIST,2020-01-30T08:04:47Z,2020-01-10T05:57:06Z,public,Clostridium_aceticum_Ribo_H2,Clostridium_aceticum_Ribo_H2
ERR3804296,37290737,1901827587,51,926,ERX3806186,unspecified,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP119285,PRJEB36134,1,"",ERS4228763,SAMEA6463259,simple,84022,Clostridium aceticum,SAMEA6463259,KAIST,ERA2339832,01,2020,Makar,"",Clostridium aceticum RNA-Seq and Ribo-Seq,2020-01-30,2020-01-10,SAMEA6463259,KAIST,KAIST,2020-01-30T08:04:47Z,2020-01-10T05:57:06Z,public,Clostridium_aceticum_Ribo_H2,Clostridium_aceticum_Ribo_H2
ERR3804297,175009976,8925508776,51,4446,ERX3806187,unspecified,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP119285,PRJEB36134,1,"",ERS4228764,SAMEA6463260,simple,84022,Clostridium aceticum,SAMEA6463260,KAIST,ERA2339832,01,2020,Makar,"",Clostridium aceticum RNA-Seq and Ribo-Seq,2020-01-30,2020-01-10,SAMEA6463260,KAIST,KAIST,2020-01-30T08:04:47Z,2020-01-10T05:57:06Z,public,Clostridium_aceticum_Ribo_A1,Clostridium_aceticum_Ribo_A1
ERR3804298,51704364,2636922564,51,1288,ERX3806188,unspecified,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP119285,PRJEB36134,1,"",ERS4228764,SAMEA6463260,simple,84022,Clostridium aceticum,SAMEA6463260,KAIST,ERA2339832,01,2020,Makar,"",Clostridium aceticum RNA-Seq and Ribo-Seq,2020-01-30,2020-01-10,SAMEA6463260,KAIST,KAIST,2020-01-30T08:04:47Z,2020-01-10T05:57:06Z,public,Clostridium_aceticum_Ribo_A1,Clostridium_aceticum_Ribo_A1
