Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain background,genotype/variation,developmental stage,tissue,experiment,molecule subtype,GEO Accession
SRR10486162,86662230,4246449270,49,2981,SRX7175565,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP230417,PRJNA590189,1,"",SRS5682446,SAMN13320153,simple,10090,Mus musculus,GSM4174233,GEO,SRA998023,06,2020,Makar,Fmr1/Cpeb1 double KO_brain cortex,rep1_RNA_2K,Fmr1/Cpeb1 double KO_brain cortex,FVB.129P2-/Pde6b^+ Tyr^c-ch //AntJ,Fmr1/Cpeb1 double KO,P28-35,mouse brain cortex,cytoplasmic fraction RNA-seq,random fragmented RNA,GSM4174233
SRR10486163,82285584,4031993616,49,2783,SRX7175566,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP230417,PRJNA590189,1,"",SRS5682447,SAMN13320152,simple,10090,Mus musculus,GSM4174234,GEO,SRA998023,06,2020,Makar,Cpeb1 single KO_brain cortex,rep1_RNA_CK,Cpeb1 single KO_brain cortex,FVB.129P2-/Pde6b^+ Tyr^c-ch //AntJ,Cpeb1 single KO,P28-35,mouse brain cortex,cytoplasmic fraction RNA-seq,random fragmented RNA,GSM4174234
SRR10486164,93621380,4587447620,49,3163,SRX7175567,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP230417,PRJNA590189,1,"",SRS5682448,SAMN13320151,simple,10090,Mus musculus,GSM4174235,GEO,SRA998023,06,2020,Makar,Fmr1 single KO_brain cortex,rep1_RNA_FK,Fmr1 single KO_brain cortex,FVB.129P2-/Pde6b^+ Tyr^c-ch //AntJ,Fmr1 single KO,P28-35,mouse brain cortex,cytoplasmic fraction RNA-seq,random fragmented RNA,GSM4174235
SRR10486165,85605949,4194691501,49,2893,SRX7175568,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP230417,PRJNA590189,1,"",SRS5682449,SAMN13320150,simple,10090,Mus musculus,GSM4174236,GEO,SRA998023,06,2020,Makar,wild type_brain cortex,rep1_RNA_WT,wild type_brain cortex,FVB.129P2-/Pde6b^+ Tyr^c-ch //AntJ,wild type,P28-35,mouse brain cortex,cytoplasmic fraction RNA-seq,random fragmented RNA,GSM4174236
SRR10486166,46449844,2276042356,49,1595,SRX7175569,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP230417,PRJNA590189,1,"",SRS5682450,SAMN13320149,simple,10090,Mus musculus,GSM4174237,GEO,SRA998023,06,2020,Makar,Fmr1/Cpeb1 double KO_brain cortex,rep2_RNA_2K,Fmr1/Cpeb1 double KO_brain cortex,FVB.129P2-/Pde6b^+ Tyr^c-ch //AntJ,Fmr1/Cpeb1 double KO,P28-35,mouse brain cortex,cytoplasmic fraction RNA-seq,random fragmented RNA,GSM4174237
SRR10486167,47567138,2330789762,49,1625,SRX7175570,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP230417,PRJNA590189,1,"",SRS5682451,SAMN13320148,simple,10090,Mus musculus,GSM4174238,GEO,SRA998023,06,2020,Makar,Cpeb1 single KO_brain cortex,rep2_RNA_CK,Cpeb1 single KO_brain cortex,FVB.129P2-/Pde6b^+ Tyr^c-ch //AntJ,Cpeb1 single KO,P28-35,mouse brain cortex,cytoplasmic fraction RNA-seq,random fragmented RNA,GSM4174238
SRR10486168,50343320,2466822680,49,1704,SRX7175571,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP230417,PRJNA590189,1,"",SRS5682452,SAMN13320147,simple,10090,Mus musculus,GSM4174239,GEO,SRA998023,06,2020,Makar,Fmr1 single KO_brain cortex,rep2_RNA_FK,Fmr1 single KO_brain cortex,FVB.129P2-/Pde6b^+ Tyr^c-ch //AntJ,Fmr1 single KO,P28-35,mouse brain cortex,cytoplasmic fraction RNA-seq,random fragmented RNA,GSM4174239
SRR10486169,45109863,2210383287,49,1556,SRX7175572,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP230417,PRJNA590189,1,"",SRS5682453,SAMN13320146,simple,10090,Mus musculus,GSM4174240,GEO,SRA998023,06,2020,Makar,wild type_brain cortex,rep2_RNA_WT,wild type_brain cortex,FVB.129P2-/Pde6b^+ Tyr^c-ch //AntJ,wild type,P28-35,mouse brain cortex,cytoplasmic fraction RNA-seq,random fragmented RNA,GSM4174240
SRR10486170,98814359,5314530250,53,2016,SRX7175573,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP230417,PRJNA590189,1,"",SRS5682454,SAMN13320145,simple,10090,Mus musculus,GSM4174241,GEO,SRA998023,06,2020,Makar,Fmr1/Cpeb1 double KO_brain cortex,rep1_RPF_2K,Fmr1/Cpeb1 double KO_brain cortex,FVB.129P2-/Pde6b^+ Tyr^c-ch //AntJ,Fmr1/Cpeb1 double KO,P28-35,mouse brain cortex,ribosome profiling,ribosome protected RNA footprint,GSM4174241
SRR10486171,103766993,5623232097,54,2069,SRX7175574,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP230417,PRJNA590189,1,"",SRS5682455,SAMN13320144,simple,10090,Mus musculus,GSM4174242,GEO,SRA998023,06,2020,Makar,Cpeb1 single KO_brain cortex,rep1_RPF_CK,Cpeb1 single KO_brain cortex,FVB.129P2-/Pde6b^+ Tyr^c-ch //AntJ,Cpeb1 single KO,P28-35,mouse brain cortex,ribosome profiling,ribosome protected RNA footprint,GSM4174242
