Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,time in development,strain,GEO Accession
SRR3356596,43988871,2243432421,51,1516,SRX1690333,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073117,PRJNA318054,28111013,"",SRS1394003,SAMN04633142,simple,6239,Caenorhabditis elegans,GSM2113587,GEO,SRA409080,07,2017,Aeschimann,Whole worm,RNASeq_riboM_let-7(n2853)_18hr,Whole worm,18 hours,let-7(n2853),GSM2113587
SRR3356597,50000000,2.55e+09,51,1716,SRX1690334,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073117,PRJNA318054,28111013,"",SRS1394001,SAMN04633143,simple,6239,Caenorhabditis elegans,GSM2113588,GEO,SRA409080,07,2017,Aeschimann,Whole worm,RNASeq_riboM_let-7(n2853)_20hr,Whole worm,20 hours,let-7(n2853),GSM2113588
SRR3356598,7983282,407147382,51,274,SRX1690334,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073117,PRJNA318054,28111013,"",SRS1394001,SAMN04633143,simple,6239,Caenorhabditis elegans,GSM2113588,GEO,SRA409080,07,2017,Aeschimann,Whole worm,RNASeq_riboM_let-7(n2853)_20hr,Whole worm,22 hours,let-7(n2853),GSM2113589
SRR3356599,50000000,2.55e+09,51,1673,SRX1690335,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073117,PRJNA318054,28111013,"",SRS1394000,SAMN04633144,simple,6239,Caenorhabditis elegans,GSM2113589,GEO,SRA409080,07,2017,Aeschimann,Whole worm,RNASeq_riboM_let-7(n2853)_22hr,Whole worm,24 hours,let-7(n2853),GSM2113590
SRR3356600,1497689,76382139,51,52,SRX1690335,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073117,PRJNA318054,28111013,"",SRS1394000,SAMN04633144,simple,6239,Caenorhabditis elegans,GSM2113589,GEO,SRA409080,07,2017,Aeschimann,Whole worm,RNASeq_riboM_let-7(n2853)_22hr,Whole worm,26 hours,let-7(n2853),GSM2113591
SRR3356601,50000000,2.55e+09,51,1671,SRX1690336,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073117,PRJNA318054,28111013,"",SRS1393998,SAMN04633145,simple,6239,Caenorhabditis elegans,GSM2113590,GEO,SRA409080,07,2017,Aeschimann,Whole worm,RNASeq_riboM_let-7(n2853)_24hr,Whole worm,28 hours,let-7(n2853),GSM2113592
SRR3356602,233831,11925381,51,8,SRX1690336,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073117,PRJNA318054,28111013,"",SRS1393998,SAMN04633145,simple,6239,Caenorhabditis elegans,GSM2113590,GEO,SRA409080,07,2017,Aeschimann,Whole worm,RNASeq_riboM_let-7(n2853)_24hr,Whole worm,30 hours,let-7(n2853),GSM2113593
SRR3356603,50000000,2.55e+09,51,1671,SRX1690337,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073117,PRJNA318054,28111013,"",SRS1393996,SAMN04633146,simple,6239,Caenorhabditis elegans,GSM2113591,GEO,SRA409080,07,2017,Aeschimann,Whole worm,RNASeq_riboM_let-7(n2853)_26hr,Whole worm,32 hours,let-7(n2853),GSM2113594
SRR3356604,4574609,233305059,51,155,SRX1690337,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073117,PRJNA318054,28111013,"",SRS1393996,SAMN04633146,simple,6239,Caenorhabditis elegans,GSM2113591,GEO,SRA409080,07,2017,Aeschimann,Whole worm,RNASeq_riboM_let-7(n2853)_26hr,Whole worm,34 hours,let-7(n2853),GSM2113595
SRR3356605,50000000,2.55e+09,51,1671,SRX1690338,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073117,PRJNA318054,28111013,"",SRS1393995,SAMN04633147,simple,6239,Caenorhabditis elegans,GSM2113592,GEO,SRA409080,07,2017,Aeschimann,Whole worm,RNASeq_riboM_let-7(n2853)_28hr,Whole worm,36 hours,let-7(n2853),GSM2113596
