Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strategy,experiment performed in,genotype,molecule subtype,GEO Accession
SRR13777331,23708,1303698,,1,SRX10162901,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP307946,PRJNA704627,34029205,"",SRS8314557,SAMN18050564,simple,2697049,Severe acute respiratory syndrome coronavirus 2,GSM5105026,GEO,SRA1199706,05,2021,Bhatt,Rabbit Reticulocyte lysate,Monosome – Wild Type,Rabbit Reticulocyte lysate,In-vitro translation,Rabbit Reticulocyte cells,Wildtype,Ribosome footprints,GSM5105026
SRR13777332,23856,1313034,,1,SRX10162901,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP307946,PRJNA704627,34029205,"",SRS8314557,SAMN18050564,simple,2697049,Severe acute respiratory syndrome coronavirus 2,GSM5105026,GEO,SRA1199706,05,2021,Bhatt,Rabbit Reticulocyte lysate,Monosome – Wild Type,Rabbit Reticulocyte lysate,In-vitro translation,Rabbit Reticulocyte cells,Wildtype,Disome footprints,GSM5105027
SRR13777333,2763,152438,,0,SRX10162901,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP307946,PRJNA704627,34029205,"",SRS8314557,SAMN18050564,simple,2697049,Severe acute respiratory syndrome coronavirus 2,GSM5105026,GEO,SRA1199706,05,2021,Bhatt,Rabbit Reticulocyte lysate,Monosome – Wild Type,Rabbit Reticulocyte lysate,In-vitro translation,Rabbit Reticulocyte cells,SARS-CoV-2 Mutant,Ribosome footprints,GSM5105028
SRR13777334,166029,15420432,,9,SRX10162902,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP307946,PRJNA704627,34029205,"",SRS8314558,SAMN18050562,simple,2697049,Severe acute respiratory syndrome coronavirus 2,GSM5105027,GEO,SRA1199706,05,2021,Bhatt,Rabbit Reticulocyte lysate,Disomes – Wild type,Rabbit Reticulocyte lysate,In-vitro translation,Rabbit Reticulocyte cells,SARS-CoV-2 Mutant,Disome footprints,GSM5105029
SRR13777335,166599,15475975,,9,SRX10162902,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP307946,PRJNA704627,34029205,"",SRS8314558,SAMN18050562,simple,2697049,Severe acute respiratory syndrome coronavirus 2,GSM5105027,GEO,SRA1199706,05,2021,Bhatt,Rabbit Reticulocyte lysate,Disomes – Wild type,Rabbit Reticulocyte lysate,In-vitro translation,Rabbit Reticulocyte cells,Wildtype,Ribosome footprints,GSM5105026
SRR13777336,26600,2439695,,1,SRX10162902,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP307946,PRJNA704627,34029205,"",SRS8314558,SAMN18050562,simple,2697049,Severe acute respiratory syndrome coronavirus 2,GSM5105027,GEO,SRA1199706,05,2021,Bhatt,Rabbit Reticulocyte lysate,Disomes – Wild type,Rabbit Reticulocyte lysate,In-vitro translation,Rabbit Reticulocyte cells,Wildtype,Disome footprints,GSM5105027
SRR13777337,38411,2087067,,1,SRX10162903,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP307946,PRJNA704627,34029205,"",SRS8314559,SAMN18050561,simple,2697049,Severe acute respiratory syndrome coronavirus 2,GSM5105028,GEO,SRA1199706,05,2021,Bhatt,Rabbit Reticulocyte lysate,Monosome – Mutant,Rabbit Reticulocyte lysate,In-vitro translation,Rabbit Reticulocyte cells,SARS-CoV-2 Mutant,Ribosome footprints,GSM5105028
SRR13777338,38713,2104287,,1,SRX10162903,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP307946,PRJNA704627,34029205,"",SRS8314559,SAMN18050561,simple,2697049,Severe acute respiratory syndrome coronavirus 2,GSM5105028,GEO,SRA1199706,05,2021,Bhatt,Rabbit Reticulocyte lysate,Monosome – Mutant,Rabbit Reticulocyte lysate,In-vitro translation,Rabbit Reticulocyte cells,SARS-CoV-2 Mutant,Disome footprints,GSM5105029
SRR13777339,4842,263598,,0,SRX10162903,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP307946,PRJNA704627,34029205,"",SRS8314559,SAMN18050561,simple,2697049,Severe acute respiratory syndrome coronavirus 2,GSM5105028,GEO,SRA1199706,05,2021,Bhatt,Rabbit Reticulocyte lysate,Monosome – Mutant,Rabbit Reticulocyte lysate,In-vitro translation,Rabbit Reticulocyte cells,Wildtype,Ribosome footprints,GSM5105026
SRR13777340,244090,23217141,,14,SRX10162904,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP307946,PRJNA704627,34029205,"",SRS8314560,SAMN18050678,simple,2697049,Severe acute respiratory syndrome coronavirus 2,GSM5105029,GEO,SRA1199706,05,2021,Bhatt,Rabbit Reticulocyte lysate,Disomes – Mutant,Rabbit Reticulocyte lysate,In-vitro translation,Rabbit Reticulocyte cells,Wildtype,Disome footprints,GSM5105027
