Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,batch,development stage,library type,treatment,GEO Accession
SRR12495000,13376642,4039745884,151,1700,SRX8986466,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240670,SAMN15880470,simple,9606,Homo sapiens,GSM4736538,GEO,SRA1115933,08,2020,Makar,neuronal precursor cells,D7 RNAdecay 1h rep2,neuronal precursor cells,neuronal precursor cells,batch7,Day7,RNAdecay,Actinmycin D,GSM4736538
SRR12495001,12497834,3774345868,151,1676,SRX8986467,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240671,SAMN15880469,simple,9606,Homo sapiens,GSM4736539,GEO,SRA1115933,08,2020,Makar,early neurons,D8 RNAdecay 1h rep1,early neurons,early neurons,batch6,Day8,RNAdecay,Actinmycin D,GSM4736539
SRR12495002,12796598,3864572596,151,1605,SRX8986468,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240672,SAMN15880468,simple,9606,Homo sapiens,GSM4736540,GEO,SRA1115933,08,2020,Makar,early neurons,D8 RNAdecay 1h rep2,early neurons,early neurons,batch7,Day8,RNAdecay,Actinmycin D,GSM4736540
SRR12495003,13885262,4193349124,151,1732,SRX8986469,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240673,SAMN15880463,simple,9606,Homo sapiens,GSM4736541,GEO,SRA1115933,08,2020,Makar,neurons,D14 RNAdecay 1h rep1,neurons,neurons,batch6,Day14,RNAdecay,Actinmycin D,GSM4736541
SRR12495004,12174772,3676781144,151,1571,SRX8986470,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240674,SAMN15880467,simple,9606,Homo sapiens,GSM4736542,GEO,SRA1115933,08,2020,Makar,neurons,D14 RNAdecay 1h rep2,neurons,neurons,batch7,Day14,RNAdecay,Actinmycin D,GSM4736542
SRR12495005,15599310,4710991620,151,2040,SRX8986471,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240675,SAMN15880466,simple,9606,Homo sapiens,GSM4736543,GEO,SRA1115933,08,2020,Makar,hESCs,D0 RNAdecay 2h rep1,hESCs,hESCs,batch6,Day0,RNAdecay,Actinmycin D,GSM4736543
SRR12495006,19541152,5901427904,151,2424,SRX8986472,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240676,SAMN15880465,simple,9606,Homo sapiens,GSM4736544,GEO,SRA1115933,08,2020,Makar,hESCs,D0 RNAdecay 2h rep2,hESCs,hESCs,batch7,Day0,RNAdecay,Actinmycin D,GSM4736544
SRR12495007,14091487,4255629074,151,1875,SRX8986473,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240677,SAMN15880464,simple,9606,Homo sapiens,GSM4736545,GEO,SRA1115933,08,2020,Makar,neuronal precursor cells,D7 RNAdecay 2h rep1,neuronal precursor cells,neuronal precursor cells,batch6,Day7,RNAdecay,Actinmycin D,GSM4736545
SRR12495008,12808367,3868126834,151,1634,SRX8986474,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240678,SAMN15880461,simple,9606,Homo sapiens,GSM4736546,GEO,SRA1115933,08,2020,Makar,neuronal precursor cells,D7 RNAdecay 2h rep2,neuronal precursor cells,neuronal precursor cells,batch7,Day7,RNAdecay,Actinmycin D,GSM4736546
SRR12495009,12932269,3905545238,151,1741,SRX8986475,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240679,SAMN15880462,simple,9606,Homo sapiens,GSM4736547,GEO,SRA1115933,08,2020,Makar,early neurons,D8 RNAdecay 2h rep1,early neurons,early neurons,batch6,Day8,RNAdecay,Actinmycin D,GSM4736547
SRR12495010,14240053,4300496006,151,1795,SRX8986476,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240680,SAMN15880460,simple,9606,Homo sapiens,GSM4736548,GEO,SRA1115933,08,2020,Makar,early neurons,D8 RNAdecay 2h rep2,early neurons,early neurons,batch7,Day8,RNAdecay,Actinmycin D,GSM4736548
SRR12495011,13416246,4051706292,151,1704,SRX8986477,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240681,SAMN15880459,simple,9606,Homo sapiens,GSM4736549,GEO,SRA1115933,08,2020,Makar,neurons,D14 RNAdecay 2h rep1,neurons,neurons,batch6,Day14,RNAdecay,Actinmycin D,GSM4736549
SRR12495012,13208316,3988911432,151,1709,SRX8986478,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240682,SAMN15880458,simple,9606,Homo sapiens,GSM4736550,GEO,SRA1115933,08,2020,Makar,neurons,D14 RNAdecay 2h rep2,neurons,neurons,batch7,Day14,RNAdecay,Actinmycin D,GSM4736550
SRR12495013,14957817,4517260734,151,1948,SRX8986479,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240683,SAMN15880457,simple,9606,Homo sapiens,GSM4736551,GEO,SRA1115933,08,2020,Makar,hESCs,D0 RNAdecay 4h rep1,hESCs,hESCs,batch6,Day0,RNAdecay,Actinmycin D,GSM4736551
SRR12495014,13250135,4001540770,151,1645,SRX8986480,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240684,SAMN15880456,simple,9606,Homo sapiens,GSM4736552,GEO,SRA1115933,08,2020,Makar,hESCs,D0 RNAdecay 4h rep2,hESCs,hESCs,batch7,Day0,RNAdecay,Actinmycin D,GSM4736552
SRR12495015,13219039,3992149778,151,1747,SRX8986481,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240685,SAMN15880455,simple,9606,Homo sapiens,GSM4736553,GEO,SRA1115933,08,2020,Makar,neuronal precursor cells,D7 RNAdecay 4h rep1,neuronal precursor cells,neuronal precursor cells,batch6,Day7,RNAdecay,Actinmycin D,GSM4736553
SRR12495016,11724620,3540835240,151,1489,SRX8986482,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240686,SAMN15880570,simple,9606,Homo sapiens,GSM4736554,GEO,SRA1115933,08,2020,Makar,neuronal precursor cells,D7 RNAdecay 4h rep2,neuronal precursor cells,neuronal precursor cells,batch7,Day7,RNAdecay,Actinmycin D,GSM4736554
SRR12495017,11202928,3383284256,151,1504,SRX8986483,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240687,SAMN15880569,simple,9606,Homo sapiens,GSM4736555,GEO,SRA1115933,08,2020,Makar,early neurons,D8 RNAdecay 4h rep1,early neurons,early neurons,batch6,Day8,RNAdecay,Actinmycin D,GSM4736555
SRR12495018,13372330,4038443660,151,1674,SRX8986484,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240688,SAMN15880568,simple,9606,Homo sapiens,GSM4736556,GEO,SRA1115933,08,2020,Makar,early neurons,D8 RNAdecay 4h rep2,early neurons,early neurons,batch7,Day8,RNAdecay,Actinmycin D,GSM4736556
SRR12495019,10962063,3310543026,151,1371,SRX8986485,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240689,SAMN15880567,simple,9606,Homo sapiens,GSM4736557,GEO,SRA1115933,08,2020,Makar,neurons,D14 RNAdecay 4h rep1,neurons,neurons,batch6,Day14,RNAdecay,Actinmycin D,GSM4736557
SRR12495020,12161011,3672625322,151,1567,SRX8986486,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240690,SAMN15880566,simple,9606,Homo sapiens,GSM4736558,GEO,SRA1115933,08,2020,Makar,neurons,D14 RNAdecay 4h rep2,neurons,neurons,batch7,Day14,RNAdecay,Actinmycin D,GSM4736558
SRR12495021,13314974,4021122148,151,1741,SRX8986487,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240691,SAMN15880565,simple,9606,Homo sapiens,GSM4736559,GEO,SRA1115933,08,2020,Makar,hESCs,D0 RNAdecay 8h rep1,hESCs,hESCs,batch6,Day0,RNAdecay,Actinmycin D,GSM4736559
SRR12495022,13365621,4036417542,151,1656,SRX8986488,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240692,SAMN15880564,simple,9606,Homo sapiens,GSM4736560,GEO,SRA1115933,08,2020,Makar,hESCs,D0 RNAdecay 8h rep2,hESCs,hESCs,batch7,Day0,RNAdecay,Actinmycin D,GSM4736560
SRR12495023,13044179,3939342058,151,1723,SRX8986489,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240693,SAMN15880563,simple,9606,Homo sapiens,GSM4736561,GEO,SRA1115933,08,2020,Makar,neuronal precursor cells,D7 RNAdecay 8h rep1,neuronal precursor cells,neuronal precursor cells,batch6,Day7,RNAdecay,Actinmycin D,GSM4736561
SRR12495024,13300067,4016620234,151,1695,SRX8986490,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240694,SAMN15880562,simple,9606,Homo sapiens,GSM4736562,GEO,SRA1115933,08,2020,Makar,neuronal precursor cells,D7 RNAdecay 8h rep2,neuronal precursor cells,neuronal precursor cells,batch7,Day7,RNAdecay,Actinmycin D,GSM4736562
SRR12495025,12124063,3661467026,151,1624,SRX8986491,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP278460,PRJNA658654,1,"",SRS7240695,SAMN15880561,simple,9606,Homo sapiens,GSM4736563,GEO,SRA1115933,08,2020,Makar,early neurons,D8 RNAdecay 8h rep1,early neurons,early neurons,batch6,Day8,RNAdecay,Actinmycin D,GSM4736563
