Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,cell type,virus injection,viral injection site,GEO Accession
SRR11813223,48674406,2482394706,51,1019,SRX8364482,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP262352,PRJNA633892,1,"",SRS6680355,SAMN14973866,simple,10090,Mus musculus,GSM4559956,GEO,SRA1077146,08,2020,Makar,ventral hippocampus,BMA1,ventral hippocampus,"B6.129S4-Gt(ROSA)26Sortm1(CAG-EGFP/Rpl10a,-birA)Wtp/J (Jackson labs stock #022367)",ventral hippocampal neurons projection to the basomedial amygdala,retrograde traveling adeno-associated virus expressing Cre recombinase (AAV2-retro-Cre),basomedial amygdala,GSM4559956
SRR11813224,47887982,2442287082,51,996,SRX8364483,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP262352,PRJNA633892,1,"",SRS6680356,SAMN14973865,simple,10090,Mus musculus,GSM4559957,GEO,SRA1077146,08,2020,Makar,ventral hippocampus,BMA2,ventral hippocampus,"B6.129S4-Gt(ROSA)26Sortm1(CAG-EGFP/Rpl10a,-birA)Wtp/J (Jackson labs stock #022367)",ventral hippocampal neurons projection to the basomedial amygdala,retrograde traveling adeno-associated virus expressing Cre recombinase (AAV2-retro-Cre),basomedial amygdala,GSM4559957
SRR11813225,116318071,5932221621,51,2381,SRX8364484,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP262352,PRJNA633892,1,"",SRS6680357,SAMN14973862,simple,10090,Mus musculus,GSM4559958,GEO,SRA1077146,08,2020,Makar,ventral hippocampus,BMA3,ventral hippocampus,"B6.129S4-Gt(ROSA)26Sortm1(CAG-EGFP/Rpl10a,-birA)Wtp/J (Jackson labs stock #022367)",ventral hippocampal neurons projection to the basomedial amygdala,retrograde traveling adeno-associated virus expressing Cre recombinase (AAV2-retro-Cre),basomedial amygdala,GSM4559958
SRR11813226,63220879,3224264829,51,1315,SRX8364485,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP262352,PRJNA633892,1,"",SRS6680358,SAMN14973861,simple,10090,Mus musculus,GSM4559959,GEO,SRA1077146,08,2020,Makar,ventral hippocampus,LH1,ventral hippocampus,"B6.129S4-Gt(ROSA)26Sortm1(CAG-EGFP/Rpl10a,-birA)Wtp/J (Jackson labs stock #022367)",ventral hippocampal neurons projection to the lateral hypothalamus,retrograde traveling adeno-associated virus expressing Cre recombinase (AAV2-retro-Cre),lateral hypothalamus,GSM4559959
SRR11813227,51862402,2644982502,51,1069,SRX8364486,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP262352,PRJNA633892,1,"",SRS6680359,SAMN14973860,simple,10090,Mus musculus,GSM4559960,GEO,SRA1077146,08,2020,Makar,ventral hippocampus,LH2,ventral hippocampus,"B6.129S4-Gt(ROSA)26Sortm1(CAG-EGFP/Rpl10a,-birA)Wtp/J (Jackson labs stock #022367)",ventral hippocampal neurons projection to the lateral hypothalamus,retrograde traveling adeno-associated virus expressing Cre recombinase (AAV2-retro-Cre),lateral hypothalamus,GSM4559960
SRR11813228,55926694,2852261394,51,1132,SRX8364487,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP262352,PRJNA633892,1,"",SRS6680360,SAMN14973859,simple,10090,Mus musculus,GSM4559961,GEO,SRA1077146,08,2020,Makar,ventral hippocampus,mPFC1,ventral hippocampus,"B6.129S4-Gt(ROSA)26Sortm1(CAG-EGFP/Rpl10a,-birA)Wtp/J (Jackson labs stock #022367)",ventral hippocampal neurons projection to the medial prefrontal cortex,retrograde traveling adeno-associated virus expressing Cre recombinase (AAV2-retro-Cre),medial prefrontal cortex,GSM4559961
SRR11813229,40915948,2086713348,51,821,SRX8364488,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP262352,PRJNA633892,1,"",SRS6680361,SAMN14973858,simple,10090,Mus musculus,GSM4559962,GEO,SRA1077146,08,2020,Makar,ventral hippocampus,mPFC2,ventral hippocampus,"B6.129S4-Gt(ROSA)26Sortm1(CAG-EGFP/Rpl10a,-birA)Wtp/J (Jackson labs stock #022367)",ventral hippocampal neurons projection to the medial prefrontal cortex,retrograde traveling adeno-associated virus expressing Cre recombinase (AAV2-retro-Cre),medial prefrontal cortex,GSM4559962
SRR11813230,35361183,1803420333,51,701,SRX8364489,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP262352,PRJNA633892,1,"",SRS6680362,SAMN14973857,simple,10090,Mus musculus,GSM4559963,GEO,SRA1077146,08,2020,Makar,ventral hippocampus,mPFC3,ventral hippocampus,"B6.129S4-Gt(ROSA)26Sortm1(CAG-EGFP/Rpl10a,-birA)Wtp/J (Jackson labs stock #022367)",ventral hippocampal neurons projection to the medial prefrontal cortex,retrograde traveling adeno-associated virus expressing Cre recombinase (AAV2-retro-Cre),medial prefrontal cortex,GSM4559963
SRR11813231,45755766,2333544066,51,943,SRX8364490,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP262352,PRJNA633892,1,"",SRS6680363,SAMN14973856,simple,10090,Mus musculus,GSM4559964,GEO,SRA1077146,08,2020,Makar,ventral hippocampus,NAc1,ventral hippocampus,"B6.129S4-Gt(ROSA)26Sortm1(CAG-EGFP/Rpl10a,-birA)Wtp/J (Jackson labs stock #022367)",ventral hippocampal neurons projection to the nucleus accumbens,retrograde traveling adeno-associated virus expressing Cre recombinase (AAV2-retro-Cre),nucleus accumbens,GSM4559964
SRR11813232,55626410,2836946910,51,1137,SRX8364491,,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP262352,PRJNA633892,1,"",SRS6680364,SAMN14973855,simple,10090,Mus musculus,GSM4559965,GEO,SRA1077146,08,2020,Makar,ventral hippocampus,NAc2,ventral hippocampus,"B6.129S4-Gt(ROSA)26Sortm1(CAG-EGFP/Rpl10a,-birA)Wtp/J (Jackson labs stock #022367)",ventral hippocampal neurons projection to the nucleus accumbens,retrograde traveling adeno-associated virus expressing Cre recombinase (AAV2-retro-Cre),nucleus accumbens,GSM4559965
