Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype,condition,cells pretreated with cycloheximide,GEO Accession
SRR8439604,43832525,1256543241,28,1514,SRX5247018,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249253,SAMN10740357,simple,4932,Saccharomyces cerevisiae,GSM3561534,GEO,SRA834477,03,2019,Santos,yeast cell lysate,by4741_replete_plusChx_footprints,yeast cell lysate,BY4741,MATa his3-{delta}1 leu2-{delta}0 met15-{delta}0 ura3-{delta}0,replete,TRUE,GSM3561534
SRR8439605,7917042,228130443,28,273,SRX5247019,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249254,SAMN10740356,simple,4932,Saccharomyces cerevisiae,GSM3561535,GEO,SRA834477,03,2019,Santos,yeast cell lysate,by4741_replete_minusChx_footprints,yeast cell lysate,BY4741,MATa his3-{delta}1 leu2-{delta}0 met15-{delta}0 ura3-{delta}0,replete,FALSE,GSM3561535
SRR8439588,39719163,1145180036,28,1372,SRX5247020,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249255,SAMN10740373,simple,4932,Saccharomyces cerevisiae,GSM3561518,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_01_plusChx_footprints,yeast cell lysate,CEN.PK,MATa,YMC time point 1,TRUE,GSM3561518
SRR8439589,26045387,739923577,28,912,SRX5247021,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249256,SAMN10740372,simple,4932,Saccharomyces cerevisiae,GSM3561519,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_02_plusChx_footprints,yeast cell lysate,CEN.PK,MATa,YMC time point 2,TRUE,GSM3561519
SRR8439590,42161735,1215759253,28,1457,SRX5247022,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249257,SAMN10740371,simple,4932,Saccharomyces cerevisiae,GSM3561520,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_03_plusChx_footprints,yeast cell lysate,CEN.PK,MATa,YMC time point 3,TRUE,GSM3561520
SRR8439591,39700873,1130930676,28,1365,SRX5247023,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249258,SAMN10740370,simple,4932,Saccharomyces cerevisiae,GSM3561521,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_04_plusChx_footprints,yeast cell lysate,CEN.PK,MATa,YMC time point 4,TRUE,GSM3561521
SRR8439592,26327148,754218160,28,922,SRX5247024,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249259,SAMN10740369,simple,4932,Saccharomyces cerevisiae,GSM3561522,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_05_plusChx_footprints,yeast cell lysate,CEN.PK,MATa,YMC time point 5,TRUE,GSM3561522
SRR8439593,31323923,897050838,28,1096,SRX5247025,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249260,SAMN10740368,simple,4932,Saccharomyces cerevisiae,GSM3561523,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_06_plusChx_footprints,yeast cell lysate,CEN.PK,MATa,YMC time point 6,TRUE,GSM3561523
SRR8439594,44287489,1272443279,28,1532,SRX5247026,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249261,SAMN10740367,simple,4932,Saccharomyces cerevisiae,GSM3561524,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_07_plusChx_footprints,yeast cell lysate,CEN.PK,MATa,YMC time point 7,TRUE,GSM3561524
SRR8439595,22147508,635064750,28,779,SRX5247027,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP180875,PRJNA515049,30916348,"",SRS4249262,SAMN10740366,simple,4932,Saccharomyces cerevisiae,GSM3561525,GEO,SRA834477,03,2019,Santos,yeast cell lysate,cenpk_ymc_08_plusChx_footprints,yeast cell lysate,CEN.PK,MATa,YMC time point 8,TRUE,GSM3561525
