Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,metastatic capacity,rna,genotype/variation,treatment
SRR22193113,5279935,348475710,66,193,SRX18171508,GSM6710500,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670731,SAMN31608473,simple,9606,Homo sapiens,GSM6710500,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-Par_Cyto_1,breast cancer cell line,MDA-MB-231,poorly metastatic,cytoplasmic,,
SRR22193112,4768345,314710770,66,174,SRX18171509,GSM6710501,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670730,SAMN31608472,simple,9606,Homo sapiens,GSM6710501,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-Par_Cyto_2,breast cancer cell line,MDA-MB-231,poorly metastatic,cytoplasmic,,
SRR22193111,4393941,290000106,66,161,SRX18171510,GSM6710502,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670732,SAMN31608471,simple,9606,Homo sapiens,GSM6710502,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-Par_Cyto_3,breast cancer cell line,MDA-MB-231,poorly metastatic,cytoplasmic,,
SRR22193110,4361424,287853984,66,160,SRX18171511,GSM6710503,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670733,SAMN31608470,simple,9606,Homo sapiens,GSM6710503,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-LM2_Cyto_1,breast cancer cell line,MDA-MB-231,highly metastatic to lungs,cytoplasmic,,
SRR22193109,4576739,302064774,66,168,SRX18171512,GSM6710504,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670735,SAMN31608469,simple,9606,Homo sapiens,GSM6710504,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-LM2_Cyto_2,breast cancer cell line,MDA-MB-231,highly metastatic to lungs,cytoplasmic,,
SRR22193108,4719408,311480928,66,174,SRX18171513,GSM6710505,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670734,SAMN31608468,simple,9606,Homo sapiens,GSM6710505,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-LM2_Cyto_3,breast cancer cell line,MDA-MB-231,highly metastatic to lungs,cytoplasmic,,
SRR22193107,4566011,301356726,66,168,SRX18171514,GSM6710506,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670737,SAMN31608467,simple,9606,Homo sapiens,GSM6710506,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-gCTRL_Cyto_1,breast cancer cell line,MDA-MB-231,poorly metastatic,cytoplasmic,control,
SRR22193106,5325231,351465246,66,196,SRX18171515,GSM6710507,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670736,SAMN31608466,simple,9606,Homo sapiens,GSM6710507,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-gCTRL_Cyto_2,breast cancer cell line,MDA-MB-231,poorly metastatic,cytoplasmic,control,
SRR22193105,5184027,342145782,66,190,SRX18171516,GSM6710508,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670738,SAMN31608465,simple,9606,Homo sapiens,GSM6710508,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-gCTRL_Cyto_3,breast cancer cell line,MDA-MB-231,poorly metastatic,cytoplasmic,control,
SRR22193104,4415488,291422208,66,162,SRX18171517,GSM6710509,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP406318,PRJNA898351,1,"",SRS15670739,SAMN31608464,simple,9606,Homo sapiens,GSM6710509,"Biochemistry and Biophysics, UCSF",SRA1534729,02,2023,Makar,breast cancer cell line,MDA-gHNRNPC_Cyto_1,breast cancer cell line,MDA-MB-231,poorly metastatic,cytoplasmic,HNRNPC knockdown,
