Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,cultivar,dev_stage,geo_loc_name,tissue,BioSampleModel
SRR14532570,228956103,22895610300,100,7561,SRX10877269,Wheat 1,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319788,PRJNA729811,1,"",SRS8970773,SAMN19176604,simple,4565,Triticum aestivum,Wheat,commonwealth scientific industrial research organisation,SRA1232151,08,2022,Makar,"","",Kennedy,50% anthesis stage,Australia: Brisbane,Spikelets,Plant
SRR14532569,221192908,22119290800,100,6661,SRX10877270,Wheat 2,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319788,PRJNA729811,1,"",SRS8970773,SAMN19176604,simple,4565,Triticum aestivum,Wheat,commonwealth scientific industrial research organisation,SRA1232151,08,2022,Makar,"","",Kennedy,50% anthesis stage,Australia: Brisbane,Spikelets,Plant
SRR14532568,143281273,14328127300,100,4721,SRX10877271,Wheat 11,OTHER,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319788,PRJNA729811,1,"",SRS8970773,SAMN19176604,simple,4565,Triticum aestivum,Wheat,commonwealth scientific industrial research organisation,SRA1232151,08,2022,Makar,"","",Kennedy,50% anthesis stage,Australia: Brisbane,Spikelets,Plant
SRR14532567,143264374,14326437400,100,4198,SRX10877272,Wheat 12,OTHER,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319788,PRJNA729811,1,"",SRS8970773,SAMN19176604,simple,4565,Triticum aestivum,Wheat,commonwealth scientific industrial research organisation,SRA1232151,08,2022,Makar,"","",Kennedy,50% anthesis stage,Australia: Brisbane,Spikelets,Plant
SRR14532566,182476813,18247681300,100,5537,SRX10877273,Wheat 3,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319788,PRJNA729811,1,"",SRS8970773,SAMN19176604,simple,4565,Triticum aestivum,Wheat,commonwealth scientific industrial research organisation,SRA1232151,08,2022,Makar,"","",Kennedy,50% anthesis stage,Australia: Brisbane,Spikelets,Plant
SRR14532565,113027967,11302796700,100,3363,SRX10877274,Wheat 4,OTHER,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319788,PRJNA729811,1,"",SRS8970773,SAMN19176604,simple,4565,Triticum aestivum,Wheat,commonwealth scientific industrial research organisation,SRA1232151,08,2022,Makar,"","",Kennedy,50% anthesis stage,Australia: Brisbane,Spikelets,Plant
SRR14532564,157846482,15784648200,100,4647,SRX10877275,Wheat 5,OTHER,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319788,PRJNA729811,1,"",SRS8970773,SAMN19176604,simple,4565,Triticum aestivum,Wheat,commonwealth scientific industrial research organisation,SRA1232151,08,2022,Makar,"","",Kennedy,50% anthesis stage,Australia: Brisbane,Spikelets,Plant
SRR14532563,135186251,13518625100,100,3961,SRX10877276,Wheat 6,OTHER,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319788,PRJNA729811,1,"",SRS8970773,SAMN19176604,simple,4565,Triticum aestivum,Wheat,commonwealth scientific industrial research organisation,SRA1232151,08,2022,Makar,"","",Kennedy,50% anthesis stage,Australia: Brisbane,Spikelets,Plant
SRR14532562,110390288,11039028800,100,3677,SRX10877277,Wheat 7,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319788,PRJNA729811,1,"",SRS8970773,SAMN19176604,simple,4565,Triticum aestivum,Wheat,commonwealth scientific industrial research organisation,SRA1232151,08,2022,Makar,"","",Kennedy,50% anthesis stage,Australia: Brisbane,Spikelets,Plant
SRR14532561,108423988,10842398800,100,3188,SRX10877278,Wheat 8,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319788,PRJNA729811,1,"",SRS8970773,SAMN19176604,simple,4565,Triticum aestivum,Wheat,commonwealth scientific industrial research organisation,SRA1232151,08,2022,Makar,"","",Kennedy,50% anthesis stage,Australia: Brisbane,Spikelets,Plant
SRR14532560,122434725,12243472500,100,3661,SRX10877279,Wheat 9,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319788,PRJNA729811,1,"",SRS8970773,SAMN19176604,simple,4565,Triticum aestivum,Wheat,commonwealth scientific industrial research organisation,SRA1232151,08,2022,Makar,"","",Kennedy,50% anthesis stage,Australia: Brisbane,Spikelets,Plant
SRR14532559,137215324,13721532400,100,4188,SRX10877280,Wheat 10,OTHER,PCR,OTHER,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319788,PRJNA729811,1,"",SRS8970773,SAMN19176604,simple,4565,Triticum aestivum,Wheat,commonwealth scientific industrial research organisation,SRA1232151,08,2022,Makar,"","",Kennedy,50% anthesis stage,Australia: Brisbane,Spikelets,Plant
