Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,common name,fraction,genotype,replicate,sample name,stimulus,Experimental Factor: genotype,Experimental Factor: compound,Experimental Factor: fraction,Experimental Factor: dose
ERR3850586,21113990,1055699500,50,308,ERX3863174,s52a.control.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119664,PRJEB36467,1,"",ERS4270326,SAMEA6505891,simple,4896,Schizosaccharomyces pombe,SAMEA6505891,Department of Biochemistry University of Cambridge UK,ERA2360034,11,2020,Makar,"",s52a.control.ribo.1,2020-06-01,2020-01-28,SAMEA6505891,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T14:37:41Z,public,E-MTAB-8744:s52a.control.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,eIF2alpha-S52A,1,E-MTAB-8744:s52a.control.ribo.1,untreated,eIF2alpha-S52A,none,ribosome protected fragments,
ERR3850587,41449882,2072494100,50,620,ERX3863175,s52a.control.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119664,PRJEB36467,1,"",ERS4270327,SAMEA6505892,simple,4896,Schizosaccharomyces pombe,SAMEA6505892,Department of Biochemistry University of Cambridge UK,ERA2360034,11,2020,Makar,"",s52a.control.ribo.2,2020-06-01,2020-01-28,SAMEA6505892,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T14:37:41Z,public,E-MTAB-8744:s52a.control.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,eIF2alpha-S52A,2,E-MTAB-8744:s52a.control.ribo.2,untreated,eIF2alpha-S52A,none,ribosome protected fragments,
ERR3850598,12516003,3754800900,150,1411,ERX3863176,s52a.control.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119664,PRJEB36467,1,"",ERS4270328,SAMEA6505893,simple,4896,Schizosaccharomyces pombe,SAMEA6505893,Department of Biochemistry University of Cambridge UK,ERA2360034,11,2020,Makar,"",s52a.control.rna.1,2020-06-01,2020-01-28,SAMEA6505893,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T14:37:41Z,public,E-MTAB-8744:s52a.control.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,eIF2alpha-S52A,1,E-MTAB-8744:s52a.control.rna.1,untreated,eIF2alpha-S52A,none,rRNA depleted total RNA,
ERR3850599,12900486,3870145800,150,1482,ERX3863177,s52a.control.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119664,PRJEB36467,1,"",ERS4270329,SAMEA6505894,simple,4896,Schizosaccharomyces pombe,SAMEA6505894,Department of Biochemistry University of Cambridge UK,ERA2360034,11,2020,Makar,"",s52a.control.rna.2,2020-06-01,2020-01-28,SAMEA6505894,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T14:37:41Z,public,E-MTAB-8744:s52a.control.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,eIF2alpha-S52A,2,E-MTAB-8744:s52a.control.rna.2,untreated,eIF2alpha-S52A,none,rRNA depleted total RNA,
ERR3850588,19279926,963996300,50,290,ERX3863178,s52a.h2o2.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119664,PRJEB36467,1,"",ERS4270330,SAMEA6505895,simple,4896,Schizosaccharomyces pombe,SAMEA6505895,Department of Biochemistry University of Cambridge UK,ERA2360034,11,2020,Makar,"",s52a.h2o2.ribo.1,2020-06-01,2020-01-28,SAMEA6505895,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T14:37:41Z,public,E-MTAB-8744:s52a.h2o2.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,eIF2alpha-S52A,1,E-MTAB-8744:s52a.h2o2.ribo.1,hydrogen peroxide,eIF2alpha-S52A,hydrogen peroxide,ribosome protected fragments,0.5
ERR3850589,42954420,2147721000,50,638,ERX3863179,s52a.h2o2.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119664,PRJEB36467,1,"",ERS4270331,SAMEA6505896,simple,4896,Schizosaccharomyces pombe,SAMEA6505896,Department of Biochemistry University of Cambridge UK,ERA2360034,11,2020,Makar,"",s52a.h2o2.ribo.2,2020-06-01,2020-01-28,SAMEA6505896,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T14:37:41Z,public,E-MTAB-8744:s52a.h2o2.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,eIF2alpha-S52A,2,E-MTAB-8744:s52a.h2o2.ribo.2,hydrogen peroxide,eIF2alpha-S52A,hydrogen peroxide,ribosome protected fragments,0.5
ERR3850600,16324269,4897280700,150,1810,ERX3863180,s52a.h2o2.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119664,PRJEB36467,1,"",ERS4270332,SAMEA6505897,simple,4896,Schizosaccharomyces pombe,SAMEA6505897,Department of Biochemistry University of Cambridge UK,ERA2360034,11,2020,Makar,"",s52a.h2o2.rna.1,2020-06-01,2020-01-28,SAMEA6505897,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T14:37:41Z,public,E-MTAB-8744:s52a.h2o2.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,eIF2alpha-S52A,1,E-MTAB-8744:s52a.h2o2.rna.1,hydrogen peroxide,eIF2alpha-S52A,hydrogen peroxide,rRNA depleted total RNA,0.5
ERR3850601,14488699,4346609700,150,1654,ERX3863181,s52a.h2o2.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119664,PRJEB36467,1,"",ERS4270333,SAMEA6505898,simple,4896,Schizosaccharomyces pombe,SAMEA6505898,Department of Biochemistry University of Cambridge UK,ERA2360034,11,2020,Makar,"",s52a.h2o2.rna.2,2020-06-01,2020-01-28,SAMEA6505898,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T14:37:41Z,public,E-MTAB-8744:s52a.h2o2.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,eIF2alpha-S52A,2,E-MTAB-8744:s52a.h2o2.rna.2,hydrogen peroxide,eIF2alpha-S52A,hydrogen peroxide,rRNA depleted total RNA,0.5
ERR3850590,30312445,1515622250,50,442,ERX3863182,sty1delta.control.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119664,PRJEB36467,1,"",ERS4270334,SAMEA6505899,simple,4896,Schizosaccharomyces pombe,SAMEA6505899,Department of Biochemistry University of Cambridge UK,ERA2360034,11,2020,Makar,"",sty1delta.control.ribo.1,2020-06-01,2020-01-28,SAMEA6505899,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T14:37:41Z,public,E-MTAB-8744:sty1delta.control.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,sty1delta,1,E-MTAB-8744:sty1delta.control.ribo.1,untreated,sty1delta,none,ribosome protected fragments,
ERR3850591,39003645,1950182250,50,581,ERX3863183,sty1delta.control.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP119664,PRJEB36467,1,"",ERS4270335,SAMEA6505900,simple,4896,Schizosaccharomyces pombe,SAMEA6505900,Department of Biochemistry University of Cambridge UK,ERA2360034,11,2020,Makar,"",sty1delta.control.ribo.2,2020-06-01,2020-01-28,SAMEA6505900,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:53Z,2020-01-28T14:37:41Z,public,E-MTAB-8744:sty1delta.control.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,sty1delta,2,E-MTAB-8744:sty1delta.control.ribo.2,untreated,sty1delta,none,ribosome protected fragments,
