Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,cell type,genotype,treatment
SRR21595031,32295595,4876634845,151,2220,SRX17596668,GSM6586855,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP397502,PRJNA880902,36608131,"",SRS15133460,SAMN30876401,simple,9606,Homo sapiens,GSM6586855,University of Pittsburgh,SRA1499077,01,2023,Hsu,epithelial,RNAseq- RKO cells - arg starved rep 1,epithelial,epithelial,RKO,cancer,WT,12.5 uM Arg
SRR21595030,27895948,4212288148,151,1915,SRX17596669,GSM6586856,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP397502,PRJNA880902,36608131,"",SRS15133461,SAMN30876400,simple,9606,Homo sapiens,GSM6586856,University of Pittsburgh,SRA1499077,01,2023,Hsu,epithelial,RNAseq- RKO cells - arg starved rep 2,epithelial,epithelial,RKO,cancer,WT,12.5 uM Arg
SRR21595029,30706264,4636645864,151,2129,SRX17596670,GSM6586857,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP397502,PRJNA880902,36608131,"",SRS15133462,SAMN30876399,simple,9606,Homo sapiens,GSM6586857,University of Pittsburgh,SRA1499077,01,2023,Hsu,epithelial,RNAseq- RKO cells - arg starved rep 3,epithelial,epithelial,RKO,cancer,WT,12.5 uM Arg
SRR21595028,38533467,5818553517,151,2654,SRX17596671,GSM6586858,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP397502,PRJNA880902,36608131,"",SRS15133463,SAMN30876398,simple,9606,Homo sapiens,GSM6586858,University of Pittsburgh,SRA1499077,01,2023,Hsu,epithelial,RNAseq- RKO cells - arg fed rep 1,epithelial,epithelial,RKO,cancer,WT,400 uM Arg
SRR21595027,24019540,3626950540,151,1674,SRX17596672,GSM6586859,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP397502,PRJNA880902,36608131,"",SRS15133464,SAMN30876397,simple,9606,Homo sapiens,GSM6586859,University of Pittsburgh,SRA1499077,01,2023,Hsu,epithelial,RNAseq- RKO cells - arg fed rep 2,epithelial,epithelial,RKO,cancer,WT,400 uM Arg
SRR21595026,34892969,5268838319,151,2399,SRX17596673,GSM6586860,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP397502,PRJNA880902,36608131,"",SRS15133465,SAMN30876396,simple,9606,Homo sapiens,GSM6586860,University of Pittsburgh,SRA1499077,01,2023,Hsu,epithelial,RNAseq- RKO cells - arg fed rep 3,epithelial,epithelial,RKO,cancer,WT,400 uM Arg
SRR21595025,31025645,3948985657,127,1887,SRX17596674,GSM6586861,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP397502,PRJNA880902,36608131,"",SRS15133466,SAMN30876395,simple,9606,Homo sapiens,GSM6586861,University of Pittsburgh,SRA1499077,01,2023,Hsu,epithelial,Riboseq - RKO cells - arg starved rep 1,epithelial,epithelial,RKO,cancer,WT,12.5 uM Arg
SRR21595024,26810239,3403083545,126,1624,SRX17596675,GSM6586862,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP397502,PRJNA880902,36608131,"",SRS15133467,SAMN30876394,simple,9606,Homo sapiens,GSM6586862,University of Pittsburgh,SRA1499077,01,2023,Hsu,epithelial,Riboseq - RKO cells - arg starved rep 2,epithelial,epithelial,RKO,cancer,WT,12.5 uM Arg
SRR21595023,29418207,3683977068,125,1779,SRX17596676,GSM6586863,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP397502,PRJNA880902,36608131,"",SRS15133468,SAMN30876393,simple,9606,Homo sapiens,GSM6586863,University of Pittsburgh,SRA1499077,01,2023,Hsu,epithelial,Riboseq - RKO cells - arg starved rep 3,epithelial,epithelial,RKO,cancer,WT,12.5 uM Arg
SRR21595022,36989777,4718528400,127,2258,SRX17596677,GSM6586864,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP397502,PRJNA880902,36608131,"",SRS15133469,SAMN30876392,simple,9606,Homo sapiens,GSM6586864,University of Pittsburgh,SRA1499077,01,2023,Hsu,epithelial,Riboseq - RKO cells - arg fed rep 1,epithelial,epithelial,RKO,cancer,WT,400 uM Arg
SRR21595021,22948925,2866056934,124,1392,SRX17596678,GSM6586865,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP397502,PRJNA880902,36608131,"",SRS15133470,SAMN30876391,simple,9606,Homo sapiens,GSM6586865,University of Pittsburgh,SRA1499077,01,2023,Hsu,epithelial,Riboseq - RKO cells - arg fed rep 2,epithelial,epithelial,RKO,cancer,WT,400 uM Arg
