Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,GEO Accession
SRR8360201,67550372,3445068972,51,2339,SRX5170893,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP174062,PRJNA510985,31269449,"",SRS4178527,SAMN10620893,simple,4932,Saccharomyces cerevisiae,GSM3525651,GEO,SRA825936,05,2019,Young,Whole cells,hcr1-delta DY114F,Whole cells,hcr1-delta,GSM3525651
SRR8360202,29050211,1481560761,51,1018,SRX5170894,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP174062,PRJNA510985,31269449,"",SRS4178528,SAMN10620892,simple,4932,Saccharomyces cerevisiae,GSM3525652,GEO,SRA825936,05,2019,Young,Whole cells,hcr1-delta DY115F,Whole cells,hcr1-delta,GSM3525652
SRR8360203,29080080,1483084080,51,1014,SRX5170895,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP174062,PRJNA510985,31269449,"",SRS4178529,SAMN10620891,simple,4932,Saccharomyces cerevisiae,GSM3525653,GEO,SRA825936,05,2019,Young,Whole cells,hcr1-delta YEplac195 DY118F,Whole cells,hcr1-delta YEplac195,GSM3525653
SRR8360204,48979791,2497969341,51,1692,SRX5170896,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP174062,PRJNA510985,31269449,"",SRS4178530,SAMN10620890,simple,4932,Saccharomyces cerevisiae,GSM3525654,GEO,SRA825936,05,2019,Young,Whole cells,hcr1-delta hcHCR1 DY119F,Whole cells,hcr1-delta hcHCR1,GSM3525654
SRR8360205,61238509,3123163959,51,2118,SRX5170897,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP174062,PRJNA510985,31269449,"",SRS4178531,SAMN10620889,simple,4932,Saccharomyces cerevisiae,GSM3525655,GEO,SRA825936,05,2019,Young,Whole cells,hcr1-delta hcRLI1 DY120F,Whole cells,hcr1-delta hcRLI1,GSM3525655
SRR8360209,35629848,1817122248,51,1227,SRX5170901,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP174062,PRJNA510985,31269449,"",SRS4178535,SAMN10620903,simple,4932,Saccharomyces cerevisiae,GSM3525659,GEO,SRA825936,05,2019,Young,Whole cells,WT DY125F,Whole cells,WT (BY4741),GSM3525659
SRR8360210,53883783,2748072933,51,1673,SRX5170902,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP174062,PRJNA510985,31269449,"",SRS4178536,SAMN10620902,simple,4932,Saccharomyces cerevisiae,GSM3525660,GEO,SRA825936,05,2019,Young,Whole cells,hcr1-delta HCR1-NTD DY138F,Whole cells,hcr1-delta HCR1-NTD,GSM3525660
SRR8360211,52118825,2658060075,51,1614,SRX5170903,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP174062,PRJNA510985,31269449,"",SRS4178537,SAMN10620901,simple,4932,Saccharomyces cerevisiae,GSM3525661,GEO,SRA825936,05,2019,Young,Whole cells,hcr1-delta HCR1-CTD DY139F,Whole cells,hcr1-delta HCR1-CTD,GSM3525661
SRR8360212,46208623,2356639773,51,1395,SRX5170904,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP174062,PRJNA510985,31269449,"",SRS4178538,SAMN10620900,simple,4932,Saccharomyces cerevisiae,GSM3525662,GEO,SRA825936,05,2019,Young,Whole cells,tma64-deltatma20-delta YEplac195 DY144F,Whole cells,tma64-deltatma20-delta YEplac195,GSM3525662
SRR8360213,43095250,2197857750,51,1296,SRX5170905,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP174062,PRJNA510985,31269449,"",SRS4178539,SAMN10620899,simple,4932,Saccharomyces cerevisiae,GSM3525663,GEO,SRA825936,05,2019,Young,Whole cells,tma64-deltatma20-delta hcHCR1 DY145F,Whole cells,tma64-deltatma20-delta hcHCR1,GSM3525663
SRR8360214,144270445,7213522250,50,2263,SRX5170906,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP174062,PRJNA510985,31269449,"",SRS4178540,SAMN10620898,simple,4932,Saccharomyces cerevisiae,GSM3525664,GEO,SRA825936,05,2019,Young,Whole cells,WT DY125M,Whole cells,WT (BY4741),GSM3525664
SRR8360215,162510368,8125518400,50,2535,SRX5170907,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP174062,PRJNA510985,31269449,"",SRS4178541,SAMN10620897,simple,4932,Saccharomyces cerevisiae,GSM3525665,GEO,SRA825936,05,2019,Young,Whole cells,hcr1-delta DY115M,Whole cells,hcr1-delta,GSM3525665
SRR8360216,22880767,1144038350,50,390,SRX5170908,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP174062,PRJNA510985,31269449,"",SRS4178542,SAMN10620896,simple,4932,Saccharomyces cerevisiae,GSM3525666,GEO,SRA825936,05,2019,Young,Whole cells,WT DY100M,Whole cells,WT (BY4741),GSM3525666
SRR8360217,25357812,1267890600,,429,SRX5170909,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP174062,PRJNA510985,31269449,"",SRS4178543,SAMN10620895,simple,4932,Saccharomyces cerevisiae,GSM3525667,GEO,SRA825936,05,2019,Young,Whole cells,hcr1-delta DY104M,Whole cells,hcr1-delta,GSM3525667
SRR8360218,37933897,1896694850,50,626,SRX5170910,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP174062,PRJNA510985,31269449,"",SRS4178544,SAMN10620894,simple,4932,Saccharomyces cerevisiae,GSM3525668,GEO,SRA825936,05,2019,Young,Whole cells,hcr1-deltaski2-delta DY130M,Whole cells,hcr1-deltaski2-delta,GSM3525668
SRR9005091,45548288,1706983358,37,690,SRX5783482,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP174062,PRJNA510985,31269449,"",SRS4716211,SAMN11567329,simple,4932,Saccharomyces cerevisiae,GSM3746268,GEO,SRA825936,05,2019,Young,Whole cells,tif32-H725P (36 C)_rep1,Whole cells,tif32-H725P (36 C),GSM3746268
SRR9005092,41006314,1548018537,37,623,SRX5783483,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP174062,PRJNA510985,31269449,"",SRS4716212,SAMN11567338,simple,4932,Saccharomyces cerevisiae,GSM3746269,GEO,SRA825936,05,2019,Young,Whole cells,tif32-H725P (36 C)_rep2,Whole cells,tif32-H725P (36 C),GSM3746269
SRR9005093,98566546,3718773300,37,1499,SRX5783484,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP174062,PRJNA510985,31269449,"",SRS4716213,SAMN11567337,simple,4932,Saccharomyces cerevisiae,GSM3746270,GEO,SRA825936,05,2019,Young,Whole cells,tif32-R731I (36 C)_rep1,Whole cells,tif32-R731I (36 C),GSM3746270
SRR9005094,45731768,1726285880,37,695,SRX5783485,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP174062,PRJNA510985,31269449,"",SRS4716214,SAMN11567336,simple,4932,Saccharomyces cerevisiae,GSM3746271,GEO,SRA825936,05,2019,Young,Whole cells,tif32-R731I (36 C)_rep2,Whole cells,tif32-R731I (36 C),GSM3746271
SRR9005095,68180177,2551319995,37,1053,SRX5783486,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP174062,PRJNA510985,31269449,"",SRS4716215,SAMN11567335,simple,4932,Saccharomyces cerevisiae,GSM3746272,GEO,SRA825936,05,2019,Young,Whole cells,hcr1∆ sc HCR1_rep1,Whole cells,hcr1<delta> sc HCR1,GSM3746272
SRR9005096,5165423,194558870,37,80,SRX5783487,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP174062,PRJNA510985,31269449,"",SRS4716216,SAMN11567334,simple,4932,Saccharomyces cerevisiae,GSM3746273,GEO,SRA825936,05,2019,Young,Whole cells,hcr1∆ sc HCR1_rep2,Whole cells,hcr1<delta> sc HCR1,GSM3746273
SRR9005097,115347158,4290240787,37,1788,SRX5783488,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP174062,PRJNA510985,31269449,"",SRS4716217,SAMN11567333,simple,4932,Saccharomyces cerevisiae,GSM3746274,GEO,SRA825936,05,2019,Young,Whole cells,hcr1∆ sc hcr1-NTA1_rep1,Whole cells,hcr1<delta> sc hcr1-NTA1,GSM3746274
SRR9005098,80816612,3047369829,37,1253,SRX5783489,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 3000,SRP174062,PRJNA510985,31269449,"",SRS4716218,SAMN11567332,simple,4932,Saccharomyces cerevisiae,GSM3746275,GEO,SRA825936,05,2019,Young,Whole cells,hcr1∆ sc hcr1-NTA1_rep2,Whole cells,hcr1<delta> sc hcr1-NTA1,GSM3746275
