Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,age,strain,genotype
SRR17238173,51520913,5255133126,51,1883,SRX13417233,GSM5736910,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318863,SAMN24103119,simple,10090,Mus musculus,GSM5736910,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,input_10dpp_Ythdc2KO_het_DJ359,Testis,Testis,Postnatal day 10,C57BL/6J,Ythdc2 +/- (het)
SRR17238172,40546301,4135722702,51,1482,SRX13417234,GSM5736911,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318865,SAMN24103118,simple,10090,Mus musculus,GSM5736911,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,input_10dpp_Ythdc2KO_het_DJ364,Testis,Testis,Postnatal day 10,C57BL/6J,Ythdc2 +/- (het)
SRR17238171,43601240,4447326480,51,1566,SRX13417235,GSM5736912,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318864,SAMN24103117,simple,10090,Mus musculus,GSM5736912,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,input_10dpp_Ythdc2KO_homo_DJ358,Testis,Testis,Postnatal day 10,C57BL/6J,Ythdc2 -/- (homo)
SRR17238170,43019873,4388027046,51,1570,SRX13417236,GSM5736913,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318866,SAMN24103116,simple,10090,Mus musculus,GSM5736913,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,input_10dpp_Ythdc2KO_homo_DJ363,Testis,Testis,Postnatal day 10,C57BL/6J,Ythdc2 -/- (homo)
SRR17238169,42623446,4347591492,51,1569,SRX13417237,GSM5736914,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318868,SAMN24103115,simple,10090,Mus musculus,GSM5736914,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,input_10dpp_Ythdc2KO_homo_DJ391,Testis,Testis,Postnatal day 10,C57BL/6J,Ythdc2 -/- (homo)
SRR17238168,40616745,4142907990,51,1509,SRX13417238,GSM5736915,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318867,SAMN24103114,simple,10090,Mus musculus,GSM5736915,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,input_10dpp_Ythdc2-WT_DJ395,Testis,Testis,Postnatal day 10,C57BL/6J,Ythdc2 +/+
SRR17238167,40351601,4115863302,51,2042,SRX13417239,GSM5736916,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318869,SAMN24103113,simple,10090,Mus musculus,GSM5736916,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,input_8dpp_Ythdc2KO_homo_DJ132,Testis,Testis,Postnatal day 8,C57BL/6J,Ythdc2 -/- (homo)
SRR17238166,36593329,3732519558,51,1838,SRX13417240,GSM5736917,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318870,SAMN24103112,simple,10090,Mus musculus,GSM5736917,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,input_8dpp_Ythdc2KO_homo_DJ139,Testis,Testis,Postnatal day 8,C57BL/6J,Ythdc2 -/- (homo)
SRR17238165,31406849,3203498598,51,1585,SRX13417241,GSM5736918,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318872,SAMN24103111,simple,10090,Mus musculus,GSM5736918,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,input_8dpp_Ythdc2KO_homo_DJ32,Testis,Testis,Postnatal day 8,C57BL/6J,Ythdc2 -/- (homo)
SRR17238164,30344304,3095119008,51,1545,SRX13417242,GSM5736919,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP350895,PRJNA789247,35058317,"",SRS11318871,SAMN24103110,simple,10090,Mus musculus,GSM5736919,"Laboratory of Molecular Neuro-oncology, The Rockefeller University",SRA1343897,01,2022,Saito,Testis,input_8dpp_Ythdc2-WT_DJ134,Testis,Testis,Postnatal day 8,C57BL/6J,Ythdc2 +/+
