Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,gender,cell type,cell line,enrichment type,biomaterial_provider,GEO Accession
SRR2148106,18232265,512706520,28,368,SRX1135820,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP062129,PRJNA292112,29950183,"",SRS1028464,SAMN03979375,simple,9598,Pan troglodytes,GSM1846197,GEO,SRA282463,05,2018,Wang,New Iberia Research Center,Min18358,New Iberia Research Center,female,Lymphoblastoid Cell,Min18358,ribosome protected fragments,,GSM1846197
SRR2148107,41773959,1136320568,27,824,SRX1135821,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP062129,PRJNA292112,29950183,"",SRS1174785,SAMN03979376,simple,9598,Pan troglodytes,GSM1846199,GEO,SRA282463,05,2018,Wang,New Iberia Research Center,Min18359,New Iberia Research Center,female,Lymphoblastoid Cell,Min18359,ribosome protected fragments,,GSM1846199
SRR2148108,47673057,1337987051,28,958,SRX1135822,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP062129,PRJNA292112,29950183,"",SRS1174784,SAMN03979377,simple,9598,Pan troglodytes,GSM1846201,GEO,SRA282463,05,2018,Wang,Coriell/IPBIR,NS03659,Coriell/IPBIR,female,Lymphoblastoid Cell,NS03659,ribosome protected fragments,Coriell Cell Repositories http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=NS03659,GSM1846201
SRR2148109,28840018,801999413,27,548,SRX1135823,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP062129,PRJNA292112,29950183,"",SRS1028463,SAMN03979378,simple,9598,Pan troglodytes,GSM1846203,GEO,SRA282463,05,2018,Wang,Coriell/IPBIR,NS04973,Coriell/IPBIR,male,Lymphoblastoid Cell,NS04973,ribosome protected fragments,Coriell Cell Repositories http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=NS04973,GSM1846203
SRR2148110,30462700,868525008,28,629,SRX1135824,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP062129,PRJNA292112,29950183,"",SRS1174783,SAMN03979379,simple,9598,Pan troglodytes,GSM1846205,GEO,SRA282463,05,2018,Wang,Arizona State University,Pt91,Arizona State University,male,Lymphoblastoid Cell,Pt91,ribosome protected fragments,,GSM1846205
SRR2148111,35894196,1003093368,27,701,SRX1135825,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP062129,PRJNA292112,29950183,"",SRS1028457,SAMN03979380,simple,9544,Macaca mulatta,GSM1846206,GEO,SRA282463,05,2018,Wang,NEPRC,150-99,NEPRC,female,Lymphoblastoid Cell,150-99,ribosome protected fragments,,GSM1846206
SRR2148112,34044349,989433144,29,691,SRX1135826,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP062129,PRJNA292112,29950183,"",SRS1028456,SAMN03979381,simple,9544,Macaca mulatta,GSM1846208,GEO,SRA282463,05,2018,Wang,NEPRC,R181-96,NEPRC,male,Lymphoblastoid Cell,R181-96,ribosome protected fragments,,GSM1846208
SRR2148113,36646046,1026110494,28,726,SRX1135827,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP062129,PRJNA292112,29950183,"",SRS1028455,SAMN03979382,simple,9544,Macaca mulatta,GSM1846210,GEO,SRA282463,05,2018,Wang,NEPRC,R249-97,NEPRC,male,Lymphoblastoid Cell,R249-97,ribosome protected fragments,,GSM1846210
SRR2148114,32371890,929602655,28,652,SRX1135828,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP062129,PRJNA292112,29950183,"",SRS1028454,SAMN03979383,simple,9544,Macaca mulatta,GSM1846212,GEO,SRA282463,05,2018,Wang,NEPRC,265-95,NEPRC,male,Lymphoblastoid Cell,265-95,ribosome protected fragments,,GSM1846212
SRR2148115,32291337,942513065,29,660,SRX1135829,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP062129,PRJNA292112,29950183,"",SRS1028453,SAMN03979384,simple,9544,Macaca mulatta,GSM1846214,GEO,SRA282463,05,2018,Wang,NEPRC,R290-96,NEPRC,male,Lymphoblastoid Cell,R290-96,ribosome protected fragments,,GSM1846214
SRR5512735,18627547,528697967,28,374,SRX2786686,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP062129,PRJNA292112,29950183,"",SRS2168666,SAMN06894524,simple,9606,Homo sapiens,GSM2601309,GEO,SRA282463,05,2018,Wang,HapMap,GM19127 ribosome protected fragments,HapMap,female,Lymphoblastoid Cell Line,GM19127,ribosome protected fragments,Coriell Cell Repositories http://ccr.coriell.org/Sections/Search/Search.aspx?PgId=165&q=GM19127,GSM2601309
