Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,treatment,GEO Accession
SRR9047190,87180717,2655846108,30,1569,SRX5823713,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP198221,PRJNA542601,32589965,"",SRS4751817,SAMN11634345,simple,9606,Homo sapiens,GSM3762993,GEO,SRA885670,06,2020,Lin,MCF10-A cell line,si_3e_1_80S,MCF10-A cell line,MCF10-A,epithelial,eIF3e siRNA,GSM3762993
SRR9047191,61172558,1891828348,30,1115,SRX5823714,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP198221,PRJNA542601,32589965,"",SRS4751816,SAMN11634344,simple,9606,Homo sapiens,GSM3762994,GEO,SRA885670,06,2020,Lin,MCF10-A cell line,si_3e_2_80S,MCF10-A cell line,MCF10-A,epithelial,eIF3e siRNA,GSM3762994
SRR9047192,73089739,2221270335,30,1316,SRX5823715,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP198221,PRJNA542601,32589965,"",SRS4751814,SAMN11634342,simple,9606,Homo sapiens,GSM3762995,GEO,SRA885670,06,2020,Lin,MCF10-A cell line,si_3e_3_80S,MCF10-A cell line,MCF10-A,epithelial,eIF3e siRNA,GSM3762995
SRR9047193,13723729,426820196,31,264,SRX5823716,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP198221,PRJNA542601,32589965,"",SRS4751815,SAMN11634341,simple,9606,Homo sapiens,GSM3762996,GEO,SRA885670,06,2020,Lin,MCF10-A cell line,si_ctrl_1_80S,MCF10-A cell line,MCF10-A,epithelial,Control siRNA,GSM3762996
SRR9047194,71898368,2227641565,30,1318,SRX5823717,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP198221,PRJNA542601,32589965,"",SRS4751820,SAMN11634340,simple,9606,Homo sapiens,GSM3762997,GEO,SRA885670,06,2020,Lin,MCF10-A cell line,si_ctrl_2_80S,MCF10-A cell line,MCF10-A,epithelial,Control siRNA,GSM3762997
SRR9047195,66706669,2089639630,31,1197,SRX5823718,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP198221,PRJNA542601,32589965,"",SRS4751818,SAMN11634339,simple,9606,Homo sapiens,GSM3762998,GEO,SRA885670,06,2020,Lin,MCF10-A cell line,si_ctrl_3_80S,MCF10-A cell line,MCF10-A,epithelial,Control siRNA,GSM3762998
SRR9047196,30996403,808747276,26,524,SRX5823719,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP198221,PRJNA542601,32589965,"",SRS4751819,SAMN11634337,simple,9606,Homo sapiens,GSM3762999,GEO,SRA885670,06,2020,Lin,MCF10-A cell line,si_3e_1_TL,MCF10-A cell line,MCF10-A,epithelial,eIF3e siRNA,GSM3762999
SRR9047197,26699278,847637888,31,536,SRX5823720,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP198221,PRJNA542601,32589965,"",SRS4751821,SAMN11634336,simple,9606,Homo sapiens,GSM3763000,GEO,SRA885670,06,2020,Lin,MCF10-A cell line,si_3e_2_TL,MCF10-A cell line,MCF10-A,epithelial,eIF3e siRNA,GSM3763000
SRR9047198,32132184,741331902,23,400,SRX5823721,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP198221,PRJNA542601,32589965,"",SRS4751823,SAMN11634335,simple,9606,Homo sapiens,GSM3763001,GEO,SRA885670,06,2020,Lin,MCF10-A cell line,si_3e_3_TL,MCF10-A cell line,MCF10-A,epithelial,eIF3e siRNA,GSM3763001
SRR9047199,27612709,952885477,34,587,SRX5823722,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq X Ten,SRP198221,PRJNA542601,32589965,"",SRS4751822,SAMN11634334,simple,9606,Homo sapiens,GSM3763002,GEO,SRA885670,06,2020,Lin,MCF10-A cell line,si_ctrl_1_TL,MCF10-A cell line,MCF10-A,epithelial,Control siRNA,GSM3763002
