Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,pathogen,virus strain,GEO Accession
SRR3623932,168869433,8567271436,50,4941,SRX1818903,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076102,PRJNA324409,27525483,"",SRS1482786,SAMN05202117,simple,9606,Homo sapiens,GSM2186918,GEO,SRA430681,08,2016,Bercovich-Kinori,ribosome profiling_uninfected,fp_chx_uninf_s3,ribosome profiling_uninfected,A549,human lung adenocarcinoma epithelial cells,none,,GSM2186918
SRR3623933,90160106,4579930400,50,2555,SRX1818904,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076102,PRJNA324409,27525483,"",SRS1482787,SAMN05202118,simple,9606,Homo sapiens,GSM2186919,GEO,SRA430681,08,2016,Bercovich-Kinori,ribosome profiling_2h,fp_chx_2hr_s3,ribosome profiling_2h,A549,human lung adenocarcinoma epithelial cells,Influenza A,A/Puerto Rico/8/1934 H1N1 (PR8),GSM2186919
SRR3623934,265685072,13549938672,51,7286,SRX1818905,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076102,PRJNA324409,27525483,"",SRS1482788,SAMN05202119,simple,9606,Homo sapiens,GSM2186920,GEO,SRA430681,08,2016,Bercovich-Kinori,ribosome profiling_4h,fp_chx_4hr_s3,ribosome profiling_4h,A549,human lung adenocarcinoma epithelial cells,Influenza A,A/Puerto Rico/8/1934 H1N1 (PR8),GSM2186920
SRR3623935,158817140,8070198313,50,4371,SRX1818906,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076102,PRJNA324409,27525483,"",SRS1482789,SAMN05202120,simple,9606,Homo sapiens,GSM2186921,GEO,SRA430681,08,2016,Bercovich-Kinori,ribosome profiling_8h,fp_chx_8hr_s3,ribosome profiling_8h,A549,human lung adenocarcinoma epithelial cells,Influenza A,A/Puerto Rico/8/1934 H1N1 (PR8),GSM2186921
SRR3623936,59607727,3039994077,51,2110,SRX1818907,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076102,PRJNA324409,27525483,"",SRS1482790,SAMN05202121,simple,9606,Homo sapiens,GSM2186922,GEO,SRA430681,08,2016,Bercovich-Kinori,ribosome profiling_uninfected,fp_chx_uninf_s4,ribosome profiling_uninfected,A549,human lung adenocarcinoma epithelial cells,none,,GSM2186922
SRR3623937,38340949,1955388399,51,1398,SRX1818908,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076102,PRJNA324409,27525483,"",SRS1482791,SAMN05202122,simple,9606,Homo sapiens,GSM2186923,GEO,SRA430681,08,2016,Bercovich-Kinori,ribosome profiling_2h,fp_chx_2hr_s4,ribosome profiling_2h,A549,human lung adenocarcinoma epithelial cells,Influenza A,A/Puerto Rico/8/1934 H1N1 (PR8),GSM2186923
SRR3623938,43031308,2194596708,51,1544,SRX1818909,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076102,PRJNA324409,27525483,"",SRS1482792,SAMN05202123,simple,9606,Homo sapiens,GSM2186924,GEO,SRA430681,08,2016,Bercovich-Kinori,ribosome profiling_4h,fp_chx_4hr_s4,ribosome profiling_4h,A549,human lung adenocarcinoma epithelial cells,Influenza A,A/Puerto Rico/8/1934 H1N1 (PR8),GSM2186924
SRR3623939,37265940,1900562940,51,1337,SRX1818910,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076102,PRJNA324409,27525483,"",SRS1482794,SAMN05202124,simple,9606,Homo sapiens,GSM2186925,GEO,SRA430681,08,2016,Bercovich-Kinori,ribosome profiling_8h,fp_chx_8hr_s4,ribosome profiling_8h,A549,human lung adenocarcinoma epithelial cells,Influenza A,A/Puerto Rico/8/1934 H1N1 (PR8),GSM2186925
SRR3623940,54031224,2755592424,51,1520,SRX1818911,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076102,PRJNA324409,27525483,"",SRS1482793,SAMN05202125,simple,9606,Homo sapiens,GSM2186926,GEO,SRA430681,08,2016,Bercovich-Kinori,RNA-seq_uninfected,mrna_uninf_s3,RNA-seq_uninfected,A549,human lung adenocarcinoma epithelial cells,none,,GSM2186926
SRR3623941,55520012,2831520612,51,1542,SRX1818912,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076102,PRJNA324409,27525483,"",SRS1482795,SAMN05202126,simple,9606,Homo sapiens,GSM2186927,GEO,SRA430681,08,2016,Bercovich-Kinori,RNA-seq_2h,mrna_2hr_s3,RNA-seq_2h,A549,human lung adenocarcinoma epithelial cells,Influenza A,A/Puerto Rico/8/1934 H1N1 (PR8),GSM2186927
SRR3623942,126998651,6476931201,51,3578,SRX1818913,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076102,PRJNA324409,27525483,"",SRS1482796,SAMN05202127,simple,9606,Homo sapiens,GSM2186928,GEO,SRA430681,08,2016,Bercovich-Kinori,RNA-seq_4h,mrna_4hr_s3,RNA-seq_4h,A549,human lung adenocarcinoma epithelial cells,Influenza A,A/Puerto Rico/8/1934 H1N1 (PR8),GSM2186928
SRR3623943,82904327,4228120677,51,2376,SRX1818914,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076102,PRJNA324409,27525483,"",SRS1482797,SAMN05202128,simple,9606,Homo sapiens,GSM2186929,GEO,SRA430681,08,2016,Bercovich-Kinori,RNA-seq_8h,mrna_8hr_s3,RNA-seq_8h,A549,human lung adenocarcinoma epithelial cells,Influenza A,A/Puerto Rico/8/1934 H1N1 (PR8),GSM2186929
SRR3623944,47603832,2427795432,51,1586,SRX1818915,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076102,PRJNA324409,27525483,"",SRS1482798,SAMN05202129,simple,9606,Homo sapiens,GSM2186930,GEO,SRA430681,08,2016,Bercovich-Kinori,RNA-seq_uninfected,mrna_uninf_s4,RNA-seq_uninfected,A549,human lung adenocarcinoma epithelial cells,none,,GSM2186930
SRR3623945,42050090,2144554590,51,1397,SRX1818916,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076102,PRJNA324409,27525483,"",SRS1482799,SAMN05202130,simple,9606,Homo sapiens,GSM2186931,GEO,SRA430681,08,2016,Bercovich-Kinori,RNA-seq_2h,mrna_2hr_s4,RNA-seq_2h,A549,human lung adenocarcinoma epithelial cells,Influenza A,A/Puerto Rico/8/1934 H1N1 (PR8),GSM2186931
SRR3623946,36790600,1876320600,51,1231,SRX1818917,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076102,PRJNA324409,27525483,"",SRS1482801,SAMN05202131,simple,9606,Homo sapiens,GSM2186932,GEO,SRA430681,08,2016,Bercovich-Kinori,RNA-seq_4h,mrna_4hr_s4,RNA-seq_4h,A549,human lung adenocarcinoma epithelial cells,Influenza A,A/Puerto Rico/8/1934 H1N1 (PR8),GSM2186932
SRR3623947,38455548,1961232948,51,1285,SRX1818918,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076102,PRJNA324409,27525483,"",SRS1482800,SAMN05202132,simple,9606,Homo sapiens,GSM2186933,GEO,SRA430681,08,2016,Bercovich-Kinori,RNA-seq_8h,mrna_8hr_s4,RNA-seq_8h,A549,human lung adenocarcinoma epithelial cells,Influenza A,A/Puerto Rico/8/1934 H1N1 (PR8),GSM2186933
