Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,age,sex,tissue,BioSampleModel
SRR7183121,13170079,2644482393,100,1542,SRX4099890,mRJH2,OTHER,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP148455,PRJNA471907,1,"",SRS3316021,SAMN09222447,simple,7159,Aedes aegypti,aedes_fatbody-JH-Ribo-seq,Virginia Tech,SRA706839,06,2020,Makar,"","Aedes aegypti, fat body, JH-treated, Ribo-seq",Liverpool,Adult,female,Fat body,Model organism or animal
SRR7183120,10562457,2121114145,100,1238,SRX4099891,mRJH3,OTHER,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP148455,PRJNA471907,1,"",SRS3316021,SAMN09222447,simple,7159,Aedes aegypti,aedes_fatbody-JH-Ribo-seq,Virginia Tech,SRA706839,06,2020,Makar,"","Aedes aegypti, fat body, JH-treated, Ribo-seq",Liverpool,Adult,female,Fat body,Model organism or animal
SRR7183119,16406103,3295564864,100,1919,SRX4099892,mREth1,OTHER,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP148455,PRJNA471907,1,"",SRS3316021,SAMN09222447,simple,7159,Aedes aegypti,aedes_fatbody-JH-Ribo-seq,Virginia Tech,SRA706839,06,2020,Makar,"","Aedes aegypti, fat body, JH-treated, Ribo-seq",Liverpool,Adult,female,Fat body,Model organism or animal
SRR7183118,14329558,2879298490,100,1675,SRX4099893,mREth2,OTHER,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP148455,PRJNA471907,1,"",SRS3316021,SAMN09222447,simple,7159,Aedes aegypti,aedes_fatbody-JH-Ribo-seq,Virginia Tech,SRA706839,06,2020,Makar,"","Aedes aegypti, fat body, JH-treated, Ribo-seq",Liverpool,Adult,female,Fat body,Model organism or animal
SRR7183117,40960959,2048047950,50,1014,SRX4099894,RbJH2,OTHER,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP148455,PRJNA471907,1,"",SRS3316021,SAMN09222447,simple,7159,Aedes aegypti,aedes_fatbody-JH-Ribo-seq,Virginia Tech,SRA706839,06,2020,Makar,"","Aedes aegypti, fat body, JH-treated, Ribo-seq",Liverpool,Adult,female,Fat body,Model organism or animal
SRR7183116,34043447,1702172350,50,841,SRX4099895,RbJH3,OTHER,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP148455,PRJNA471907,1,"",SRS3316021,SAMN09222447,simple,7159,Aedes aegypti,aedes_fatbody-JH-Ribo-seq,Virginia Tech,SRA706839,06,2020,Makar,"","Aedes aegypti, fat body, JH-treated, Ribo-seq",Liverpool,Adult,female,Fat body,Model organism or animal
SRR7183115,38735336,1936766800,50,948,SRX4099896,RbEth3,OTHER,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP148455,PRJNA471907,1,"",SRS3316021,SAMN09222447,simple,7159,Aedes aegypti,aedes_fatbody-JH-Ribo-seq,Virginia Tech,SRA706839,06,2020,Makar,"","Aedes aegypti, fat body, JH-treated, Ribo-seq",Liverpool,Adult,female,Fat body,Model organism or animal
SRR7183114,43887839,2194391950,50,1088,SRX4099897,RbJH1,OTHER,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP148455,PRJNA471907,1,"",SRS3316021,SAMN09222447,simple,7159,Aedes aegypti,aedes_fatbody-JH-Ribo-seq,Virginia Tech,SRA706839,06,2020,Makar,"","Aedes aegypti, fat body, JH-treated, Ribo-seq",Liverpool,Adult,female,Fat body,Model organism or animal
SRR7183113,40081565,2004078250,50,981,SRX4099898,RbEth1,OTHER,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP148455,PRJNA471907,1,"",SRS3316021,SAMN09222447,simple,7159,Aedes aegypti,aedes_fatbody-JH-Ribo-seq,Virginia Tech,SRA706839,06,2020,Makar,"","Aedes aegypti, fat body, JH-treated, Ribo-seq",Liverpool,Adult,female,Fat body,Model organism or animal
SRR7183112,40339084,2016954200,50,991,SRX4099899,RbEth2,OTHER,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP148455,PRJNA471907,1,"",SRS3316021,SAMN09222447,simple,7159,Aedes aegypti,aedes_fatbody-JH-Ribo-seq,Virginia Tech,SRA706839,06,2020,Makar,"","Aedes aegypti, fat body, JH-treated, Ribo-seq",Liverpool,Adult,female,Fat body,Model organism or animal
SRR7183111,14494058,2913282673,100,1697,SRX4099900,mREth3,OTHER,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP148455,PRJNA471907,1,"",SRS3316021,SAMN09222447,simple,7159,Aedes aegypti,aedes_fatbody-JH-Ribo-seq,Virginia Tech,SRA706839,06,2020,Makar,"","Aedes aegypti, fat body, JH-treated, Ribo-seq",Liverpool,Adult,female,Fat body,Model organism or animal
SRR7183110,12728855,2556427104,100,1496,SRX4099901,mRJH1,OTHER,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP148455,PRJNA471907,1,"",SRS3316021,SAMN09222447,simple,7159,Aedes aegypti,aedes_fatbody-JH-Ribo-seq,Virginia Tech,SRA706839,06,2020,Makar,"","Aedes aegypti, fat body, JH-treated, Ribo-seq",Liverpool,Adult,female,Fat body,Model organism or animal
