Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,developmental stage,molecule,GEO Accession
SRR13577564,151554443,22733166450,150,8300,SRX9975624,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147754,SAMN17678922,simple,10090,Mus musculus,GSM5049825,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,4cell_Ribo_rep1,Preimplantation embryo,WT,4-cell,Ribosome protected fragment,GSM5049825
SRR13577565,154424577,23163686550,150,8662,SRX9975625,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147755,SAMN17678919,simple,10090,Mus musculus,GSM5049826,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,4cell_Ribo_rep2,Preimplantation embryo,WT,4-cell,Ribosome protected fragment,GSM5049826
SRR13577566,101648194,15247229100,150,5521,SRX9975626,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147756,SAMN17678918,simple,10090,Mus musculus,GSM5049827,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,8cell_Ribo_rep1,Preimplantation embryo,WT,8-cell,Ribosome protected fragment,GSM5049827
SRR13577567,69673487,10451023050,150,3848,SRX9975627,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147757,SAMN17679056,simple,10090,Mus musculus,GSM5049828,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,8cell_Ribo_rep2,Preimplantation embryo,WT,8-cell,Ribosome protected fragment,GSM5049828
SRR13577568,48336849,7250527350,150,2677,SRX9975628,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147758,SAMN17679054,simple,10090,Mus musculus,GSM5049829,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,Early2cell_50_Ribo_rep1,Preimplantation embryo,WT,early 2-cell,Ribosome protected fragment,GSM5049829
SRR13577569,58303111,8745466650,150,3186,SRX9975629,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147759,SAMN17679052,simple,10090,Mus musculus,GSM5049830,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,Early2cell_Ribo_rep2,Preimplantation embryo,WT,early 2-cell,Ribosome protected fragment,GSM5049830
SRR13577572,46956988,7043548200,150,2644,SRX9975632,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147762,SAMN17679047,simple,10090,Mus musculus,GSM5049833,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,ICM_Ribo_rep1,Preimplantation embryo,WT,ICM,Ribosome protected fragment,GSM5049833
SRR13577573,132512161,19876824150,150,7307,SRX9975633,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147763,SAMN17679036,simple,10090,Mus musculus,GSM5049834,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,ICM_Ribo_rep2,Preimplantation embryo,WT,ICM,Ribosome protected fragment,GSM5049834
SRR13577574,146279626,21941943900,150,8053,SRX9975634,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147764,SAMN17679034,simple,10090,Mus musculus,GSM5049835,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,Late2_Ribo_rep1,Preimplantation embryo,WT,late 2-cell,Ribosome protected fragment,GSM5049835
SRR13577575,225819564,33872934600,150,12363,SRX9975635,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147765,SAMN17679033,simple,10090,Mus musculus,GSM5049836,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,Late2_Ribo_rep2,Preimplantation embryo,WT,late 2-cell,Ribosome protected fragment,GSM5049836
SRR13577576,28336768,4250515200,150,1652,SRX9975636,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147766,SAMN17679044,simple,10090,Mus musculus,GSM5049837,GEO,SRA1189375,04,2022,Xiong,Oocyte,MII_Ribo_rep1,Oocyte,WT,MII oocyte,Ribosome protected fragment,GSM5049837
SRR13577577,55935637,8390345550,150,3086,SRX9975637,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147767,SAMN17679043,simple,10090,Mus musculus,GSM5049838,GEO,SRA1189375,04,2022,Xiong,Oocyte,MII_Ribo_rep2,Oocyte,WT,MII oocyte,Ribosome protected fragment,GSM5049838
SRR13577580,51331418,7699712700,150,2915,SRX9975640,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147770,SAMN17679031,simple,10090,Mus musculus,GSM5049841,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,PN3_Ribo_rep1,Preimplantation embryo,WT,PN3 stage 1-cell,Ribosome protected fragment,GSM5049841
SRR13577581,27006182,4050927300,150,1663,SRX9975641,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147771,SAMN17679029,simple,10090,Mus musculus,GSM5049842,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,PN3_Ribo_rep2,Preimplantation embryo,WT,PN3 stage 1-cell,Ribosome protected fragment,GSM5049842
SRR13577582,72750151,10912522650,150,3973,SRX9975642,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147772,SAMN17679026,simple,10090,Mus musculus,GSM5049843,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,PN5_Ribo_rep1,Preimplantation embryo,WT,PN5 stage 1-cell,Ribosome protected fragment,GSM5049843
SRR13577583,68244930,10236739500,150,3885,SRX9975643,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147773,SAMN17679025,simple,10090,Mus musculus,GSM5049844,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,PN5_Ribo_rep2,Preimplantation embryo,WT,PN5 stage 1-cell,Ribosome protected fragment,GSM5049844
SRR13577584,127757146,19163571900,150,7408,SRX9975644,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147774,SAMN17679022,simple,10090,Mus musculus,GSM5049845,GEO,SRA1189375,04,2022,Xiong,Embryonic stem cell,mES_Ribo_rep1,Embryonic stem cell,WT,Embryonic stem cell,Ribosome protected fragment,GSM5049845
SRR13577585,126008381,18901257150,150,6986,SRX9975645,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147775,SAMN17679020,simple,10090,Mus musculus,GSM5049846,GEO,SRA1189375,04,2022,Xiong,Embryonic stem cell,mES_Ribo_rep2,Embryonic stem cell,WT,Embryonic stem cell,Ribosome protected fragment,GSM5049846
SRR25375724,8525702,2557710600,150,1077,SRX9975648,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147778,SAMN17679013,simple,10090,Mus musculus,GSM5049849,GEO,SRA1189375,07,2023,Xiong,Oocyte,MII_smart_rep1,Oocyte,WT,MII oocyte,polyA RNA,GSM5049849
SRR25375725,9085018,2725505400,150,1077,SRX9975649,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147779,SAMN17679011,simple,10090,Mus musculus,GSM5049850,GEO,SRA1189375,07,2023,Xiong,Oocyte,MII_smart_rep2,Oocyte,WT,MII oocyte,polyA RNA,GSM5049850
SRR13577592,797250,239175000,150,114,SRX9975652,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147782,SAMN17679188,simple,10090,Mus musculus,GSM5049853,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,PN3_smart_rep1,Preimplantation embryo,WT,PN3 stage 1-cell,polyA RNA,GSM5049853
SRR13577593,8244667,2473400100,150,985,SRX9975653,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147783,SAMN17679186,simple,10090,Mus musculus,GSM5049854,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,PN3_smart_rep2,Preimplantation embryo,WT,PN3 stage 1-cell,polyA RNA,GSM5049854
SRR13577594,1983265,594979500,150,276,SRX9975654,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147784,SAMN17679184,simple,10090,Mus musculus,GSM5049855,GEO,SRA1189375,04,2022,Xiong,Embryonic stem cell,mES_smart_rep1,Embryonic stem cell,WT,Embryonic stem cell,polyA RNA,GSM5049855
SRR13577595,628857,188657100,150,90,SRX9975655,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147785,SAMN17679183,simple,10090,Mus musculus,GSM5049856,GEO,SRA1189375,04,2022,Xiong,Embryonic stem cell,mES_smart_rep2,Embryonic stem cell,WT,Embryonic stem cell,polyA RNA,GSM5049856
SRR13577596,15665243,2349786450,150,1029,SRX9975656,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147786,SAMN17679181,simple,10090,Mus musculus,GSM5049857,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,E3_Ctr_E2C_Ribo,Preimplantation embryo,WT,early 2-cell,Ribosome protected fragment,GSM5049857
SRR13577597,4732771,1419831300,150,582,SRX9975657,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147787,SAMN17679179,simple,10090,Mus musculus,GSM5049858,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,E3_Ctr_E2C_smart,Preimplantation embryo,WT,early 2-cell,polyA RNA,GSM5049858
SRR13577598,16758247,2513737050,150,1087,SRX9975658,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147788,SAMN17679177,simple,10090,Mus musculus,GSM5049859,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,E3_Ctr_L2C_Ribo,Preimplantation embryo,WT,late 2-cell,Ribosome protected fragment,GSM5049859
SRR13577599,6315387,1894616100,150,787,SRX9975659,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147789,SAMN17679175,simple,10090,Mus musculus,GSM5049860,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,E3_Ctr_L2C_smart,Preimplantation embryo,WT,late 2-cell,polyA RNA,GSM5049860
SRR13577600,16001254,2400188100,150,1047,SRX9975660,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147790,SAMN17679173,simple,10090,Mus musculus,GSM5049861,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,E3_DRB_E2C_Ribo,Preimplantation embryo,WT,early 2-cell,Ribosome protected fragment,GSM5049861
SRR13577601,5375805,1612741500,150,647,SRX9975661,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 1500,SRP303825,PRJNA697913,35697785,"",SRS8147791,SAMN17679171,simple,10090,Mus musculus,GSM5049862,GEO,SRA1189375,04,2022,Xiong,Preimplantation embryo,E3_DRB_E2C_smart,Preimplantation embryo,WT,early 2-cell,polyA RNA,GSM5049862
