Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,ID,disease state,GEO Accession
SRR14511576,105170757,13356686139,28,4362,SRX10857389,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952871,SAMN19117458,simple,9606,Homo sapiens,GSM5292143,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_110_snRNA-B9,Motor Cortex,Motor Cortex,110,sALS,GSM5292143
SRR14511577,106875053,13573131731,28,4395,SRX10857389,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952871,SAMN19117458,simple,9606,Homo sapiens,GSM5292143,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_110_snRNA-B9,Motor Cortex,Motor Cortex,111,sALS,GSM5292144
SRR14511578,122189688,15518090376,28,5065,SRX10857390,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952872,SAMN19117457,simple,9606,Homo sapiens,GSM5292144,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_111_snRNA-B10,Motor Cortex,Motor Cortex,112,sALS,GSM5292145
SRR14511579,124126131,15764018637,28,5103,SRX10857390,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952872,SAMN19117457,simple,9606,Homo sapiens,GSM5292144,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_111_snRNA-B10,Motor Cortex,Motor Cortex,114,c9ALS,GSM5292146
SRR14511580,118651373,15068724371,28,4910,SRX10857391,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952873,SAMN19117455,simple,9606,Homo sapiens,GSM5292145,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_112_snRNA-D1,Motor Cortex,Motor Cortex,115,c9ALS,GSM5292147
SRR14511581,120441139,15296024653,28,4943,SRX10857391,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952873,SAMN19117455,simple,9606,Homo sapiens,GSM5292145,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_112_snRNA-D1,Motor Cortex,Motor Cortex,116,sALS,GSM5292148
SRR14511582,119100996,15125826492,28,4955,SRX10857392,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952874,SAMN19117454,simple,9606,Homo sapiens,GSM5292146,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_114_snRNA-B12,Motor Cortex,Motor Cortex,117,sALS,GSM5292149
SRR14511583,120974737,15363791599,28,4990,SRX10857392,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952874,SAMN19117454,simple,9606,Homo sapiens,GSM5292146,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_114_snRNA-B12,Motor Cortex,Motor Cortex,118,sALS,GSM5292150
SRR14511584,105477031,13395582937,28,4535,SRX10857393,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952875,SAMN19117453,simple,9606,Homo sapiens,GSM5292147,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_115_snRNA-C1,Motor Cortex,Motor Cortex,120,sALS,GSM5292151
SRR14511585,104159716,13228283932,28,4492,SRX10857393,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952875,SAMN19117453,simple,9606,Homo sapiens,GSM5292147,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_115_snRNA-C1,Motor Cortex,Motor Cortex,122,sALS,GSM5292152
SRR14511586,105381643,13383468661,28,4510,SRX10857394,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952876,SAMN19117452,simple,9606,Homo sapiens,GSM5292148,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_116_snRNA-C2,Motor Cortex,Motor Cortex,124,sALS,GSM5292153
SRR14511587,104044974,13213711698,28,4464,SRX10857394,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952876,SAMN19117452,simple,9606,Homo sapiens,GSM5292148,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_116_snRNA-C2,Motor Cortex,Motor Cortex,126,sALS,GSM5292154
SRR14511588,100876012,12811253524,28,4269,SRX10857395,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952877,SAMN19117451,simple,9606,Homo sapiens,GSM5292149,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_117_snRNA-C3,Motor Cortex,Motor Cortex,127,sALS,GSM5292155
SRR14511589,99619080,12651623160,28,4227,SRX10857395,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952877,SAMN19117451,simple,9606,Homo sapiens,GSM5292149,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_117_snRNA-C3,Motor Cortex,Motor Cortex,128,c9ALS,GSM5292156
SRR14511590,102201512,12979592024,28,4352,SRX10857396,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952878,SAMN19117450,simple,9606,Homo sapiens,GSM5292150,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_118_snRNA-C4,Motor Cortex,Motor Cortex,129,c9ALS,GSM5292157
SRR14511591,100974167,12823719209,28,4311,SRX10857396,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952878,SAMN19117450,simple,9606,Homo sapiens,GSM5292150,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_118_snRNA-C4,Motor Cortex,Motor Cortex,130,c9ALS,GSM5292158
SRR14511592,83621064,10619875128,28,3740,SRX10857397,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952881,SAMN19117449,simple,9606,Homo sapiens,GSM5292151,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_120_snRNA-A1,Motor Cortex,Motor Cortex,202,sFTLD,GSM5292159
SRR14511593,99901276,12687462052,28,4337,SRX10857397,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952881,SAMN19117449,simple,9606,Homo sapiens,GSM5292151,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_120_snRNA-A1,Motor Cortex,Motor Cortex,204,sFTLD,GSM5292160
SRR14511594,72262085,9177284795,28,3244,SRX10857398,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952879,SAMN19117448,simple,9606,Homo sapiens,GSM5292152,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_122_snRNA-D2,Motor Cortex,Motor Cortex,207,sFTLD,GSM5292161
SRR14511595,85076525,10804718675,28,3706,SRX10857398,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952879,SAMN19117448,simple,9606,Homo sapiens,GSM5292152,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_122_snRNA-D2,Motor Cortex,Motor Cortex,209,sFTLD,GSM5292162
SRR14511596,65405911,8306550697,28,2928,SRX10857399,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952880,SAMN19117447,simple,9606,Homo sapiens,GSM5292153,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_124_snRNA-A3,Motor Cortex,Motor Cortex,211,sFTLD,GSM5292163
SRR14511597,77714110,9869691970,28,3379,SRX10857399,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952880,SAMN19117447,simple,9606,Homo sapiens,GSM5292153,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_124_snRNA-A3,Motor Cortex,Motor Cortex,214,c9FTLD,GSM5292164
SRR14511598,68943927,8755878729,28,3085,SRX10857400,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952882,SAMN19117446,simple,9606,Homo sapiens,GSM5292154,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_126_snRNA-A6,Motor Cortex,Motor Cortex,216,sFTLD,GSM5292165
SRR14511599,82579067,10487541509,28,3591,SRX10857400,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952882,SAMN19117446,simple,9606,Homo sapiens,GSM5292154,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_126_snRNA-A6,Motor Cortex,Motor Cortex,217,sFTLD,GSM5292166
SRR14511600,95790514,12165395278,28,4198,SRX10857401,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952883,SAMN19117445,simple,9606,Homo sapiens,GSM5292155,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_127_snRNA-A4,Motor Cortex,Motor Cortex,218,sFTLD,GSM5292167
SRR14511601,94590849,12013037823,28,4162,SRX10857401,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319497,PRJNA729486,1,"",SRS8952883,SAMN19117445,simple,9606,Homo sapiens,GSM5292155,GEO,SRA1231427,07,2021,Makar,Motor Cortex,191112_ALS_127_snRNA-A4,Motor Cortex,Motor Cortex,222,sFTLD,GSM5292168
