Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,GEO Accession
SRR17260851,21171043,1608999268,76,679,SRX13439159,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP351320,PRJNA789173,36229039,"",SRS11338579,SAMN24060715,simple,83333,Escherichia coli K-12,GSM5736207,GEO,SRA1345051,05,2022,Hör,Cell-free mRNA and translational machinery,Untreated sample after INR-Seq – R1,Cell-free mRNA and translational machinery,untreated,GSM5736207
SRR17260852,28086592,2134580992,76,895,SRX13439160,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP351320,PRJNA789173,36229039,"",SRS11338580,SAMN24060716,simple,83333,Escherichia coli K-12,GSM5736208,GEO,SRA1345051,05,2022,Hör,Cell-free mRNA and translational machinery,Untreated sample after INR-Seq – R2,Cell-free mRNA and translational machinery,untreated,GSM5736208
SRR17260853,23194461,1762779036,76,741,SRX13439161,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP351320,PRJNA789173,36229039,"",SRS11338581,SAMN24060717,simple,83333,Escherichia coli K-12,GSM5736209,GEO,SRA1345051,05,2022,Hör,Cell-free mRNA and translational machinery,Untreated sample after INR-Seq – R3,Cell-free mRNA and translational machinery,untreated,GSM5736209
SRR17260854,23351342,1774701992,76,713,SRX13439162,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP351320,PRJNA789173,36229039,"",SRS11338582,SAMN24060718,simple,83333,Escherichia coli K-12,GSM5736210,GEO,SRA1345051,05,2022,Hör,Cell-free mRNA and translational machinery,Untreated sample after INR-Seq – R4,Cell-free mRNA and translational machinery,untreated,GSM5736210
SRR17260855,19623495,1491385620,76,604,SRX13439163,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP351320,PRJNA789173,36229039,"",SRS11338583,SAMN24060719,simple,83333,Escherichia coli K-12,GSM5736211,GEO,SRA1345051,05,2022,Hör,Cell-free mRNA and translational machinery,Untreated sample after INR-Seq – R5,Cell-free mRNA and translational machinery,untreated,GSM5736211
SRR17260856,26280424,1997312224,76,838,SRX13439164,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP351320,PRJNA789173,36229039,"",SRS11338584,SAMN24060720,simple,83333,Escherichia coli K-12,GSM5736212,GEO,SRA1345051,05,2022,Hör,Cell-free mRNA and translational machinery,Sample treated with 0.5nM PNA after INR-Seq – R1,Cell-free mRNA and translational machinery,treated with 0.5nM acpP PNA,GSM5736212
SRR17260857,24126748,1833632848,76,771,SRX13439165,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP351320,PRJNA789173,36229039,"",SRS11338585,SAMN24060721,simple,83333,Escherichia coli K-12,GSM5736213,GEO,SRA1345051,05,2022,Hör,Cell-free mRNA and translational machinery,Sample treated with 0.5nM PNA after INR-Seq – R2,Cell-free mRNA and translational machinery,treated with 0.5nM acpP PNA,GSM5736213
SRR17260858,24792554,1884234104,76,796,SRX13439166,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP351320,PRJNA789173,36229039,"",SRS11338586,SAMN24060722,simple,83333,Escherichia coli K-12,GSM5736214,GEO,SRA1345051,05,2022,Hör,Cell-free mRNA and translational machinery,Sample treated with 0.5nM PNA after INR-Seq – R3,Cell-free mRNA and translational machinery,treated with 0.5nM acpP PNA,GSM5736214
SRR17260859,25142767,1910850292,76,804,SRX13439167,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP351320,PRJNA789173,36229039,"",SRS11338587,SAMN24060723,simple,83333,Escherichia coli K-12,GSM5736215,GEO,SRA1345051,05,2022,Hör,Cell-free mRNA and translational machinery,Sample treated with 5nM PNA after INR-Seq – R1,Cell-free mRNA and translational machinery,treated with 5nM acpP PNA,GSM5736215
SRR17260860,17603579,1337872004,76,564,SRX13439168,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP351320,PRJNA789173,36229039,"",SRS11338588,SAMN24060724,simple,83333,Escherichia coli K-12,GSM5736216,GEO,SRA1345051,05,2022,Hör,Cell-free mRNA and translational machinery,Sample treated with 5nM PNA after INR-Seq – R2,Cell-free mRNA and translational machinery,treated with 5nM acpP PNA,GSM5736216
SRR17260861,26250650,1995049400,76,847,SRX13439169,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP351320,PRJNA789173,36229039,"",SRS11338589,SAMN24060725,simple,83333,Escherichia coli K-12,GSM5736217,GEO,SRA1345051,05,2022,Hör,Cell-free mRNA and translational machinery,Sample treated with 5nM PNA after INR-Seq – R3,Cell-free mRNA and translational machinery,treated with 5nM acpP PNA,GSM5736217
SRR17260862,18708079,1421814004,76,577,SRX13439170,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP351320,PRJNA789173,36229039,"",SRS11338590,SAMN24060726,simple,83333,Escherichia coli K-12,GSM5736218,GEO,SRA1345051,05,2022,Hör,Cell-free mRNA and translational machinery,Sample treated with 16nM PNA after INR-Seq – R1,Cell-free mRNA and translational machinery,treated with 16nM acpP PNA,GSM5736218
SRR17260863,21935430,1667092680,76,673,SRX13439171,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP351320,PRJNA789173,36229039,"",SRS11338591,SAMN24060727,simple,83333,Escherichia coli K-12,GSM5736219,GEO,SRA1345051,05,2022,Hör,Cell-free mRNA and translational machinery,Sample treated with 16nM PNA after INR-Seq – R2,Cell-free mRNA and translational machinery,treated with 16nM acpP PNA,GSM5736219
SRR17260864,18753805,1425289180,76,582,SRX13439172,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP351320,PRJNA789173,36229039,"",SRS11338592,SAMN24060728,simple,83333,Escherichia coli K-12,GSM5736220,GEO,SRA1345051,05,2022,Hör,Cell-free mRNA and translational machinery,Sample treated with 16nM PNA after INR-Seq – R3,Cell-free mRNA and translational machinery,treated with 16nM acpP PNA,GSM5736220
SRR17260865,22384287,1701205812,76,687,SRX13439173,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP351320,PRJNA789173,36229039,"",SRS11338593,SAMN24060729,simple,83333,Escherichia coli K-12,GSM5736221,GEO,SRA1345051,05,2022,Hör,Cell-free mRNA and translational machinery,Sample treated with 63nM PNA after INR-Seq – R1,Cell-free mRNA and translational machinery,treated with 63nM acpP PNA,GSM5736221
SRR17260866,19071478,1449432328,76,587,SRX13439174,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP351320,PRJNA789173,36229039,"",SRS11338594,SAMN24060730,simple,83333,Escherichia coli K-12,GSM5736222,GEO,SRA1345051,05,2022,Hör,Cell-free mRNA and translational machinery,Sample treated with 63nM PNA after INR-Seq – R2,Cell-free mRNA and translational machinery,treated with 63nM acpP PNA,GSM5736222
SRR17260867,21944652,1667793552,76,678,SRX13439175,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP351320,PRJNA789173,36229039,"",SRS11338595,SAMN24060734,simple,83333,Escherichia coli K-12,GSM5736223,GEO,SRA1345051,05,2022,Hör,Cell-free mRNA and translational machinery,Sample treated with 63nM PNA after INR-Seq – R3,Cell-free mRNA and translational machinery,treated with 63nM acpP PNA,GSM5736223
SRR17260868,18244218,1386560568,76,563,SRX13439176,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP351320,PRJNA789173,36229039,"",SRS11338596,SAMN24060733,simple,83333,Escherichia coli K-12,GSM5736224,GEO,SRA1345051,05,2022,Hör,Cell-free mRNA and translational machinery,Sample treated with 250nM PNA after INR-Seq – R1,Cell-free mRNA and translational machinery,treated with 250nM acpP PNA,GSM5736224
SRR17260869,18855824,1433042624,76,580,SRX13439177,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP351320,PRJNA789173,36229039,"",SRS11338597,SAMN24060731,simple,83333,Escherichia coli K-12,GSM5736225,GEO,SRA1345051,05,2022,Hör,Cell-free mRNA and translational machinery,Sample treated with 250nM PNA after INR-Seq – R2,Cell-free mRNA and translational machinery,treated with 250nM acpP PNA,GSM5736225
SRR17260870,20046078,1523501928,76,623,SRX13439178,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP351320,PRJNA789173,36229039,"",SRS11338598,SAMN24060732,simple,83333,Escherichia coli K-12,GSM5736226,GEO,SRA1345051,05,2022,Hör,Cell-free mRNA and translational machinery,Sample treated with 250nM PNA after INR-Seq – R3,Cell-free mRNA and translational machinery,treated with 250nM acpP PNA,GSM5736226
