Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,growth condition,molecule type,GEO Accession
SRR11777267,9733724,291374839,29,113,SRX8330134,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261277,PRJNA631930,32710835,"",SRS6649621,SAMN14896666,simple,4932,Saccharomyces cerevisiae,GSM4547703,GEO,SRA1074705,07,2020,Eisenberg,"vegetative exponential, LTM pre-treated, footprints",vegetative exponential,"vegetative exponential, LTM pre-treated, footprints",SK1,vegetative,ribosome footprints,GSM4547703
SRR11777268,14178330,403610123,28,151,SRX8330135,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261277,PRJNA631930,32710835,"",SRS6649622,SAMN14896665,simple,4932,Saccharomyces cerevisiae,GSM4547704,GEO,SRA1074705,07,2020,Eisenberg,"vegetative saturated, LTM pre-treated, footprints",vegetative saturated,"vegetative saturated, LTM pre-treated, footprints",SK1,vegetative,ribosome footprints,GSM4547704
SRR11777269,10589699,309749444,29,120,SRX8330136,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261277,PRJNA631930,32710835,"",SRS6649623,SAMN14896664,simple,4932,Saccharomyces cerevisiae,GSM4547705,GEO,SRA1074705,07,2020,Eisenberg,"0 hr sporulation media, LTM pre-treated, footprints",0 hr sporulation media,"0 hr sporulation media, LTM pre-treated, footprints",SK1,meiotic,ribosome footprints,GSM4547705
SRR11777270,12423522,357049196,28,139,SRX8330137,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261277,PRJNA631930,32710835,"",SRS6649624,SAMN14896663,simple,4932,Saccharomyces cerevisiae,GSM4547706,GEO,SRA1074705,07,2020,Eisenberg,"1.5 hr sporulation media, LTM pre-treated, footprints",1.5 hr sporulation media,"1.5 hr sporulation media, LTM pre-treated, footprints",SK1,meiotic,ribosome footprints,GSM4547706
SRR11777271,20500697,589469362,28,225,SRX8330138,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261277,PRJNA631930,32710835,"",SRS6649625,SAMN14896662,simple,4932,Saccharomyces cerevisiae,GSM4547707,GEO,SRA1074705,07,2020,Eisenberg,"3 hr sporulation media, LTM pre-treated, footprints",3 hr sporulation media,"3 hr sporulation media, LTM pre-treated, footprints",SK1,meiotic,ribosome footprints,GSM4547707
SRR11777272,9593790,266382880,27,92,SRX8330139,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261277,PRJNA631930,32710835,"",SRS6649626,SAMN14896661,simple,4932,Saccharomyces cerevisiae,GSM4547708,GEO,SRA1074705,07,2020,Eisenberg,"4.5 hr sporulation media, LTM pre-treated, footprints",4.5 hr sporulation media,"4.5 hr sporulation media, LTM pre-treated, footprints",SK1,meiotic,ribosome footprints,GSM4547708
SRR11777273,8465482,239089105,28,91,SRX8330140,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261277,PRJNA631930,32710835,"",SRS6649627,SAMN14896660,simple,4932,Saccharomyces cerevisiae,GSM4547709,GEO,SRA1074705,07,2020,Eisenberg,"6 hr sporulation media, LTM pre-treated, footprints",6 hr sporulation media,"6 hr sporulation media, LTM pre-treated, footprints",SK1,meiotic,ribosome footprints,GSM4547709
SRR11777274,22878202,648940765,28,248,SRX8330141,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261277,PRJNA631930,32710835,"",SRS6649628,SAMN14896659,simple,4932,Saccharomyces cerevisiae,GSM4547710,GEO,SRA1074705,07,2020,Eisenberg,"8 hr sporulation media, LTM pre-treated, footprints",8 hr sporulation media,"8 hr sporulation media, LTM pre-treated, footprints",SK1,meiotic,ribosome footprints,GSM4547710
SRR11777275,20976403,594181006,28,235,SRX8330142,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261277,PRJNA631930,32710835,"",SRS6649629,SAMN14896658,simple,4932,Saccharomyces cerevisiae,GSM4547711,GEO,SRA1074705,07,2020,Eisenberg,"10 hr sporulation media, LTM pre-treated, footprints",10 hr sporulation media,"10 hr sporulation media, LTM pre-treated, footprints",SK1,meiotic,ribosome footprints,GSM4547711
SRR11777276,9228564,259362246,28,105,SRX8330143,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP261277,PRJNA631930,32710835,"",SRS6649630,SAMN14896668,simple,4932,Saccharomyces cerevisiae,GSM4547712,GEO,SRA1074705,07,2020,Eisenberg,"22 hr sporulation media, LTM pre-treated, footprints",22 hr sporulation media,"22 hr sporulation media, LTM pre-treated, footprints",SK1,meiotic,ribosome footprints,GSM4547712
