Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment,geo_loc_name,collection_date
SRR23418171,270139214,40520882100,150,14002,SRX19338050,GSM7039252,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421957,PRJNA933910,37547972,"",SRS16734816,SAMN33259517,simple,9606,Homo sapiens,GSM7039252,"Laboratory of Histology-Embryology Molecular Carcinogenesis Group, Medicine, University of Athens",SRA1703421,08,2023,Papaspyropoulos,IMR90,"IMR90 cells, H2O2 treatment (stress), replicate 1,Ribo-seq",IMR90,IMR90,IMR90 cells(fibroblasts isolated from normal lung tissue),H2O2 treatment,Senescence (Replicative exhaustion) + H2O2 treatment,missing,missing
SRR23418170,144122499,21618374850,150,7688,SRX19338051,GSM7039253,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421957,PRJNA933910,37547972,"",SRS16734817,SAMN33259516,simple,9606,Homo sapiens,GSM7039253,"Laboratory of Histology-Embryology Molecular Carcinogenesis Group, Medicine, University of Athens",SRA1703421,08,2023,Papaspyropoulos,IMR90,"IMR90 cells, H2O2 treatment (stress), replicate 2,Ribo-seq",IMR90,IMR90,IMR90 cells(fibroblasts isolated from normal lung tissue),H2O2 treatment,Senescence (Replicative exhaustion) + H2O2 treatment,missing,missing
SRR23418169,59163001,8874450150,150,2928,SRX19338052,GSM7039254,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421957,PRJNA933910,37547972,"",SRS16734818,SAMN33259515,simple,9606,Homo sapiens,GSM7039254,"Laboratory of Histology-Embryology Molecular Carcinogenesis Group, Medicine, University of Athens",SRA1703421,08,2023,Papaspyropoulos,IMR90,"IMR90 cells, Oncogene Induced Senesence (OIS), replicate 1,Ribo-seq",IMR90,IMR90,IMR90 cells(fibroblasts isolated from normal lung tissue),Oncogene Induced Senesence (OIS),Oncogene Induced Senesence (OIS),missing,missing
SRR23418168,61539131,9230869650,150,3010,SRX19338053,GSM7039255,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421957,PRJNA933910,37547972,"",SRS16734819,SAMN33259514,simple,9606,Homo sapiens,GSM7039255,"Laboratory of Histology-Embryology Molecular Carcinogenesis Group, Medicine, University of Athens",SRA1703421,08,2023,Papaspyropoulos,IMR90,"IMR90 cells, Oncogene Induced Senesence (OIS), replicate 2",IMR90,IMR90,IMR90 cells(fibroblasts isolated from normal lung tissue),Oncogene Induced Senesence (OIS),Oncogene Induced Senesence (OIS),missing,missing
SRR23418167,66472715,9970907250,150,3224,SRX19338054,GSM7039256,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421957,PRJNA933910,37547972,"",SRS16734820,SAMN33259513,simple,9606,Homo sapiens,GSM7039256,"Laboratory of Histology-Embryology Molecular Carcinogenesis Group, Medicine, University of Athens",SRA1703421,08,2023,Papaspyropoulos,IMR90,"IMR90 cells, normal Proliferating conditions, replicate 1, control sample,Ribo-seq",IMR90,IMR90,IMR90 cells(fibroblasts isolated from normal lung tissue),control,(normal Proliferating cells),missing,missing
SRR23418166,96847184,14527077600,150,4753,SRX19338055,GSM7039257,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421957,PRJNA933910,37547972,"",SRS16734821,SAMN33259512,simple,9606,Homo sapiens,GSM7039257,"Laboratory of Histology-Embryology Molecular Carcinogenesis Group, Medicine, University of Athens",SRA1703421,08,2023,Papaspyropoulos,IMR90,"IMR90 cells, normal Proliferating conditions, replicate 2, control sample,Ribo-seq",IMR90,IMR90,IMR90 cells(fibroblasts isolated from normal lung tissue),control,(normal Proliferating cells),missing,missing
SRR23418165,23591800,7124723600,151,2387,SRX19338056,GSM7039258,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421957,PRJNA933910,37547972,"",SRS16734822,SAMN33259511,simple,9606,Homo sapiens,GSM7039258,"Laboratory of Histology-Embryology Molecular Carcinogenesis Group, Medicine, University of Athens",SRA1703421,08,2023,Papaspyropoulos,IMR90,"IMR90 cells, H2O2 treatment (stress), replicate 1,RNA-seq",IMR90,IMR90,IMR90 cells(fibroblasts isolated from normal lung tissue),H2O2 treatment,Senescence (Replicative exhaustion) + H2O2 treatment,missing,missing
SRR23418164,21362532,6451484664,151,2123,SRX19338057,GSM7039259,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421957,PRJNA933910,37547972,"",SRS16734823,SAMN33259510,simple,9606,Homo sapiens,GSM7039259,"Laboratory of Histology-Embryology Molecular Carcinogenesis Group, Medicine, University of Athens",SRA1703421,08,2023,Papaspyropoulos,IMR90,"IMR90 cells, H2O2 treatment (stress), replicate 2,RNA-seq",IMR90,IMR90,IMR90 cells(fibroblasts isolated from normal lung tissue),H2O2 treatment,Senescence (Replicative exhaustion) + H2O2 treatment,missing,missing
SRR23418163,27597928,8334574256,151,2700,SRX19338058,GSM7039260,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421957,PRJNA933910,37547972,"",SRS16734824,SAMN33259509,simple,9606,Homo sapiens,GSM7039260,"Laboratory of Histology-Embryology Molecular Carcinogenesis Group, Medicine, University of Athens",SRA1703421,08,2023,Papaspyropoulos,IMR90,"IMR90 cells, Oncogene Induced Senesence (OIS), replicate 1,RNA-seq",IMR90,IMR90,IMR90 cells(fibroblasts isolated from normal lung tissue),Oncogene Induced Senesence (OIS),Oncogene Induced Senesence (OIS),missing,missing
SRR23418162,32993649,9964081998,151,3100,SRX19338059,GSM7039261,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421957,PRJNA933910,37547972,"",SRS16734825,SAMN33259508,simple,9606,Homo sapiens,GSM7039261,"Laboratory of Histology-Embryology Molecular Carcinogenesis Group, Medicine, University of Athens",SRA1703421,08,2023,Papaspyropoulos,IMR90,"IMR90 cells, Oncogene Induced Senesence (OIS), replicate 2,RNA-seq",IMR90,IMR90,IMR90 cells(fibroblasts isolated from normal lung tissue),Oncogene Induced Senesence (OIS),Oncogene Induced Senesence (OIS),missing,missing
SRR23418161,26985196,8149529192,151,2612,SRX19338060,GSM7039262,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421957,PRJNA933910,37547972,"",SRS16734826,SAMN33259507,simple,9606,Homo sapiens,GSM7039262,"Laboratory of Histology-Embryology Molecular Carcinogenesis Group, Medicine, University of Athens",SRA1703421,08,2023,Papaspyropoulos,IMR90,"IMR90 cells, normal Proliferating conditions, replicate 1, control sample,RNA-seq",IMR90,IMR90,IMR90 cells(fibroblasts isolated from normal lung tissue),control,(normal Proliferating cells),missing,missing
SRR23418160,23730948,7166746296,151,2349,SRX19338061,GSM7039263,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP421957,PRJNA933910,37547972,"",SRS16734827,SAMN33259506,simple,9606,Homo sapiens,GSM7039263,"Laboratory of Histology-Embryology Molecular Carcinogenesis Group, Medicine, University of Athens",SRA1703421,08,2023,Papaspyropoulos,IMR90,"IMR90 cells, normal Proliferating conditions, replicate 2, control sample,RNA-seq",IMR90,IMR90,IMR90 cells(fibroblasts isolated from normal lung tissue),control,(normal Proliferating cells),missing,missing
