Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,age,feeding,genotype,GEO Accession
SRR2535267,9155023,457751150,50,289,SRX1295231,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094307,SAMN04122289,simple,10090,Mus musculus,GSM1897856,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT00_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897856
SRR2535268,8833985,450533235,51,284,SRX1295231,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094307,SAMN04122289,simple,10090,Mus musculus,GSM1897856,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT00_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897857
SRR2535269,9121584,456079200,50,289,SRX1295231,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094307,SAMN04122289,simple,10090,Mus musculus,GSM1897856,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT00_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897858
SRR2535270,8711961,444310011,51,280,SRX1295231,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094307,SAMN04122289,simple,10090,Mus musculus,GSM1897856,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT00_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897859
SRR2535271,9084928,454246400,50,287,SRX1295231,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094307,SAMN04122289,simple,10090,Mus musculus,GSM1897856,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT00_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897860
SRR2535272,8854548,451581948,51,285,SRX1295231,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094307,SAMN04122289,simple,10090,Mus musculus,GSM1897856,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT00_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897861
SRR2535273,9199137,459956850,50,291,SRX1295231,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094307,SAMN04122289,simple,10090,Mus musculus,GSM1897856,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT00_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897862
SRR2535274,8795397,448565247,51,283,SRX1295231,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094307,SAMN04122289,simple,10090,Mus musculus,GSM1897856,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT00_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897863
SRR2535275,9856040,492802000,50,314,SRX1295232,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094306,SAMN04122290,simple,10090,Mus musculus,GSM1897857,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT02_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897864
SRR2535276,9496847,484339197,51,308,SRX1295232,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094306,SAMN04122290,simple,10090,Mus musculus,GSM1897857,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT02_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897865
SRR2535277,9835726,491786300,50,313,SRX1295232,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094306,SAMN04122290,simple,10090,Mus musculus,GSM1897857,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT02_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897866
SRR2535278,9382526,478508826,51,304,SRX1295232,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094306,SAMN04122290,simple,10090,Mus musculus,GSM1897857,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT02_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897867
SRR2535279,9792695,489634750,50,311,SRX1295232,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094306,SAMN04122290,simple,10090,Mus musculus,GSM1897857,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT02_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897868
SRR2535280,9534753,486272403,51,310,SRX1295232,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP064304,PRJNA297288,26554015,"",SRS1094306,SAMN04122290,simple,10090,Mus musculus,GSM1897857,GEO,SRA301994,11,2015,Atger,Liver Total RNA,WT_AL_ZT02_A_RFP,Liver Total RNA,C57BL/6,Liver,10-14 weeks,Ad Libitum,Wild type,GSM1897869
