Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,GEO Accession
SRR8915507,44228026,3361329976,76,1141,SRX5696961,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192770,PRJNA533132,1,"",SRS4636169,SAMN11440431,simple,9606,Homo sapiens,GSM3724994,GEO,SRA875251,08,2022,Makar,ribosome profiling,LogPhase_monosome_rep.1,ribosome profiling,HEK293 cells,GSM3724994
SRR8915508,42445859,3225885284,76,1191,SRX5696962,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192770,PRJNA533132,1,"",SRS4636170,SAMN11440442,simple,9606,Homo sapiens,GSM3724995,GEO,SRA875251,08,2022,Makar,ribosome profiling,LogPhase_monosome_rep.2,ribosome profiling,HEK293 cells,GSM3724995
SRR8915509,36501237,2774094012,76,993,SRX5696963,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192770,PRJNA533132,1,"",SRS4636171,SAMN11440441,simple,9606,Homo sapiens,GSM3724996,GEO,SRA875251,08,2022,Makar,ribosome profiling,LogPhase_polysome_rep.1,ribosome profiling,HEK293 cells,GSM3724996
SRR8915510,39415979,2995614404,76,1132,SRX5696964,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192770,PRJNA533132,1,"",SRS4636172,SAMN11440440,simple,9606,Homo sapiens,GSM3724997,GEO,SRA875251,08,2022,Makar,ribosome profiling,LogPhase_polysome_rep.2,ribosome profiling,HEK293 cells,GSM3724997
SRR8915511,37444649,2845793324,76,994,SRX5696965,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192770,PRJNA533132,1,"",SRS4636173,SAMN11440439,simple,9606,Homo sapiens,GSM3724998,GEO,SRA875251,08,2022,Makar,ribosome profiling,-serum_monosome_rep.1,ribosome profiling,HEK293 cells,GSM3724998
SRR8915512,42861569,3257479244,76,1230,SRX5696966,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192770,PRJNA533132,1,"",SRS4636174,SAMN11440438,simple,9606,Homo sapiens,GSM3724999,GEO,SRA875251,08,2022,Makar,ribosome profiling,-serum_monosome_rep.2,ribosome profiling,HEK293 cells,GSM3724999
SRR8915513,40471795,3075856420,76,1095,SRX5696967,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192770,PRJNA533132,1,"",SRS4636175,SAMN11440437,simple,9606,Homo sapiens,GSM3725000,GEO,SRA875251,08,2022,Makar,ribosome profiling,-serum_polysome_rep.1,ribosome profiling,HEK293 cells,GSM3725000
SRR8915514,36350034,2762602584,76,1042,SRX5696968,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192770,PRJNA533132,1,"",SRS4636176,SAMN11440436,simple,9606,Homo sapiens,GSM3725001,GEO,SRA875251,08,2022,Makar,ribosome profiling,-serum_polysome_rep.2,ribosome profiling,HEK293 cells,GSM3725001
SRR8915515,38989908,2963233008,76,1032,SRX5696969,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192770,PRJNA533132,1,"",SRS4636177,SAMN11440435,simple,9606,Homo sapiens,GSM3725002,GEO,SRA875251,08,2022,Makar,ribosome profiling,-AA_monosome_rep.1,ribosome profiling,HEK293 cells,GSM3725002
SRR8915516,45659450,3470118200,76,1315,SRX5696970,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192770,PRJNA533132,1,"",SRS4636178,SAMN11440434,simple,9606,Homo sapiens,GSM3725003,GEO,SRA875251,08,2022,Makar,ribosome profiling,-AA_monosome_rep.2,ribosome profiling,HEK293 cells,GSM3725003
SRR8915517,34366912,2611885312,76,940,SRX5696971,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192770,PRJNA533132,1,"",SRS4636180,SAMN11440433,simple,9606,Homo sapiens,GSM3725004,GEO,SRA875251,08,2022,Makar,ribosome profiling,-AA_polysome_rep.1,ribosome profiling,HEK293 cells,GSM3725004
SRR8915518,37238901,2830156476,76,1069,SRX5696972,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192770,PRJNA533132,1,"",SRS4636179,SAMN11440432,simple,9606,Homo sapiens,GSM3725005,GEO,SRA875251,08,2022,Makar,ribosome profiling,-AA_polysome_rep.2,ribosome profiling,HEK293 cells,GSM3725005
