Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,common name,sample name
ERR9878769,36670185,2933614800,80,847,ERX9423976,Kap104_IP_1,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,ERP138672,PRJEB53855,1,"",ERS12282014,SAMEA110183208,simple,4932,Saccharomyces cerevisiae,SAMEA110183208,European Molecular Biology Laboratory,ERA15967696,11,2022,Makar,"",Kap104_IP_1,2022-11-23,2022-11-23,SAMEA110183208,EMBL,European Molecular Biology Laboratory,2022-11-23T20:18:56Z,2022-11-23T20:18:56Z,public,Kap104_IP_1,baker's yeast,Kap104_IP_1
ERR9878770,33837233,2706978640,80,779,ERX9423977,Kap104_IP_2,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,ERP138672,PRJEB53855,1,"",ERS12282015,SAMEA110183209,simple,4932,Saccharomyces cerevisiae,SAMEA110183209,European Molecular Biology Laboratory,ERA15967696,11,2022,Makar,"",Kap104_IP_2,2022-11-23,2022-11-23,SAMEA110183209,EMBL,European Molecular Biology Laboratory,2022-11-23T20:18:56Z,2022-11-23T20:18:56Z,public,Kap104_IP_2,baker's yeast,Kap104_IP_2
ERR9878771,1229429,98354320,80,28,ERX9423978,Kap104_IP_3,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,ERP138672,PRJEB53855,1,"",ERS12282016,SAMEA110183210,simple,4932,Saccharomyces cerevisiae,SAMEA110183210,European Molecular Biology Laboratory,ERA15967696,11,2022,Makar,"",Kap104_IP_3,2022-11-23,2022-11-23,SAMEA110183210,EMBL,European Molecular Biology Laboratory,2022-11-23T20:18:56Z,2022-11-23T20:18:56Z,public,Kap104_IP_3,baker's yeast,Kap104_IP_3
ERR9878772,3084210,246736800,80,71,ERX9423979,Kap104_IP_4,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,ERP138672,PRJEB53855,1,"",ERS12282017,SAMEA110183211,simple,4932,Saccharomyces cerevisiae,SAMEA110183211,European Molecular Biology Laboratory,ERA15967696,11,2022,Makar,"",Kap104_IP_4,2022-11-23,2022-11-23,SAMEA110183211,EMBL,European Molecular Biology Laboratory,2022-11-23T20:18:56Z,2022-11-23T20:18:56Z,public,Kap104_IP_4,baker's yeast,Kap104_IP_4
ERR9878773,60555536,4844442880,80,1418,ERX9423980,Kap104_total_1,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,ERP138672,PRJEB53855,1,"",ERS12282018,SAMEA110183212,simple,4932,Saccharomyces cerevisiae,SAMEA110183212,European Molecular Biology Laboratory,ERA15967696,11,2022,Makar,"",Kap104_total_1,2022-11-23,2022-11-23,SAMEA110183212,EMBL,European Molecular Biology Laboratory,2022-11-23T20:18:56Z,2022-11-23T20:18:56Z,public,Kap104_total_1,baker's yeast,Kap104_total_1
ERR9878774,42964096,3437127680,80,1008,ERX9423981,Kap104_total_2,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,ERP138672,PRJEB53855,1,"",ERS12282019,SAMEA110183213,simple,4932,Saccharomyces cerevisiae,SAMEA110183213,European Molecular Biology Laboratory,ERA15967696,11,2022,Makar,"",Kap104_total_2,2022-11-23,2022-11-23,SAMEA110183213,EMBL,European Molecular Biology Laboratory,2022-11-23T20:18:56Z,2022-11-23T20:18:56Z,public,Kap104_total_2,baker's yeast,Kap104_total_2
ERR9878775,16810583,1344846640,80,395,ERX9423982,Kap104_total_3,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,ERP138672,PRJEB53855,1,"",ERS12282020,SAMEA110183214,simple,4932,Saccharomyces cerevisiae,SAMEA110183214,European Molecular Biology Laboratory,ERA15967696,11,2022,Makar,"",Kap104_total_3,2022-11-23,2022-11-23,SAMEA110183214,EMBL,European Molecular Biology Laboratory,2022-11-23T20:18:56Z,2022-11-23T20:18:56Z,public,Kap104_total_3,baker's yeast,Kap104_total_3
ERR9878776,25670941,2053675280,80,601,ERX9423983,Kap104_total_4,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,ERP138672,PRJEB53855,1,"",ERS12282021,SAMEA110183215,simple,4932,Saccharomyces cerevisiae,SAMEA110183215,European Molecular Biology Laboratory,ERA15967696,11,2022,Makar,"",Kap104_total_4,2022-11-23,2022-11-23,SAMEA110183215,EMBL,European Molecular Biology Laboratory,2022-11-23T20:18:56Z,2022-11-23T20:18:56Z,public,Kap104_total_4,baker's yeast,Kap104_total_4
ERR9878777,112412821,8993025680,80,2615,ERX9423984,Kap121_IP_1,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,ERP138672,PRJEB53855,1,"",ERS12282022,SAMEA110183216,simple,4932,Saccharomyces cerevisiae,SAMEA110183216,European Molecular Biology Laboratory,ERA15967696,11,2022,Makar,"",Kap121_IP_1,2022-11-23,2022-11-23,SAMEA110183216,EMBL,European Molecular Biology Laboratory,2022-11-23T20:18:56Z,2022-11-23T20:18:56Z,public,Kap121_IP_1,baker's yeast,Kap121_IP_1
ERR9878778,162860937,13028874960,80,3850,ERX9423985,Kap121_IP_2,miRNA-Seq,RANDOM,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,ERP138672,PRJEB53855,1,"",ERS12282023,SAMEA110183217,simple,4932,Saccharomyces cerevisiae,SAMEA110183217,European Molecular Biology Laboratory,ERA15967696,11,2022,Makar,"",Kap121_IP_2,2022-11-23,2022-11-23,SAMEA110183217,EMBL,European Molecular Biology Laboratory,2022-11-23T20:18:56Z,2022-11-23T20:18:56Z,public,Kap121_IP_2,baker's yeast,Kap121_IP_2
