Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,time in development,strain,growth protocol,GEO Accession
SRR1041221,50000000,2.55e+09,51,1540,SRX385606,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033412,PRJNA230377,24440504,"",SRS509712,SAMN02428690,simple,6239,Caenorhabditis elegans,GSM1277173,GEO,SRA115007,03,2014,Hendriks,Whole-worm,RNASeq_riboM_contDevA_N2_21hr,Whole-worm,22 hours,N2,Continuous 1,GSM1277173
SRR1041222,6772541,345399591,51,210,SRX385606,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033412,PRJNA230377,24440504,"",SRS509712,SAMN02428690,simple,6239,Caenorhabditis elegans,GSM1277173,GEO,SRA115007,03,2014,Hendriks,Whole-worm,RNASeq_riboM_contDevA_N2_21hr,Whole-worm,23 hours,N2,Continuous 1,GSM1277174
SRR1041223,35664681,1818898731,51,1111,SRX385607,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033412,PRJNA230377,24440504,"",SRS509713,SAMN02428692,simple,6239,Caenorhabditis elegans,GSM1277174,GEO,SRA115007,03,2014,Hendriks,Whole-worm,RNASeq_riboM_contDevA_N2_22hr,Whole-worm,24 hours,N2,Continuous 1,GSM1277175
SRR1041224,45598971,2325547521,51,1411,SRX385608,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033412,PRJNA230377,24440504,"",SRS509714,SAMN02428691,simple,6239,Caenorhabditis elegans,GSM1277175,GEO,SRA115007,03,2014,Hendriks,Whole-worm,RNASeq_riboM_contDevA_N2_23hr,Whole-worm,25 hours,N2,Continuous 1,GSM1277176
SRR1041225,31030773,1582569423,51,966,SRX385609,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033412,PRJNA230377,24440504,"",SRS509715,SAMN02428694,simple,6239,Caenorhabditis elegans,GSM1277176,GEO,SRA115007,03,2014,Hendriks,Whole-worm,RNASeq_riboM_contDevA_N2_24hr,Whole-worm,26 hours,N2,Continuous 1,GSM1277177
SRR1041226,36931478,1883505378,51,1192,SRX385610,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033412,PRJNA230377,24440504,"",SRS509716,SAMN02428693,simple,6239,Caenorhabditis elegans,GSM1277177,GEO,SRA115007,03,2014,Hendriks,Whole-worm,RNASeq_riboM_contDevA_N2_25hr,Whole-worm,27 hours,N2,Continuous 1,GSM1277178
SRR1041227,50000000,2.55e+09,51,1597,SRX385611,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033412,PRJNA230377,24440504,"",SRS509717,SAMN02428716,simple,6239,Caenorhabditis elegans,GSM1277178,GEO,SRA115007,03,2014,Hendriks,Whole-worm,RNASeq_riboM_contDevA_N2_26hr,Whole-worm,28 hours,N2,Continuous 1,GSM1277179
SRR1041228,10340736,527377536,51,330,SRX385611,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033412,PRJNA230377,24440504,"",SRS509717,SAMN02428716,simple,6239,Caenorhabditis elegans,GSM1277178,GEO,SRA115007,03,2014,Hendriks,Whole-worm,RNASeq_riboM_contDevA_N2_26hr,Whole-worm,29 hours,N2,Continuous 1,GSM1277180
SRR1041229,47793774,2437482474,51,1527,SRX385612,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033412,PRJNA230377,24440504,"",SRS509718,SAMN02428695,simple,6239,Caenorhabditis elegans,GSM1277179,GEO,SRA115007,03,2014,Hendriks,Whole-worm,RNASeq_riboM_contDevA_N2_27hr,Whole-worm,30 hours,N2,Continuous 1,GSM1277181
SRR1041230,45324044,2311526244,51,1452,SRX385613,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033412,PRJNA230377,24440504,"",SRS509719,SAMN02428704,simple,6239,Caenorhabditis elegans,GSM1277180,GEO,SRA115007,03,2014,Hendriks,Whole-worm,RNASeq_riboM_contDevA_N2_28hr,Whole-worm,31 hours,N2,Continuous 1,GSM1277182
