Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype,treatment,time,geo_loc_name,collection_date
SRR19898982,28684447,2180017972,76,843,SRX15941918,GSM6281257,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384209,PRJNA854146,1,"",SRS13628893,SAMN29419653,simple,7227,Drosophila melanogaster,GSM6281257,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446205,06,2023,Makar,whole larvae,LSD 8h rep1,whole larvae,whole larvae,WT,low sugar,8h,missing,missing
SRR19898981,24982202,1898647352,76,736,SRX15941919,GSM6281258,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384209,PRJNA854146,1,"",SRS13628894,SAMN29419652,simple,7227,Drosophila melanogaster,GSM6281258,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446205,06,2023,Makar,whole larvae,LSD 8h rep2,whole larvae,whole larvae,WT,low sugar,8h,missing,missing
SRR19898980,22973309,1745971484,76,675,SRX15941920,GSM6281259,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384209,PRJNA854146,1,"",SRS13628895,SAMN29419651,simple,7227,Drosophila melanogaster,GSM6281259,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446205,06,2023,Makar,whole larvae,LSD 8h rep3,whole larvae,whole larvae,WT,low sugar,8h,missing,missing
SRR19898979,18608481,1414244556,76,554,SRX15941921,GSM6281260,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384209,PRJNA854146,1,"",SRS13628896,SAMN29419650,simple,7227,Drosophila melanogaster,GSM6281260,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446205,06,2023,Makar,whole larvae,LSD 8h rep4,whole larvae,whole larvae,WT,low sugar,8h,missing,missing
SRR19898978,21217318,1612516168,76,627,SRX15941922,GSM6281261,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384209,PRJNA854146,1,"",SRS13628897,SAMN29419649,simple,7227,Drosophila melanogaster,GSM6281261,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446205,06,2023,Makar,whole larvae,HSD 4h rep1,whole larvae,whole larvae,WT,high sugar,4h,missing,missing
SRR19898977,24614522,1870703672,76,725,SRX15941923,GSM6281262,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384209,PRJNA854146,1,"",SRS13628898,SAMN29419648,simple,7227,Drosophila melanogaster,GSM6281262,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446205,06,2023,Makar,whole larvae,HSD 4h rep2,whole larvae,whole larvae,WT,high sugar,4h,missing,missing
SRR19898976,27383740,2081164240,76,810,SRX15941924,GSM6281263,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384209,PRJNA854146,1,"",SRS13628900,SAMN29419647,simple,7227,Drosophila melanogaster,GSM6281263,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446205,06,2023,Makar,whole larvae,HSD 4h rep3,whole larvae,whole larvae,WT,high sugar,4h,missing,missing
SRR19898975,19169004,1456844304,76,566,SRX15941925,GSM6281264,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384209,PRJNA854146,1,"",SRS13628899,SAMN29419646,simple,7227,Drosophila melanogaster,GSM6281264,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446205,06,2023,Makar,whole larvae,HSD 4h rep4,whole larvae,whole larvae,WT,high sugar,4h,missing,missing
SRR19898974,22504280,1710325280,76,667,SRX15941926,GSM6281265,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384209,PRJNA854146,1,"",SRS13628901,SAMN29419645,simple,7227,Drosophila melanogaster,GSM6281265,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446205,06,2023,Makar,whole larvae,HSD 8h rep1,whole larvae,whole larvae,WT,high sugar,8h,missing,missing
SRR19898973,20359878,1547350728,76,606,SRX15941927,GSM6281266,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384209,PRJNA854146,1,"",SRS13628902,SAMN29419644,simple,7227,Drosophila melanogaster,GSM6281266,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446205,06,2023,Makar,whole larvae,HSD 8h rep2,whole larvae,whole larvae,WT,high sugar,8h,missing,missing
SRR19898972,21278738,1617184088,76,633,SRX15941928,GSM6281267,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384209,PRJNA854146,1,"",SRS13628903,SAMN29419643,simple,7227,Drosophila melanogaster,GSM6281267,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446205,06,2023,Makar,whole larvae,HSD 8h rep3,whole larvae,whole larvae,WT,high sugar,8h,missing,missing
SRR19898971,23140916,1758709616,76,693,SRX15941929,GSM6281268,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384209,PRJNA854146,1,"",SRS13628904,SAMN29419642,simple,7227,Drosophila melanogaster,GSM6281268,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446205,06,2023,Makar,whole larvae,HSD 8h rep4,whole larvae,whole larvae,WT,high sugar,8h,missing,missing
SRR19898970,23123051,1757351876,76,687,SRX15941930,GSM6281269,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384209,PRJNA854146,1,"",SRS13628905,SAMN29419641,simple,7227,Drosophila melanogaster,GSM6281269,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446205,06,2023,Makar,whole larvae,HSD 16h rep1,whole larvae,whole larvae,WT,high sugar,16h,missing,missing
SRR19898969,25652115,1949560740,76,762,SRX15941931,GSM6281270,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384209,PRJNA854146,1,"",SRS13628906,SAMN29419640,simple,7227,Drosophila melanogaster,GSM6281270,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446205,06,2023,Makar,whole larvae,HSD 16h rep2,whole larvae,whole larvae,WT,high sugar,16h,missing,missing
SRR19898968,22808166,1733420616,76,678,SRX15941932,GSM6281271,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP384209,PRJNA854146,1,"",SRS13628907,SAMN29419639,simple,7227,Drosophila melanogaster,GSM6281271,"Hietakangas lab, Department of Biosciences (Genetics), University of Helsinki",SRA1446205,06,2023,Makar,whole larvae,HSD 16h rep3,whole larvae,whole larvae,WT,high sugar,16h,missing,missing
