Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,antibody,GEO Accession
SRR6497056,17231076,861553800,50,279,SRX3586130,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854823,SAMN08379262,simple,9606,Homo sapiens,GSM2942714,GEO,SRA650456,12,2018,Tan,Lin28B_X0_Polysome_Human,Lin28B_X0_Polysome_Human,Lin28B_X0_Polysome_Human,HEK293A,,GSM2942714
SRR6497057,17336036,866801800,50,284,SRX3586131,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854827,SAMN08379261,simple,9606,Homo sapiens,GSM2942715,GEO,SRA650456,12,2018,Tan,Lin28B_X1_Polysome_Human,Lin28B_X1_Polysome_Human,Lin28B_X1_Polysome_Human,HEK293A,,GSM2942715
SRR6497058,13174871,658743550,50,214,SRX3586132,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854819,SAMN08379260,simple,9606,Homo sapiens,GSM2942716,GEO,SRA650456,12,2018,Tan,Lin28B_X2_Polysome_Human,Lin28B_X2_Polysome_Human,Lin28B_X2_Polysome_Human,HEK293A,,GSM2942716
SRR6497059,21054078,1052703900,50,344,SRX3586133,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854826,SAMN08379259,simple,9606,Homo sapiens,GSM2942717,GEO,SRA650456,12,2018,Tan,Lin28B_X3_Polysome_Human,Lin28B_X3_Polysome_Human,Lin28B_X3_Polysome_Human,HEK293A,,GSM2942717
SRR6497060,15671864,783593200,50,255,SRX3586134,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854824,SAMN08379258,simple,9606,Homo sapiens,GSM2942718,GEO,SRA650456,12,2018,Tan,Lin28B_X4_Polysome_Human,Lin28B_X4_Polysome_Human,Lin28B_X4_Polysome_Human,HEK293A,,GSM2942718
SRR6497061,56230384,2811519200,50,912,SRX3586135,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854852,SAMN08379257,simple,9606,Homo sapiens,GSM2942719,GEO,SRA650456,12,2018,Tan,Lin28B_X0_Total_RNA_Human,Lin28B_X0_Total_RNA_Human,Lin28B_X0_Total_RNA_Human,HEK293A,,GSM2942719
SRR6497062,52958116,2647905800,50,862,SRX3586136,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854850,SAMN08379256,simple,9606,Homo sapiens,GSM2942720,GEO,SRA650456,12,2018,Tan,Lin28B_X1_Total_RNA_Human,Lin28B_X1_Total_RNA_Human,Lin28B_X1_Total_RNA_Human,HEK293A,,GSM2942720
SRR6497063,78651688,3932584400,50,1269,SRX3586137,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854830,SAMN08379255,simple,9606,Homo sapiens,GSM2942721,GEO,SRA650456,12,2018,Tan,Lin28B_X2_Total_RNA_Human,Lin28B_X2_Total_RNA_Human,Lin28B_X2_Total_RNA_Human,HEK293A,,GSM2942721
SRR6497064,73015716,3650785800,50,1187,SRX3586138,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854828,SAMN08379254,simple,9606,Homo sapiens,GSM2942722,GEO,SRA650456,12,2018,Tan,Lin28B_X3_Total_RNA_Human,Lin28B_X3_Total_RNA_Human,Lin28B_X3_Total_RNA_Human,HEK293A,,GSM2942722
SRR6497065,60634166,3031708300,50,987,SRX3586139,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131042,PRJNA430874,30527666,"",SRS2854832,SAMN08379253,simple,9606,Homo sapiens,GSM2942723,GEO,SRA650456,12,2018,Tan,Lin28B_X4_Total_RNA_Human,Lin28B_X4_Total_RNA_Human,Lin28B_X4_Total_RNA_Human,HEK293A,,GSM2942723
