Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype/variation,rna source,growth condition,molecule subtype,strain,substrain,GEO Accession
SRR11915743,18495146,924757300,50,462,SRX8462260,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP265779,PRJNA636967,32965213,"",SRS6763496,SAMN15091161,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4588303,GEO,SRA1082721,10,2020,Saito,StRP_WT_5min,StRP_WT_5min [ks5],StRP_WT_5min,wild type,monosome fraction,"37 C in arabinose, 37 in glucose for 10 min, 37 in glucose for 5 min",mRNA: ribosome footprints,K-12,MG1655,GSM4588303
SRR11915744,9760065,488003250,50,244,SRX8462261,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP265779,PRJNA636967,32965213,"",SRS6763497,SAMN15091160,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4588304,GEO,SRA1082721,10,2020,Saito,StRP_WT_15min,StRP_WT_15min [ks6],StRP_WT_15min,wild type,monosome fraction,"37 C in arabinose, 37 in glucose for 10 min, 37 in glucose for 15 min",mRNA: ribosome footprints,K-12,MG1655,GSM4588304
SRR11915745,12609432,630471600,50,316,SRX8462262,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP265779,PRJNA636967,32965213,"",SRS6763498,SAMN15091159,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4588305,GEO,SRA1082721,10,2020,Saito,StRP_WT_60min,StRP_WT_60min [ks7],StRP_WT_60min,wild type,monosome fraction,"37 C in arabinose, 37 in glucose for 10 min, 37 in glucose for 60 min",mRNA: ribosome footprints,K-12,MG1655,GSM4588305
SRR11915746,5059808,252990400,50,127,SRX8462263,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP265779,PRJNA636967,32965213,"",SRS6763499,SAMN15091158,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4588306,GEO,SRA1082721,10,2020,Saito,StRP_RRFKD_5min,StRP_RRFKD_5min [ks8],StRP_RRFKD_5min,RRFKD,monosome fraction,"37 C in arabinose, 37 in glucose for 10 min, 37 in glucose for 5 min",mRNA: ribosome footprints,K-12,MG1655,GSM4588306
SRR11915747,16621487,831074350,50,415,SRX8462264,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP265779,PRJNA636967,32965213,"",SRS6763500,SAMN15091157,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4588307,GEO,SRA1082721,10,2020,Saito,StRP_RRFKD_15min,StRP_RRFKD_15min [ks9],StRP_RRFKD_15min,RRFKD,monosome fraction,"37 C in arabinose, 37 in glucose for 10 min, 37 in glucose for 15 min",mRNA: ribosome footprints,K-12,MG1655,GSM4588307
SRR11915748,17381575,869078750,50,436,SRX8462265,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP265779,PRJNA636967,32965213,"",SRS6763501,SAMN15091156,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4588308,GEO,SRA1082721,10,2020,Saito,StRP_RRFKD_60min,StRP_RRFKD_60min [ks10],StRP_RRFKD_60min,RRFKD,monosome fraction,"37 C in arabinose, 37 in glucose for 10 min, 37 in glucose for 60 min",mRNA: ribosome footprints,K-12,MG1655,GSM4588308
SRR11915749,41304153,2065207650,50,1020,SRX8462266,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP265779,PRJNA636967,32965213,"",SRS6763502,SAMN15091155,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4588309,GEO,SRA1082721,10,2020,Saito,HighSaltRP_WT_5min,HighSaltRP_WT_5min [ks11],HighSaltRP_WT_5min,wild type,monosome fraction,"37 C in arabinose, 37 in glucose for 10 min, 37 in glucose for 5 min",mRNA: ribosome footprints,K-12,MG1655,GSM4588309
SRR11915750,30678414,1533920700,50,759,SRX8462267,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP265779,PRJNA636967,32965213,"",SRS6763503,SAMN15091154,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4588310,GEO,SRA1082721,10,2020,Saito,HighSaltRP_WT_15min,HighSaltRP_WT_15min [ks12],HighSaltRP_WT_15min,wild type,monosome fraction,"37 C in arabinose, 37 in glucose for 10 min, 37 in glucose for 15 min",mRNA: ribosome footprints,K-12,MG1655,GSM4588310
SRR11915751,24678394,1233919700,50,615,SRX8462268,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP265779,PRJNA636967,32965213,"",SRS6763504,SAMN15091153,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4588311,GEO,SRA1082721,10,2020,Saito,HighSaltRP_WT_60min,HighSaltRP_WT_60min [ks13],HighSaltRP_WT_60min,wild type,monosome fraction,"37 C in arabinose, 37 in glucose for 10 min, 37 in glucose for 60 min",mRNA: ribosome footprints,K-12,MG1655,GSM4588311
SRR11915752,12378224,618911200,50,310,SRX8462269,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP265779,PRJNA636967,32965213,"",SRS6763505,SAMN15091152,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM4588312,GEO,SRA1082721,10,2020,Saito,HighSaltRP_RRFKD_5min,HighSaltRP_RRFKD_5min [ks14],HighSaltRP_RRFKD_5min,RRFKD,monosome fraction,"37 C in arabinose, 37 in glucose for 10 min, 37 in glucose for 5 min",mRNA: ribosome footprints,K-12,MG1655,GSM4588312
