Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,sub_species,type-material,GEO Accession
SRR12300489,25408288,1270414400,50,614,SRX8803527,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS7070054,SAMN15615310,simple,1423,Bacillus subtilis,GSM4684796,GEO,SRA1006055,09,2020,Parker,"","GEO accession GSM4684796 is currently private and is scheduled to be released on Jul 23, 2020.",168 relA D264G,168,subtilis,type strain of Bacillus subtilis,GSM4684796
SRR12300490,16060071,803003550,50,377,SRX8803528,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS7070055,SAMN15615309,simple,1423,Bacillus subtilis,GSM4684797,GEO,SRA1006055,09,2020,Parker,"","GEO accession GSM4684797 is currently private and is scheduled to be released on Jul 23, 2020.",168 Wildtype,168,subtilis,type strain of Bacillus subtilis,GSM4684797
SRR12300491,9974346,498717300,50,234,SRX8803529,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS7070056,SAMN15615308,simple,1423,Bacillus subtilis,GSM4684798,GEO,SRA1006055,09,2020,Parker,"","GEO accession GSM4684798 is currently private and is scheduled to be released on Jul 23, 2020.",Inducible argS with 15 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4684798
SRR12300492,7403632,370181600,50,175,SRX8803530,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS7070057,SAMN15615307,simple,1423,Bacillus subtilis,GSM4684799,GEO,SRA1006055,09,2020,Parker,"","GEO accession GSM4684799 is currently private and is scheduled to be released on Jul 23, 2020.",Inducible argS with 30 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4684799
SRR12300493,14532980,726649000,50,342,SRX8803531,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS7070058,SAMN15615306,simple,1423,Bacillus subtilis,GSM4684800,GEO,SRA1006055,09,2020,Parker,"","GEO accession GSM4684800 is currently private and is scheduled to be released on Jul 23, 2020.",Inducible argS with 500 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4684800
SRR12300494,8900444,445022200,50,209,SRX8803532,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS7070059,SAMN15615305,simple,1423,Bacillus subtilis,GSM4684801,GEO,SRA1006055,09,2020,Parker,"","GEO accession GSM4684801 is currently private and is scheduled to be released on Jul 23, 2020.",168 Wildtype with 500 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4684801
SRR12300495,9816278,490813900,50,231,SRX8803533,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS7070060,SAMN15615304,simple,1423,Bacillus subtilis,GSM4684802,GEO,SRA1006055,09,2020,Parker,"","GEO accession GSM4684802 is currently private and is scheduled to be released on Jul 23, 2020.",Inducible ileS with 10 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4684802
SRR12300496,7598895,379944750,50,179,SRX8803534,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS7070061,SAMN15615303,simple,1423,Bacillus subtilis,GSM4684803,GEO,SRA1006055,09,2020,Parker,"","GEO accession GSM4684803 is currently private and is scheduled to be released on Jul 23, 2020.",Inducible ileS with 15 μM IPTG + relA D264G mutation,168,subtilis,type strain of Bacillus subtilis,GSM4684803
SRR12300497,7730327,386516350,50,182,SRX8803535,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS7070062,SAMN15615302,simple,1423,Bacillus subtilis,GSM4684804,GEO,SRA1006055,09,2020,Parker,"","GEO accession GSM4684804 is currently private and is scheduled to be released on Jul 23, 2020.",Inducible ileS with 15 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4684804
SRR12300498,7137648,356882400,50,168,SRX8803536,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP234570,PRJNA593256,32726597,"",SRS7070063,SAMN15615301,simple,1423,Bacillus subtilis,GSM4684805,GEO,SRA1006055,09,2020,Parker,"","GEO accession GSM4684805 is currently private and is scheduled to be released on Jul 23, 2020.",Inducible ileS with 30 μM IPTG,168,subtilis,type strain of Bacillus subtilis,GSM4684805
