Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,genotype,treatment
SRR23678244,141255854,4449114959,31,1683,SRX19541052,GSM7074843,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP425191,PRJNA940173,1,"",SRS16926823,SAMN33556626,simple,9606,Homo sapiens,GSM7074843,"Molecular and Cell Biology, University of California, Berkeley",SRA1597937,03,2023,Makar,K562,"K562 CEBPA reporter cell line, nontargeting sgRNA ribo RNAseI, biol rep 1",K562,K562,myeloid leukemia cells,WT,RNAseI
SRR23678243,82033859,2433600869,29,941,SRX19541053,GSM7074844,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP425191,PRJNA940173,1,"",SRS16926824,SAMN33556625,simple,9606,Homo sapiens,GSM7074844,"Molecular and Cell Biology, University of California, Berkeley",SRA1597937,03,2023,Makar,K562,"K562 CEBPA reporter cell line, nontargeting sgRNA ribo RNAseI, biol rep 2",K562,K562,myeloid leukemia cells,WT,RNAseI
SRR23678242,28292863,673506087,23,294,SRX19541054,GSM7074845,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP425191,PRJNA940173,1,"",SRS16926825,SAMN33556624,simple,9606,Homo sapiens,GSM7074845,"Molecular and Cell Biology, University of California, Berkeley",SRA1597937,03,2023,Makar,K562,"K562 CEBPA reporter cell line, nontargeting sgRNA ribo RNAseI, biol rep 3",K562,K562,myeloid leukemia cells,WT,RNAseI
SRR23678241,156010751,4497121982,28,1809,SRX19541055,GSM7074846,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP425191,PRJNA940173,1,"",SRS16926826,SAMN33556623,simple,9606,Homo sapiens,GSM7074846,"Molecular and Cell Biology, University of California, Berkeley",SRA1597937,03,2023,Makar,K562,"K562 CEBPA reporter cell line, PELO sgRNA ribo RNAseI, biol rep 1",K562,K562,myeloid leukemia cells,PELO knockdown,RNAseI
SRR23678240,71587924,2092834520,29,838,SRX19541056,GSM7074847,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP425191,PRJNA940173,1,"",SRS16926827,SAMN33556622,simple,9606,Homo sapiens,GSM7074847,"Molecular and Cell Biology, University of California, Berkeley",SRA1597937,03,2023,Makar,K562,"K562 CEBPA reporter cell line, PELO sgRNA ribo RNAseI, biol rep 2",K562,K562,myeloid leukemia cells,PELO knockdown,RNAseI
SRR23678239,48693546,1371078587,28,554,SRX19541057,GSM7074848,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP425191,PRJNA940173,1,"",SRS16926828,SAMN33556621,simple,9606,Homo sapiens,GSM7074848,"Molecular and Cell Biology, University of California, Berkeley",SRA1597937,03,2023,Makar,K562,"K562 CEBPA reporter cell line, PELO sgRNA ribo RNAseI, biol rep 3",K562,K562,myeloid leukemia cells,PELO knockdown,RNAseI
SRR23678238,22840344,2291657956,100,682,SRX19541058,GSM7074849,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP425191,PRJNA940173,1,"",SRS16926829,SAMN33556620,simple,9606,Homo sapiens,GSM7074849,"Molecular and Cell Biology, University of California, Berkeley",SRA1597937,03,2023,Makar,K562,"K562 CEBPA reporter cell line, nontargeting sgRNA mRNA RNAseI, biol rep 1",K562,K562,myeloid leukemia cells,WT,RNAseI
SRR23678237,22745525,2281494180,100,678,SRX19541059,GSM7074850,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP425191,PRJNA940173,1,"",SRS16926830,SAMN33556619,simple,9606,Homo sapiens,GSM7074850,"Molecular and Cell Biology, University of California, Berkeley",SRA1597937,03,2023,Makar,K562,"K562 CEBPA reporter cell line, nontargeting sgRNA mRNA RNAseI, biol rep 2",K562,K562,myeloid leukemia cells,WT,RNAseI
SRR23678236,24000255,2408931776,100,717,SRX19541060,GSM7074851,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP425191,PRJNA940173,1,"",SRS16926831,SAMN33556618,simple,9606,Homo sapiens,GSM7074851,"Molecular and Cell Biology, University of California, Berkeley",SRA1597937,03,2023,Makar,K562,"K562 CEBPA reporter cell line, nontargeting sgRNA mRNA RNAseI, biol rep 3",K562,K562,myeloid leukemia cells,WT,RNAseI
SRR23678235,31359806,3148100644,100,932,SRX19541061,GSM7074852,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP425191,PRJNA940173,1,"",SRS16926832,SAMN33556617,simple,9606,Homo sapiens,GSM7074852,"Molecular and Cell Biology, University of California, Berkeley",SRA1597937,03,2023,Makar,K562,"K562 CEBPA reporter cell line, PELO sgRNA mRNA RNAseI, biol rep 1",K562,K562,myeloid leukemia cells,PELO knockdown,RNAseI
SRR23678233,17129659,1719148058,100,513,SRX19541062,GSM7074853,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP425191,PRJNA940173,1,"",SRS16926833,SAMN33556616,simple,9606,Homo sapiens,GSM7074853,"Molecular and Cell Biology, University of California, Berkeley",SRA1597937,03,2023,Makar,K562,"K562 CEBPA reporter cell line, PELO sgRNA mRNA RNAseI, biol rep 2",K562,K562,myeloid leukemia cells,PELO knockdown,RNAseI
SRR23678232,19145287,1921358938,100,568,SRX19541063,GSM7074854,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP425191,PRJNA940173,1,"",SRS16926834,SAMN33556615,simple,9606,Homo sapiens,GSM7074854,"Molecular and Cell Biology, University of California, Berkeley",SRA1597937,03,2023,Makar,K562,"K562 CEBPA reporter cell line, PELO sgRNA mRNA RNAseI, biol rep 3",K562,K562,myeloid leukemia cells,PELO knockdown,RNAseI
SRR23678231,39603146,1364836931,34,492,SRX19541064,GSM7074855,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP425191,PRJNA940173,1,"",SRS16926835,SAMN33556614,simple,9606,Homo sapiens,GSM7074855,"Molecular and Cell Biology, University of California, Berkeley",SRA1597937,03,2023,Makar,K562,"K562 CEBPA reporter cell line, nontargeting sgRNA ribo PI, biol rep 1",K562,K562,myeloid leukemia cells,WT,PI
SRR23678230,135527534,4698107009,34,1674,SRX19541065,GSM7074856,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP425191,PRJNA940173,1,"",SRS16926836,SAMN33556613,simple,9606,Homo sapiens,GSM7074856,"Molecular and Cell Biology, University of California, Berkeley",SRA1597937,03,2023,Makar,K562,"K562 CEBPA reporter cell line, nontargeting sgRNA ribo PI, biol rep 2",K562,K562,myeloid leukemia cells,WT,PI
SRR23678229,33624423,1168158468,34,422,SRX19541066,GSM7074857,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP425191,PRJNA940173,1,"",SRS16926837,SAMN33556612,simple,9606,Homo sapiens,GSM7074857,"Molecular and Cell Biology, University of California, Berkeley",SRA1597937,03,2023,Makar,K562,"K562 CEBPA reporter cell line, nontargeting sgRNA ribo PI, biol rep 3",K562,K562,myeloid leukemia cells,WT,PI
SRR23678228,79573484,2710045196,34,990,SRX19541067,GSM7074858,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP425191,PRJNA940173,1,"",SRS16926838,SAMN33556611,simple,9606,Homo sapiens,GSM7074858,"Molecular and Cell Biology, University of California, Berkeley",SRA1597937,03,2023,Makar,K562,"K562 CEBPA reporter cell line, PELO sgRNA ribo PI, biol rep 1",K562,K562,myeloid leukemia cells,PELO knockdown,PI
SRR23678227,92397755,3110779654,33,1147,SRX19541068,GSM7074859,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP425191,PRJNA940173,1,"",SRS16926839,SAMN33556610,simple,9606,Homo sapiens,GSM7074859,"Molecular and Cell Biology, University of California, Berkeley",SRA1597937,03,2023,Makar,K562,"K562 CEBPA reporter cell line, PELO sgRNA ribo PI, biol rep 2",K562,K562,myeloid leukemia cells,PELO knockdown,PI
