Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,GEO Accession
SRR1528660,25002237,1275114087,51,884,SRX663275,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044935,PRJNA256318,28274951,"",SRS668148,SAMN02943076,simple,9606,Homo sapiens,GSM1446854,GEO,SRA176906,07,2017,Loayza-Puch,MCF10A siCtrl batch4 RP,MCF10A siCtrl batch4 RP,MCF10A siCtrl batch4 RP,MCF10A,GSM1446854
SRR1528661,24534239,1251246189,51,873,SRX663275,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044935,PRJNA256318,28274951,"",SRS668148,SAMN02943076,simple,9606,Homo sapiens,GSM1446854,GEO,SRA176906,07,2017,Loayza-Puch,MCF10A siCtrl batch4 RP,MCF10A siCtrl batch4 RP,MCF10A siCtrl TGFb batch4 RP,MCF10A,GSM1446855
SRR1528662,14915605,760695855,51,516,SRX663276,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044935,PRJNA256318,28274951,"",SRS668149,SAMN02943077,simple,9606,Homo sapiens,GSM1446855,GEO,SRA176906,07,2017,Loayza-Puch,MCF10A siCtrl TGFb batch4 RP,MCF10A siCtrl TGFb batch4 RP,MCF10A siSLC3A2 batch4 RP,MCF10A,GSM1446856
SRR1528663,14513930,740210430,51,506,SRX663276,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044935,PRJNA256318,28274951,"",SRS668149,SAMN02943077,simple,9606,Homo sapiens,GSM1446855,GEO,SRA176906,07,2017,Loayza-Puch,MCF10A siCtrl TGFb batch4 RP,MCF10A siCtrl TGFb batch4 RP,MCF10A siSLC3A2 TGFb batch4 RP,MCF10A,GSM1446857
SRR1528664,14325884,730620084,51,493,SRX663277,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044935,PRJNA256318,28274951,"",SRS668151,SAMN02943078,simple,9606,Homo sapiens,GSM1446856,GEO,SRA176906,07,2017,Loayza-Puch,MCF10A siSLC3A2 batch4 RP,MCF10A siSLC3A2 batch4 RP,MCF10A siCtrl batch4 RNAseq,MCF10A,GSM1446858
SRR1528665,13969620,712450620,51,484,SRX663277,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044935,PRJNA256318,28274951,"",SRS668151,SAMN02943078,simple,9606,Homo sapiens,GSM1446856,GEO,SRA176906,07,2017,Loayza-Puch,MCF10A siSLC3A2 batch4 RP,MCF10A siSLC3A2 batch4 RP,MCF10A siCtrl TGFb batch4 RNAseq,MCF10A,GSM1446859
SRR1528666,14646826,746988126,51,473,SRX663278,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044935,PRJNA256318,28274951,"",SRS668150,SAMN02943079,simple,9606,Homo sapiens,GSM1446857,GEO,SRA176906,07,2017,Loayza-Puch,MCF10A siSLC3A2 TGFb batch4 RP,MCF10A siSLC3A2 TGFb batch4 RP,MCF10A siSLC3A2 batch4 RNAseq,MCF10A,GSM1446860
SRR1528667,14424736,735661536,51,471,SRX663278,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044935,PRJNA256318,28274951,"",SRS668150,SAMN02943079,simple,9606,Homo sapiens,GSM1446857,GEO,SRA176906,07,2017,Loayza-Puch,MCF10A siSLC3A2 TGFb batch4 RP,MCF10A siSLC3A2 TGFb batch4 RP,MCF10A siSLC3A2 TGFb batch4 RNAseq,MCF10A,GSM1446861
SRR1528668,30422071,1551525621,51,1074,SRX663279,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044935,PRJNA256318,28274951,"",SRS668155,SAMN02943080,simple,9606,Homo sapiens,GSM1446858,GEO,SRA176906,07,2017,Loayza-Puch,MCF10A siCtrl batch4 RNAseq,MCF10A siCtrl batch4 RNAseq,MCF10A control batch5 RP,MCF10A,GSM1446862
SRR1528669,31946664,1629279864,51,1129,SRX663280,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP044935,PRJNA256318,28274951,"",SRS668152,SAMN02943081,simple,9606,Homo sapiens,GSM1446859,GEO,SRA176906,07,2017,Loayza-Puch,MCF10A siCtrl TGFb batch4 RNAseq,MCF10A siCtrl TGFb batch4 RNAseq,MCF10A TGFb batch5 RP,MCF10A,GSM1446863
