Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,cell line,common name,genotype,protocol,sample name,Experimental Factor: immunoprecipitate,Experimental Factor: protocol,Experimental Factor: genotype
ERR690841,35746761,1501492731,42,990,ERX635817,U2OS_noFBS,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP008887,PRJEB7901,1,"",ERS620473,SAMEA3158521,simple,9606,Homo sapiens,SAMEA3158521,University of Dundee,ERA390450,01,2015,Makar,"",U2OS_noFBS,2015-01-09,2018-03-08,SAMEA3158521,University of Dundee,University of Dundee,2015-01-09T17:01:37Z,2018-03-08T22:15:06Z,public,E-MTAB-3135:U2OS_noFBS,ArrayExpress,U2OS,human,wild type genotype,no FBS addition before cycloheximide addition,E-MTAB-3135:U2OS_noFBS,none,no FBS addition before cycloheximide addition,wild type genotype
ERR690844,17892015,894600750,50,563,ERX635818,Kc167_RpS8_IP,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP008887,PRJEB7901,1,"",ERS620474,SAMEA3158522,simple,7227,Drosophila melanogaster,SAMEA3158522,University of Dundee,ERA390450,01,2015,Makar,"",Kc167_RpS8_IP,2015-01-09,2018-03-08,SAMEA3158522,University of Dundee,University of Dundee,2015-01-09T17:01:37Z,2018-03-08T22:15:07Z,public,E-MTAB-3135:Kc167_RpS8_IP,ArrayExpress,Kc167,fruit fly,tagged RpS8 expression,control conditions with micrococcal nuclease,E-MTAB-3135:Kc167_RpS8_IP,tagged RpS8 ORF,control conditions with micrococcal nuclease,tagged RpS8 expression
ERR690842,26409796,1091305175,41,719,ERX635819,U2OS_100mMKCl,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP008887,PRJEB7901,1,"",ERS620475,SAMEA3158523,simple,9606,Homo sapiens,SAMEA3158523,University of Dundee,ERA390450,01,2015,Makar,"",U2OS_100mMKCl,2015-01-09,2018-03-08,SAMEA3158523,University of Dundee,University of Dundee,2015-01-09T17:01:37Z,2018-03-08T22:15:07Z,public,E-MTAB-3135:U2OS_100mMKCl,ArrayExpress,U2OS,human,wild type genotype,100 mM KCl in lysis buffer,E-MTAB-3135:U2OS_100mMKCl,none,100 mM KCl in lysis buffer,wild type genotype
ERR690845,28857974,1211680419,41,734,ERX635820,U2OS_100mMNaCl,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP008887,PRJEB7901,1,"",ERS620476,SAMEA3158524,simple,9606,Homo sapiens,SAMEA3158524,University of Dundee,ERA390450,01,2015,Makar,"",U2OS_100mMNaCl,2015-01-09,2018-03-08,SAMEA3158524,University of Dundee,University of Dundee,2015-01-09T17:01:37Z,2018-03-08T22:15:07Z,public,E-MTAB-3135:U2OS_100mMNaCl,ArrayExpress,U2OS,human,wild type genotype,100 mM NaCl in lysis buffer,E-MTAB-3135:U2OS_100mMNaCl,none,100 mM NaCl in lysis buffer,wild type genotype
ERR690840,25280023,1021558545,40,625,ERX635821,U2OS_repl1,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP008887,PRJEB7901,1,"",ERS620477,SAMEA3158525,simple,9606,Homo sapiens,SAMEA3158525,University of Dundee,ERA390450,01,2015,Makar,"",U2OS_repl1,2015-01-09,2018-03-08,SAMEA3158525,University of Dundee,University of Dundee,2015-01-09T17:01:37Z,2018-03-08T22:15:07Z,public,E-MTAB-3135:U2OS_repl1,ArrayExpress,U2OS,human,wild type genotype,control conditions with micrococcal nuclease,E-MTAB-3135:U2OS_repl1,none,control conditions with micrococcal nuclease,wild type genotype
ERR690843,41635111,1767120715,42,1163,ERX635822,U2OS_Triton,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP008887,PRJEB7901,1,"",ERS620478,SAMEA3158526,simple,9606,Homo sapiens,SAMEA3158526,University of Dundee,ERA390450,01,2015,Makar,"",U2OS_Triton,2015-01-09,2018-03-08,SAMEA3158526,University of Dundee,University of Dundee,2015-01-09T17:01:37Z,2018-03-08T22:15:07Z,public,E-MTAB-3135:U2OS_Triton,ArrayExpress,U2OS,human,wild type genotype,TritonX100 as detergent in lysis buffer,E-MTAB-3135:U2OS_Triton,none,TritonX100 as detergent in lysis buffer,wild type genotype
ERR690837,37936421,1605643078,42,1057,ERX635823,U2OS_high_MN,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP008887,PRJEB7901,1,"",ERS620479,SAMEA3158527,simple,9606,Homo sapiens,SAMEA3158527,University of Dundee,ERA390450,01,2015,Makar,"",U2OS_high_MN,2015-01-09,2018-03-08,SAMEA3158527,University of Dundee,University of Dundee,2015-01-09T17:01:37Z,2018-03-08T22:15:26Z,public,E-MTAB-3135:U2OS_high_MN,ArrayExpress,U2OS,human,wild type genotype,higher micrococcal nuclease concentration,E-MTAB-3135:U2OS_high_MN,none,higher micrococcal nuclease concentration,wild type genotype
ERR690847,21139991,1056999550,50,697,ERX635824,Kc167_RpL13_IP,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP008887,PRJEB7901,1,"",ERS620480,SAMEA3158528,simple,7227,Drosophila melanogaster,SAMEA3158528,University of Dundee,ERA390450,01,2015,Makar,"",Kc167_RpL13_IP,2015-01-09,2018-03-08,SAMEA3158528,University of Dundee,University of Dundee,2015-01-09T17:01:37Z,2018-03-08T22:15:26Z,public,E-MTAB-3135:Kc167_RpL13_IP,ArrayExpress,Kc167,fruit fly,tagged RpL13 expression,control conditions with micrococcal nuclease,E-MTAB-3135:Kc167_RpL13_IP,tagged RpL13 ORF,control conditions with micrococcal nuclease,tagged RpL13 expression
ERR690839,32022179,1375229104,42,829,ERX635825,HeLa,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP008887,PRJEB7901,1,"",ERS620481,SAMEA3158529,simple,9606,Homo sapiens,SAMEA3158529,University of Dundee,ERA390450,01,2015,Makar,"",HeLa,2015-01-09,2018-03-08,SAMEA3158529,University of Dundee,University of Dundee,2015-01-09T17:01:37Z,2018-03-08T22:15:26Z,public,E-MTAB-3135:HeLa,ArrayExpress,HeLa,human,wild type genotype,control conditions with micrococcal nuclease,E-MTAB-3135:HeLa,none,control conditions with micrococcal nuclease,wild type genotype
ERR690838,30886959,1260889555,40,768,ERX635826,U2OS_repl2,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP008887,PRJEB7901,1,"",ERS620482,SAMEA3158530,simple,9606,Homo sapiens,SAMEA3158530,University of Dundee,ERA390450,01,2015,Makar,"",U2OS_repl2,2015-01-09,2018-03-08,SAMEA3158530,University of Dundee,University of Dundee,2015-01-09T17:01:37Z,2018-03-08T22:15:26Z,public,E-MTAB-3135:U2OS_repl2,ArrayExpress,U2OS,human,wild type genotype,control conditions with micrococcal nuclease,E-MTAB-3135:U2OS_repl2,none,control conditions with micrococcal nuclease,wild type genotype
