Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,rna purification,agent,GEO Accession
SRR1248252,48019277,2400963850,50,1392,SRX520312,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041255,PRJNA244865,25079319,"",SRS593886,SAMN02729302,simple,9606,Homo sapiens,GSM1370695,GEO,SRA158276,07,2014,Wolfe,KOPT-K1 cell line,DMSO treated 1_RF,KOPT-K1 cell line,KOPT-K1 T-ALL cell line,Ribosome protected RNA fragments,control,GSM1370695
SRR1248253,50374980,2518749000,50,1447,SRX520313,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041255,PRJNA244865,25079319,"",SRS593887,SAMN02729308,simple,9606,Homo sapiens,GSM1370696,GEO,SRA158276,07,2014,Wolfe,KOPT-K1 cell line,DMSO treated 2_RF,KOPT-K1 cell line,KOPT-K1 T-ALL cell line,Ribosome protected RNA fragments,control,GSM1370696
SRR1248254,68317045,3415852250,50,2030,SRX520314,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041255,PRJNA244865,25079319,"",SRS593888,SAMN02729312,simple,9606,Homo sapiens,GSM1370697,GEO,SRA158276,07,2014,Wolfe,KOPT-K1 cell line,Silvestrol (25 nM) treated 1_RF,KOPT-K1 cell line,KOPT-K1 T-ALL cell line,Ribosome protected RNA fragments,Silvestrol,GSM1370697
SRR1248255,58390098,2919504900,50,1764,SRX520315,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041255,PRJNA244865,25079319,"",SRS593889,SAMN02729303,simple,9606,Homo sapiens,GSM1370698,GEO,SRA158276,07,2014,Wolfe,KOPT-K1 cell line,Silvestrol (25 nM) treated 2_RF,KOPT-K1 cell line,KOPT-K1 T-ALL cell line,Ribosome protected RNA fragments,Silvestrol,GSM1370698
SRR1248256,35757982,3575798200,50,2356,SRX520316,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041255,PRJNA244865,25079319,"",SRS593890,SAMN02729307,simple,9606,Homo sapiens,GSM1370699,GEO,SRA158276,07,2014,Wolfe,KOPT-K1 cell line,DMSO treated 1_RNA,KOPT-K1 cell line,KOPT-K1 T-ALL cell line,Total RNA,control,GSM1370699
SRR1248257,35981723,3598172300,50,2390,SRX520316,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041255,PRJNA244865,25079319,"",SRS593890,SAMN02729307,simple,9606,Homo sapiens,GSM1370699,GEO,SRA158276,07,2014,Wolfe,KOPT-K1 cell line,DMSO treated 1_RNA,KOPT-K1 cell line,KOPT-K1 T-ALL cell line,Total RNA,control,GSM1370700
SRR1248258,36005660,3600566000,50,2403,SRX520316,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041255,PRJNA244865,25079319,"",SRS593890,SAMN02729307,simple,9606,Homo sapiens,GSM1370699,GEO,SRA158276,07,2014,Wolfe,KOPT-K1 cell line,DMSO treated 1_RNA,KOPT-K1 cell line,KOPT-K1 T-ALL cell line,Total RNA,control,GSM1370701
SRR1248259,43610478,4361047800,50,2894,SRX520317,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041255,PRJNA244865,25079319,"",SRS593891,SAMN02729310,simple,9606,Homo sapiens,GSM1370700,GEO,SRA158276,07,2014,Wolfe,KOPT-K1 cell line,DMSO treated 2_RNA,KOPT-K1 cell line,KOPT-K1 T-ALL cell line,Total RNA,Silvestrol,GSM1370702
SRR1248260,42243797,4224379700,50,2810,SRX520317,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041255,PRJNA244865,25079319,"",SRS593891,SAMN02729310,simple,9606,Homo sapiens,GSM1370700,GEO,SRA158276,07,2014,Wolfe,KOPT-K1 cell line,DMSO treated 2_RNA,KOPT-K1 cell line,KOPT-K1 T-ALL cell line,Total RNA,Silvestrol,GSM1370703
SRR1248261,43355547,4335554700,50,2905,SRX520317,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041255,PRJNA244865,25079319,"",SRS593891,SAMN02729310,simple,9606,Homo sapiens,GSM1370700,GEO,SRA158276,07,2014,Wolfe,KOPT-K1 cell line,DMSO treated 2_RNA,KOPT-K1 cell line,KOPT-K1 T-ALL cell line,Total RNA,Silvestrol,GSM1370704
SRR1248262,32364567,3236456700,50,2142,SRX520318,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041255,PRJNA244865,25079319,"",SRS593892,SAMN02729305,simple,9606,Homo sapiens,GSM1370701,GEO,SRA158276,07,2014,Wolfe,KOPT-K1 cell line,DMSO treated 3_RNA,KOPT-K1 cell line,KOPT-K1 T-ALL cell line,Ribosome protected RNA fragments,control,GSM1370695
SRR1248263,30824781,3082478100,50,2045,SRX520318,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041255,PRJNA244865,25079319,"",SRS593892,SAMN02729305,simple,9606,Homo sapiens,GSM1370701,GEO,SRA158276,07,2014,Wolfe,KOPT-K1 cell line,DMSO treated 3_RNA,KOPT-K1 cell line,KOPT-K1 T-ALL cell line,Ribosome protected RNA fragments,control,GSM1370696
SRR1248264,31995436,3199543600,50,2139,SRX520318,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041255,PRJNA244865,25079319,"",SRS593892,SAMN02729305,simple,9606,Homo sapiens,GSM1370701,GEO,SRA158276,07,2014,Wolfe,KOPT-K1 cell line,DMSO treated 3_RNA,KOPT-K1 cell line,KOPT-K1 T-ALL cell line,Ribosome protected RNA fragments,Silvestrol,GSM1370697
SRR1248265,25294490,2529449000,50,1673,SRX520319,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041255,PRJNA244865,25079319,"",SRS593893,SAMN02729304,simple,9606,Homo sapiens,GSM1370702,GEO,SRA158276,07,2014,Wolfe,KOPT-K1 cell line,Silvestrol (25 nM) treated 1_RNA,KOPT-K1 cell line,KOPT-K1 T-ALL cell line,Ribosome protected RNA fragments,Silvestrol,GSM1370698
SRR1248266,24882455,2488245500,50,1651,SRX520319,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041255,PRJNA244865,25079319,"",SRS593893,SAMN02729304,simple,9606,Homo sapiens,GSM1370702,GEO,SRA158276,07,2014,Wolfe,KOPT-K1 cell line,Silvestrol (25 nM) treated 1_RNA,KOPT-K1 cell line,KOPT-K1 T-ALL cell line,Total RNA,control,GSM1370699
SRR1248267,25289713,2528971300,50,1690,SRX520319,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041255,PRJNA244865,25079319,"",SRS593893,SAMN02729304,simple,9606,Homo sapiens,GSM1370702,GEO,SRA158276,07,2014,Wolfe,KOPT-K1 cell line,Silvestrol (25 nM) treated 1_RNA,KOPT-K1 cell line,KOPT-K1 T-ALL cell line,Total RNA,control,GSM1370700
SRR1248268,35646087,3564608700,50,2362,SRX520320,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041255,PRJNA244865,25079319,"",SRS593894,SAMN02729311,simple,9606,Homo sapiens,GSM1370703,GEO,SRA158276,07,2014,Wolfe,KOPT-K1 cell line,Silvestrol (25 nM) treated 2_RNA,KOPT-K1 cell line,KOPT-K1 T-ALL cell line,Total RNA,control,GSM1370701
SRR1248269,34701799,3470179900,50,2305,SRX520320,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041255,PRJNA244865,25079319,"",SRS593894,SAMN02729311,simple,9606,Homo sapiens,GSM1370703,GEO,SRA158276,07,2014,Wolfe,KOPT-K1 cell line,Silvestrol (25 nM) treated 2_RNA,KOPT-K1 cell line,KOPT-K1 T-ALL cell line,Total RNA,Silvestrol,GSM1370702
SRR1248270,35495143,3549514300,50,2375,SRX520320,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041255,PRJNA244865,25079319,"",SRS593894,SAMN02729311,simple,9606,Homo sapiens,GSM1370703,GEO,SRA158276,07,2014,Wolfe,KOPT-K1 cell line,Silvestrol (25 nM) treated 2_RNA,KOPT-K1 cell line,KOPT-K1 T-ALL cell line,Total RNA,Silvestrol,GSM1370703
SRR1248271,30510420,3051042000,50,2021,SRX520321,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041255,PRJNA244865,25079319,"",SRS593895,SAMN02729315,simple,9606,Homo sapiens,GSM1370704,GEO,SRA158276,07,2014,Wolfe,KOPT-K1 cell line,Silvestrol (25 nM) treated 3_RNA,KOPT-K1 cell line,KOPT-K1 T-ALL cell line,Total RNA,Silvestrol,GSM1370704
SRR1248272,29136699,2913669900,50,1935,SRX520321,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041255,PRJNA244865,25079319,"",SRS593895,SAMN02729315,simple,9606,Homo sapiens,GSM1370704,GEO,SRA158276,07,2014,Wolfe,KOPT-K1 cell line,Silvestrol (25 nM) treated 3_RNA,KOPT-K1 cell line,KOPT-K1 T-ALL cell line,Ribosome protected RNA fragments,control,GSM1370695
SRR1248273,30172686,3017268600,50,2020,SRX520321,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041255,PRJNA244865,25079319,"",SRS593895,SAMN02729315,simple,9606,Homo sapiens,GSM1370704,GEO,SRA158276,07,2014,Wolfe,KOPT-K1 cell line,Silvestrol (25 nM) treated 3_RNA,KOPT-K1 cell line,KOPT-K1 T-ALL cell line,Ribosome protected RNA fragments,control,GSM1370696
