Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,collection_date,collected_by,geo_loc_name,isolation_source,lat_lon,host_disease,strain,host,Experiment,age,dev_stage,sex,tissue,BioSampleModel
SRR1587303,60519383,3025969150,50,2512,SRX711438,,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB SOLiD 4 System,SRP047332,PRJNA260933,1,"",SRS706501,SAMN03067516,simple,1416333,Trypanosoma cruzi Dm28c,Trypansoma_cruzi_epimastigotes_RNAseq,Facultad de Ciencias. Universidad de la República,SRA185345,06,2015,Makar,"","",na,na,na,Axenic Culture,na,Chagas Disease,DM28c,Mammal,epimastigotes RNAseq,missing,missing,missing,missing,Model organism or animal
SRR1587304,66463404,3323170200,50,2772,SRX711439,,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB SOLiD 4 System,SRP047332,PRJNA260933,1,"",SRS706501,SAMN03067516,simple,1416333,Trypanosoma cruzi Dm28c,Trypansoma_cruzi_epimastigotes_RNAseq,Facultad de Ciencias. Universidad de la República,SRA185345,06,2015,Makar,"","",na,na,na,Axenic Culture,na,Chagas Disease,DM28c,Mammal,epimastigotes RNAseq,missing,missing,missing,missing,Model organism or animal
SRR1587294,11642674,582133700,50,481,SRX711440,,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB SOLiD 4 System,SRP047332,PRJNA260933,1,"",SRS706503,SAMN03067517,simple,1416333,Trypanosoma cruzi Dm28c,Trypansoma_cruzi_metacyclic_trypomastigotes_RNAseq,Facultad de Ciencias. Universidad de la República,SRA185345,06,2015,Makar,"","",na,na,na,Axenic Culture,na,Chagas Disease,DM28c,Mammal,metacyclic trypomastigotes RNAseq,missing,missing,missing,missing,Model organism or animal
SRR1587295,204109,10205450,50,8,SRX711441,,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB SOLiD 4 System,SRP047332,PRJNA260933,1,"",SRS706503,SAMN03067517,simple,1416333,Trypanosoma cruzi Dm28c,Trypansoma_cruzi_metacyclic_trypomastigotes_RNAseq,Facultad de Ciencias. Universidad de la República,SRA185345,06,2015,Makar,"","",na,na,na,Axenic Culture,na,Chagas Disease,DM28c,Mammal,metacyclic trypomastigotes RNAseq,missing,missing,missing,missing,Model organism or animal
SRR1587296,13670646,683532300,50,565,SRX711441,,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB SOLiD 4 System,SRP047332,PRJNA260933,1,"",SRS706503,SAMN03067517,simple,1416333,Trypanosoma cruzi Dm28c,Trypansoma_cruzi_metacyclic_trypomastigotes_RNAseq,Facultad de Ciencias. Universidad de la República,SRA185345,06,2015,Makar,"","",na,na,na,Axenic Culture,na,Chagas Disease,DM28c,Mammal,epimastigotes Ribo-seq,missing,missing,missing,missing,Model organism or animal
SRR1587306,182381480,9119074000,50,7451,SRX711442,,OTHER,size fractionation,OTHER,SINGLE,0,0,ABI_SOLID,AB SOLiD 4 System,SRP047332,PRJNA260933,1,"",SRS706506,SAMN03067518,simple,1416333,Trypanosoma cruzi Dm28c,Trypansoma_cruzi_epimastigotes_Ribo-seq,Facultad de Ciencias. Universidad de la República,SRA185345,06,2015,Makar,"","",na,na,na,Axenic Culture,na,Chagas Disease,DM28c,Mammal,epimastigotes Ribo-seq,missing,missing,missing,missing,Model organism or animal
SRR1587307,225425090,11271254500,50,9358,SRX711443,,OTHER,size fractionation,OTHER,SINGLE,0,0,ABI_SOLID,AB SOLiD 4 System,SRP047332,PRJNA260933,1,"",SRS706506,SAMN03067518,simple,1416333,Trypanosoma cruzi Dm28c,Trypansoma_cruzi_epimastigotes_Ribo-seq,Facultad de Ciencias. Universidad de la República,SRA185345,06,2015,Makar,"","",na,na,na,Axenic Culture,na,Chagas Disease,DM28c,Mammal,metacyclic trypomastigotes Ribo-seq,missing,missing,missing,missing,Model organism or animal
SRR1587299,48991692,2449584600,50,1919,SRX711577,,OTHER,size fractionation,OTHER,SINGLE,0,0,ABI_SOLID,AB SOLiD 4 System,SRP047332,PRJNA260933,1,"",SRS706507,SAMN03067519,simple,1416333,Trypanosoma cruzi Dm28c,Trypansoma_cruzi _metacyclic_trypomastigotes_Ribo-seq,Facultad de Ciencias. Universidad de la República,SRA185345,06,2015,Makar,"","",na,na,na,Axenic Culture,na,Chagas Disease,DM28c,Mammal,metacyclic trypomastigotes Ribo-seq,missing,missing,missing,missing,Model organism or animal
SRR1587300,48571354,2428567700,50,1895,SRX711577,,OTHER,size fractionation,OTHER,SINGLE,0,0,ABI_SOLID,AB SOLiD 4 System,SRP047332,PRJNA260933,1,"",SRS706507,SAMN03067519,simple,1416333,Trypanosoma cruzi Dm28c,Trypansoma_cruzi _metacyclic_trypomastigotes_Ribo-seq,Facultad de Ciencias. Universidad de la República,SRA185345,06,2015,Makar,"","",na,na,na,Axenic Culture,na,Chagas Disease,DM28c,Mammal,epimastigotes RNAseq,missing,missing,missing,missing,Model organism or animal
SRR1587301,185469996,9273499800,50,7552,SRX711578,,OTHER,size fractionation,OTHER,SINGLE,0,0,ABI_SOLID,AB SOLiD 4 System,SRP047332,PRJNA260933,1,"",SRS706507,SAMN03067519,simple,1416333,Trypanosoma cruzi Dm28c,Trypansoma_cruzi _metacyclic_trypomastigotes_Ribo-seq,Facultad de Ciencias. Universidad de la República,SRA185345,06,2015,Makar,"","",na,na,na,Axenic Culture,na,Chagas Disease,DM28c,Mammal,metacyclic trypomastigotes RNAseq,missing,missing,missing,missing,Model organism or animal
SRR1587302,52475038,2623751900,50,2187,SRX707261,,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB SOLiD 4 System,SRP047332,PRJNA260933,1,"",SRS706501,SAMN03067516,simple,1416333,Trypanosoma cruzi Dm28c,Trypansoma_cruzi_epimastigotes_RNAseq,Facultad de Ciencias. Universidad de la República,SRA185345,06,2015,Makar,"","",na,na,na,Axenic Culture,na,Chagas Disease,DM28c,Mammal,epimastigotes Ribo-seq,missing,missing,missing,missing,Model organism or animal
SRR1587293,22415042,1120752100,50,924,SRX707265,,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,0,0,ABI_SOLID,AB SOLiD 4 System,SRP047332,PRJNA260933,1,"",SRS706503,SAMN03067517,simple,1416333,Trypanosoma cruzi Dm28c,Trypansoma_cruzi_metacyclic_trypomastigotes_RNAseq,Facultad de Ciencias. Universidad de la República,SRA185345,06,2015,Makar,"","",na,na,na,Axenic Culture,na,Chagas Disease,DM28c,Mammal,metacyclic trypomastigotes Ribo-seq,missing,missing,missing,missing,Model organism or animal
SRR1587305,182299881,9114994050,50,7369,SRX707268,,OTHER,size fractionation,OTHER,SINGLE,0,0,ABI_SOLID,AB SOLiD 4 System,SRP047332,PRJNA260933,1,"",SRS706506,SAMN03067518,simple,1416333,Trypanosoma cruzi Dm28c,Trypansoma_cruzi_epimastigotes_Ribo-seq,Facultad de Ciencias. Universidad de la República,SRA185345,06,2015,Makar,"","",na,na,na,Axenic Culture,na,Chagas Disease,DM28c,Mammal,epimastigotes RNAseq,missing,missing,missing,missing,Model organism or animal
SRR1587297,49439371,2471968550,50,1918,SRX707271,,OTHER,size fractionation,OTHER,SINGLE,0,0,ABI_SOLID,AB SOLiD 4 System,SRP047332,PRJNA260933,1,"",SRS706507,SAMN03067519,simple,1416333,Trypanosoma cruzi Dm28c,Trypansoma_cruzi _metacyclic_trypomastigotes_Ribo-seq,Facultad de Ciencias. Universidad de la República,SRA185345,06,2015,Makar,"","",na,na,na,Axenic Culture,na,Chagas Disease,DM28c,Mammal,epimastigotes RNAseq,missing,missing,missing,missing,Model organism or animal
SRR1587298,37740522,1887026100,50,1483,SRX707271,,OTHER,size fractionation,OTHER,SINGLE,0,0,ABI_SOLID,AB SOLiD 4 System,SRP047332,PRJNA260933,1,"",SRS706507,SAMN03067519,simple,1416333,Trypanosoma cruzi Dm28c,Trypansoma_cruzi _metacyclic_trypomastigotes_Ribo-seq,Facultad de Ciencias. Universidad de la República,SRA185345,06,2015,Makar,"","",na,na,na,Axenic Culture,na,Chagas Disease,DM28c,Mammal,metacyclic trypomastigotes RNAseq,missing,missing,missing,missing,Model organism or animal
