Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,day,sirna,tissue,library strategy,GEO Accession
SRR7907159,52893801,3967035075,75,1591,SRX4743290,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP162708,PRJNA493293,31855834,"",SRS3824413,SAMN10134140,simple,10090,Mus musculus,GSM3402655,GEO,SRA784777,07,2020,Smekalova,d9.RNAseq.cont,d9.RNAseq.cont replicate 1 [d190042.ES34-1],d9.RNAseq.cont,FVB/N,9,scrambled luciferase,liver,RNA-Seq,GSM3402655
SRR7907160,68570074,5142755550,75,2025,SRX4743291,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP162708,PRJNA493293,31855834,"",SRS3824412,SAMN10134139,simple,10090,Mus musculus,GSM3402656,GEO,SRA784777,07,2020,Smekalova,d9.RNAseq.cont,d9.RNAseq.cont replicate 2 [d190043.ES34-2],d9.RNAseq.cont,FVB/N,9,scrambled luciferase,liver,RNA-Seq,GSM3402656
SRR7907161,56855532,4264164900,75,1688,SRX4743292,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP162708,PRJNA493293,31855834,"",SRS3824411,SAMN10134138,simple,10090,Mus musculus,GSM3402657,GEO,SRA784777,07,2020,Smekalova,d9.RNAseq.cont,d9.RNAseq.cont replicate 3 [d190044.ES34-3],d9.RNAseq.cont,FVB/N,9,scrambled luciferase,liver,RNA-Seq,GSM3402657
SRR7907162,65622506,4921687950,75,1951,SRX4743293,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP162708,PRJNA493293,31855834,"",SRS3824414,SAMN10134137,simple,10090,Mus musculus,GSM3402658,GEO,SRA784777,07,2020,Smekalova,d9.RNAseq.Eif3m,d9.RNAseq.Eif3m replicate 1 [d190045.ES34-4],d9.RNAseq.Eif3m,FVB/N,9,Eif3m,liver,RNA-Seq,GSM3402658
SRR7907163,69880012,5241000900,75,2085,SRX4743294,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP162708,PRJNA493293,31855834,"",SRS3824415,SAMN10134136,simple,10090,Mus musculus,GSM3402659,GEO,SRA784777,07,2020,Smekalova,d9.RNAseq.Eif3m,d9.RNAseq.Eif3m replicate 2 [d190046.ES34-5],d9.RNAseq.Eif3m,FVB/N,9,Eif3m,liver,RNA-Seq,GSM3402659
SRR7907164,62127656,4659574200,75,1845,SRX4743295,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP162708,PRJNA493293,31855834,"",SRS3824416,SAMN10134135,simple,10090,Mus musculus,GSM3402660,GEO,SRA784777,07,2020,Smekalova,d9.RNAseq.Eif3m,d9.RNAseq.Eif3m replicate 3 [d190047.ES34-6],d9.RNAseq.Eif3m,FVB/N,9,Eif3m,liver,RNA-Seq,GSM3402660
SRR7907165,23211940,928477600,40,508,SRX4743296,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162708,PRJNA493293,31855834,"",SRS3824417,SAMN10134134,simple,10090,Mus musculus,GSM3402661,GEO,SRA784777,07,2020,Smekalova,d9.Riboseq.cont,d9.Riboseq.cont replicate 1 [d184001.ES34-1],d9.Riboseq.cont,FVB/N,9,scrambled luciferase,liver,Ribo-Seq,GSM3402661
SRR7907166,23412336,936493440,40,513,SRX4743297,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162708,PRJNA493293,31855834,"",SRS3824418,SAMN10134133,simple,10090,Mus musculus,GSM3402662,GEO,SRA784777,07,2020,Smekalova,d9.Riboseq.cont,d9.Riboseq.cont replicate 2 [d184002.ES34-2],d9.Riboseq.cont,FVB/N,9,scrambled luciferase,liver,Ribo-Seq,GSM3402662
SRR7907167,20796887,831875480,40,453,SRX4743298,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162708,PRJNA493293,31855834,"",SRS3824419,SAMN10134132,simple,10090,Mus musculus,GSM3402663,GEO,SRA784777,07,2020,Smekalova,d9.Riboseq.cont,d9.Riboseq.cont replicate 3 [d184003.ES34-3],d9.Riboseq.cont,FVB/N,9,scrambled luciferase,liver,Ribo-Seq,GSM3402663
SRR7907168,19536470,781458800,40,429,SRX4743299,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162708,PRJNA493293,31855834,"",SRS3824420,SAMN10134131,simple,10090,Mus musculus,GSM3402664,GEO,SRA784777,07,2020,Smekalova,d9.Riboseq.Eif3m,d9.Riboseq.Eif3m replicate 1 [d184004.ES34-4],d9.Riboseq.Eif3m,FVB/N,9,Eif3m,liver,Ribo-Seq,GSM3402664
SRR7907169,20675001,827000040,40,451,SRX4743300,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP162708,PRJNA493293,31855834,"",SRS3824421,SAMN10134130,simple,10090,Mus musculus,GSM3402665,GEO,SRA784777,07,2020,Smekalova,d9.Riboseq.Eif3m,d9.Riboseq.Eif3m replicate 2 [d184005.ES34-5],d9.Riboseq.Eif3m,FVB/N,9,Eif3m,liver,Ribo-Seq,GSM3402665
