Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title
SRR522009,14429547,721477350,50,492,SRX160147,Celeg_FED_1_mRNA,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP014427,PRJNA170771,1,"",SRS350385,SAMN01090422,simple,6239,Caenorhabditis elegans,C. elegans,Stanford University,SRA055804,07,2012,Makar,"",Caenorhabditis elegans
SRR522010,15243931,762196550,,517,SRX160148,Celeg_2_FED_mRNA,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP014427,PRJNA170771,1,"",SRS350385,SAMN01090422,simple,6239,Caenorhabditis elegans,C. elegans,Stanford University,SRA055804,07,2012,Makar,"",Caenorhabditis elegans
SRR522011,27043901,1352195050,50,901,SRX160149,Celeg_3_FED_mRNA,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP014427,PRJNA170771,1,"",SRS350385,SAMN01090422,simple,6239,Caenorhabditis elegans,C. elegans,Stanford University,SRA055804,07,2012,Makar,"",Caenorhabditis elegans
SRR522888,97881671,5677136918,58,4045,SRX160157,MS_59,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP014427,PRJNA170771,1,"",SRS350385,SAMN01090422,simple,6239,Caenorhabditis elegans,C. elegans,Stanford University,SRA055804,07,2012,Makar,"",Caenorhabditis elegans
SRR522882,184752725,10715658050,58,7267,SRX160290,MS_60,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP014427,PRJNA170771,1,"",SRS350385,SAMN01090422,simple,6239,Caenorhabditis elegans,C. elegans,Stanford University,SRA055804,07,2015,Makar,"",Caenorhabditis elegans
SRR522151,27313086,983271096,36,521,SRX160291,MS-56,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP014427,PRJNA170771,1,"",SRS350385,SAMN01090422,simple,6239,Caenorhabditis elegans,C. elegans,Stanford University,SRA055804,07,2012,Makar,"",Caenorhabditis elegans
SRR522152,33245137,1196824932,36,684,SRX160292,MS-57,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP014427,PRJNA170771,1,"",SRS350385,SAMN01090422,simple,6239,Caenorhabditis elegans,C. elegans,Stanford University,SRA055804,07,2012,Makar,"",Caenorhabditis elegans
SRR522153,58539675,2107428300,36,1097,SRX160293,MS-32,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP014427,PRJNA170771,1,"",SRS350385,SAMN01090422,simple,6239,Caenorhabditis elegans,C. elegans,Stanford University,SRA055804,07,2015,Makar,"",Caenorhabditis elegans
SRR522881,15787042,568333512,36,284,SRX160510,MS_25,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP014427,PRJNA170771,1,"",SRS350385,SAMN01090422,simple,6239,Caenorhabditis elegans,C. elegans,Stanford University,SRA055804,07,2012,Makar,"",Caenorhabditis elegans
SRR522890,13600895,489632220,36,243,SRX160511,MS-29,RNA-Seq,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP014427,PRJNA170771,1,"",SRS350385,SAMN01090422,simple,6239,Caenorhabditis elegans,C. elegans,Stanford University,SRA055804,07,2012,Makar,"",Caenorhabditis elegans
