Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,breed,age,sex,tissue,genotype,BioSampleModel,treatment
SRR6315852,18868541,491549401,26,252,SRX3415710,eIF1,OTHER,OTHER,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP125469,PRJNA418997,1,"",SRS2708548,SAMN08040353,simple,10090,Mus musculus,eIF1,Johns Hopkins University,SRA633337,01,2019,Makar,"",eIF2s1(S51A/+) 1 TRiP sample from Zdhhc2-EGFPL10a hippocampus,eIF2s1(tm1Rjk),C57BL/6J,8 wk,male,hippocampus,Zdhhc2-EGFPL10a; Eif2s1(S51A/+),Model organism or animal,
SRR6315851,29112445,602010060,20,307,SRX3415711,Trained 3,OTHER,OTHER,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP125469,PRJNA418997,1,"",SRS2708538,SAMN08040335,simple,10090,Mus musculus,Trained 3,Johns Hopkins University,SRA633337,01,2019,Makar,"",Trained 3 TRiP sample from Zdhhc2-EGFPL10a hippocampus,,C57BL/6J,8 wk,male,hippocampus,Zdhhc2-EGFPL10a,Model organism or animal,
SRR6315850,17552184,487498243,27,250,SRX3415712,Na•ve 1,OTHER,OTHER,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP125469,PRJNA418997,1,"",SRS2708539,SAMN08040255,simple,10090,Mus musculus,Naive 1,Johns Hopkins University,SRA633337,01,2019,Makar,"",Naive 1 TRiP sample from Zdhhc2-EGFPL10a hippocampus,,C57BL/6J,8 wk,male,Hippocampus,Zdhhc2-EGFPL10a,Model organism or animal,Naive
SRR6315849,2601304,77705373,29,43,SRX3415713,FP2,OTHER,OTHER,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP125469,PRJNA418997,1,"",SRS2708549,SAMN08040361,simple,10090,Mus musculus,FP2,Johns Hopkins University,SRA633337,01,2019,Makar,"",FP2 trial TRiP experiment 1,,C57BL/6J,8 wk,male,hippocampus,Zdhhc2-EGFPL10a,Model organism or animal,
SRR6315848,642048,19658055,30,13,SRX3415714,FP1,OTHER,OTHER,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP125469,PRJNA418997,1,"",SRS2708540,SAMN08040357,simple,10090,Mus musculus,FP1,Johns Hopkins University,SRA633337,01,2019,Makar,"",FP1 trial TRiP experiment 1,,C57BL/6J,8 wk,male,hippocampus,Zdhhc2-EGFPL10a,Model organism or animal,
SRR6315847,6628200,180389814,27,80,SRX3415715,Hip1,OTHER,OTHER,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP125469,PRJNA418997,1,"",SRS2708541,SAMN08040363,simple,10090,Mus musculus,Hip1,Johns Hopkins University,SRA633337,01,2019,Makar,"",Hip1 total hippocampus Ribosome profiling,,C57BL/6J,8 wk,male,hippocampus,,Model organism or animal,
SRR6315846,43766846,1043090050,23,547,SRX3415716,Trained 2,OTHER,OTHER,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP125469,PRJNA418997,1,"",SRS2708542,SAMN08040334,simple,10090,Mus musculus,Trained 2,Johns Hopkins University,SRA633337,01,2019,Makar,"",Trained 2 TRiP sample from Zdhhc2-EGFPL10a hippocampus,,C57BL/6J,8 wk,male,hippocampus,Zdhhc2-EGFPL10a,Model organism or animal,
SRR6315845,27679604,623219546,22,327,SRX3415717,Trained 1,OTHER,OTHER,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP125469,PRJNA418997,1,"",SRS2708543,SAMN08040333,simple,10090,Mus musculus,Trained 1,Johns Hopkins University,SRA633337,01,2019,Makar,"",Trained 1 TRiP sample from Zdhhc2-EGFPL10a hippocampus,,C57BL/6J,8 wk,male,hippocampus,Zdhhc2-EGFPL10a,Model organism or animal,
SRR6315844,20908935,572604146,27,296,SRX3415718,eIF3,OTHER,OTHER,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP125469,PRJNA418997,1,"",SRS2708544,SAMN08040355,simple,10090,Mus musculus,eIF3,Johns Hopkins University,SRA633337,01,2019,Makar,"",eIF2s1(S51A/+) 3 TRiP sample from Zdhhc2-EGFPL10a hippocampus,eIF2s1(tm1Rjk),C57BL/6J,8 wk,male,hippocampus,Zdhhc2-EGFPL10a; Eif2s1(S51A/+),Model organism or animal,
SRR6315843,16029946,424299838,26,223,SRX3415719,eIF2,OTHER,OTHER,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP125469,PRJNA418997,1,"",SRS2708545,SAMN08040354,simple,10090,Mus musculus,eIF2,Johns Hopkins University,SRA633337,01,2019,Makar,"",eIF2s1(S51A/+) 2 TRiP sample from Zdhhc2-EGFPL10a hippocampus,eIF2s1(tm1Rjk),C57BL/6J,8 wk,male,hippocampus,Zdhhc2-EGFPL10a; Eif2s1(S51A/+),Model organism or animal,
SRR6315842,24751149,476617199,19,244,SRX3415720,Na•ve 3,OTHER,OTHER,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP125469,PRJNA418997,1,"",SRS2708546,SAMN08040332,simple,10090,Mus musculus,Naive 3,Johns Hopkins University,SRA633337,01,2019,Makar,"",Naive 3 TRiP sample from Zdhhc2-EGFPL10a hippocampus,,C57BL/6J,8 wk,male,hippocampus,Zdhhc2-EGFPL10a,Model organism or animal,
SRR6315841,13297229,332997872,25,176,SRX3415721,Na•ve 2,OTHER,OTHER,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP125469,PRJNA418997,1,"",SRS2708547,SAMN08040331,simple,10090,Mus musculus,Naive 2,Johns Hopkins University,SRA633337,01,2019,Makar,"",Naive 2 TRiP sample from Zdhhc2-EGFPL10a hippocampus,,C57BL/6J,8 wk,male,hippocampus,Zdhhc2-EGFPL10a,Model organism or animal,
