Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tumour stage,strain,age,GEO Accession
SRR2163140,29928258,1496412900,50,716,SRX1149703,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062409,PRJNA292862,27306184,"",SRS1034311,SAMN03992957,simple,10090,Mus musculus,GSM1854031,GEO,SRA289137,06,2016,Blanco,mouse skin squamous tumours,Ribosome profile WT1,mouse skin squamous tumours,skin papilloma,C57BL/6,1 month,GSM1854031
SRR2163141,21964135,1098206750,50,527,SRX1149704,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062409,PRJNA292862,27306184,"",SRS1034310,SAMN03992958,simple,10090,Mus musculus,GSM1854032,GEO,SRA289137,06,2016,Blanco,mouse skin squamous tumours,Ribosome profile WT2,mouse skin squamous tumours,skin papilloma,C57BL/6,1 month,GSM1854032
SRR2163142,25647369,1282368450,50,595,SRX1149705,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062409,PRJNA292862,27306184,"",SRS1034309,SAMN03992959,simple,10090,Mus musculus,GSM1854033,GEO,SRA289137,06,2016,Blanco,mouse skin squamous tumours,Ribosome profile WT3,mouse skin squamous tumours,skin papilloma,C57BL/6,1 month,GSM1854033
SRR2163143,15410310,770515500,50,368,SRX1149706,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062409,PRJNA292862,27306184,"",SRS1034308,SAMN03992960,simple,10090,Mus musculus,GSM1854034,GEO,SRA289137,06,2016,Blanco,mouse skin squamous tumours,Ribosome profile NSun2 -/- 1,mouse skin squamous tumours,skin papilloma,C57BL/6,1 month,GSM1854034
SRR2163144,47462955,2373147750,50,1073,SRX1149707,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062409,PRJNA292862,27306184,"",SRS1034307,SAMN03992961,simple,10090,Mus musculus,GSM1854035,GEO,SRA289137,06,2016,Blanco,mouse skin squamous tumours,Ribosome profile NSun2 -/- 2,mouse skin squamous tumours,skin papilloma,C57BL/6,1 month,GSM1854035
SRR2163145,25760601,1288030050,50,595,SRX1149708,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062409,PRJNA292862,27306184,"",SRS1034306,SAMN03992962,simple,10090,Mus musculus,GSM1854036,GEO,SRA289137,06,2016,Blanco,mouse skin squamous tumours,Ribosome profile NSun2 -/- 3,mouse skin squamous tumours,skin papilloma,C57BL/6,1 month,GSM1854036
SRR2163146,33987187,1699359350,50,788,SRX1149709,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062409,PRJNA292862,27306184,"",SRS1034305,SAMN03992963,simple,10090,Mus musculus,GSM1854037,GEO,SRA289137,06,2016,Blanco,mouse skin squamous tumours,mRNA-seq WT1,mouse skin squamous tumours,skin papilloma,C57BL/6,1 month,GSM1854037
SRR2163147,35362097,1768104850,50,825,SRX1149710,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062409,PRJNA292862,27306184,"",SRS1034304,SAMN03992964,simple,10090,Mus musculus,GSM1854038,GEO,SRA289137,06,2016,Blanco,mouse skin squamous tumours,mRNA-seq WT2,mouse skin squamous tumours,skin papilloma,C57BL/6,1 month,GSM1854038
SRR2163148,32450837,1622541850,50,752,SRX1149711,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062409,PRJNA292862,27306184,"",SRS1034303,SAMN03992965,simple,10090,Mus musculus,GSM1854039,GEO,SRA289137,06,2016,Blanco,mouse skin squamous tumours,mRNA-seq WT3,mouse skin squamous tumours,skin papilloma,C57BL/6,1 month,GSM1854039
SRR2163149,18040717,902035850,50,420,SRX1149712,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062409,PRJNA292862,27306184,"",SRS1034302,SAMN03992966,simple,10090,Mus musculus,GSM1854040,GEO,SRA289137,06,2016,Blanco,mouse skin squamous tumours,mRNA-seq NSun2 -/- 1,mouse skin squamous tumours,skin papilloma,C57BL/6,1 month,GSM1854040
SRR2163150,45803575,2290178750,50,1066,SRX1149713,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062409,PRJNA292862,27306184,"",SRS1034301,SAMN03992967,simple,10090,Mus musculus,GSM1854041,GEO,SRA289137,06,2016,Blanco,mouse skin squamous tumours,mRNA-seq NSun2 -/- 2,mouse skin squamous tumours,skin papilloma,C57BL/6,1 month,GSM1854041
SRR2163151,43464558,2173227900,50,997,SRX1149714,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP062409,PRJNA292862,27306184,"",SRS1034300,SAMN03992968,simple,10090,Mus musculus,GSM1854042,GEO,SRA289137,06,2016,Blanco,mouse skin squamous tumours,mRNA-seq NSun2 -/- 3,mouse skin squamous tumours,skin papilloma,C57BL/6,1 month,GSM1854042
