Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,genotype,growth medium,growth temperature,GEO Accession
SRR8545522,15139154,1105158242,73,420,SRX5347624,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP184511,PRJNA521364,31237868,"",SRS4339430,SAMN10884323,simple,1423,Bacillus subtilis,GSM3594054,GEO,SRA846089,05,2019,Hummels,batch culture,DK1042_A RibosomeProfiling,batch culture,batch culture,comIQ12L,Lysogeny Broth,37°C,GSM3594054
SRR8545523,16969803,1238795619,73,474,SRX5347625,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP184511,PRJNA521364,31237868,"",SRS4339431,SAMN10884322,simple,1423,Bacillus subtilis,GSM3594055,GEO,SRA846089,05,2019,Hummels,batch culture,DK1042_B RibosomeProfiling,batch culture,batch culture,comIQ12L,Lysogeny Broth,37°C,GSM3594055
SRR8545524,18470511,1348347303,73,511,SRX5347626,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP184511,PRJNA521364,31237868,"",SRS4339432,SAMN10884321,simple,1423,Bacillus subtilis,GSM3594056,GEO,SRA846089,05,2019,Hummels,batch culture,DK1042_C RibosomeProfiling,batch culture,batch culture,comIQ12L,Lysogeny Broth,37°C,GSM3594056
SRR8545525,26446929,1930625817,73,738,SRX5347627,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP184511,PRJNA521364,31237868,"",SRS4339436,SAMN10884320,simple,1423,Bacillus subtilis,GSM3594057,GEO,SRA846089,05,2019,Hummels,batch culture,DK2050_A RibosomeProfiling,batch culture,batch culture,comIQ12 <delta>efp,Lysogeny Broth,37°C,GSM3594057
SRR8545526,40832065,2980740745,73,1125,SRX5347628,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP184511,PRJNA521364,31237868,"",SRS4339433,SAMN10884319,simple,1423,Bacillus subtilis,GSM3594058,GEO,SRA846089,05,2019,Hummels,batch culture,DK2050_B RibosomeProfiling,batch culture,batch culture,comIQ12 <delta>efp,Lysogeny Broth,37°C,GSM3594058
SRR8545527,24465981,1786016613,73,666,SRX5347629,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP184511,PRJNA521364,31237868,"",SRS4339434,SAMN10884318,simple,1423,Bacillus subtilis,GSM3594059,GEO,SRA846089,05,2019,Hummels,batch culture,DK2050_C RibosomeProfiling,batch culture,batch culture,comIQ12 <delta>efp,Lysogeny Broth,37°C,GSM3594059
SRR8545528,9569316,698560068,73,270,SRX5347630,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP184511,PRJNA521364,31237868,"",SRS4339435,SAMN10884317,simple,1423,Bacillus subtilis,GSM3594060,GEO,SRA846089,05,2019,Hummels,batch culture,DK5518_A RibosomeProfiling,batch culture,batch culture,comIQ12 <delta>efp fliYS164A,Lysogeny Broth,37°C,GSM3594060
SRR8545529,16279544,1188406712,73,448,SRX5347631,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP184511,PRJNA521364,31237868,"",SRS4339437,SAMN10884316,simple,1423,Bacillus subtilis,GSM3594061,GEO,SRA846089,05,2019,Hummels,batch culture,DK5518_B RibosomeProfiling,batch culture,batch culture,comIQ12 <delta>efp fliYS164A,Lysogeny Broth,37°C,GSM3594061
SRR8545530,13356356,975013988,73,375,SRX5347632,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP184511,PRJNA521364,31237868,"",SRS4339439,SAMN10884315,simple,1423,Bacillus subtilis,GSM3594062,GEO,SRA846089,05,2019,Hummels,batch culture,DK5518_C RibosomeProfiling,batch culture,batch culture,comIQ12 <delta>efp fliYS164A,Lysogeny Broth,37°C,GSM3594062
SRR8545531,13029497,951153281,73,362,SRX5347633,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP184511,PRJNA521364,31237868,"",SRS4339438,SAMN10884314,simple,1423,Bacillus subtilis,GSM3594063,GEO,SRA846089,05,2019,Hummels,batch culture,DK5955_A RibosomeProfiling,batch culture,batch culture,comIQ12 <delta>efp nusGN21S,Lysogeny Broth,37°C,GSM3594063
