Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,gene expressed,induction concentration,induction od,induction time
SRR9691451,3937063,299216788,76,107,SRX6450785,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104503,SAMN12283925,simple,562,Escherichia coli,GSM3942200,GEO,SRA921338,07,2022,Makar,atASMT-325G,atASMT-325G-1 [ribosome profiling],atASMT-325G,Gly2,atASMT-325G,1mM Rhamnose,0.3,2hr
SRR9691452,3841586,291960536,76,104,SRX6450785,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104503,SAMN12283925,simple,562,Escherichia coli,GSM3942200,GEO,SRA921338,07,2022,Makar,atASMT-325G,atASMT-325G-1 [ribosome profiling],atASMT-325G,Gly2,atASMT-325G,1mM Rhamnose,0.3,2hr
SRR9691453,3962611,301158436,76,108,SRX6450785,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104503,SAMN12283925,simple,562,Escherichia coli,GSM3942200,GEO,SRA921338,07,2022,Makar,atASMT-325G,atASMT-325G-1 [ribosome profiling],bpTDC,Gly2,bpTDC,1mM Rhamnose,0.3,2hr
SRR9691454,4003507,304266532,76,109,SRX6450785,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104503,SAMN12283925,simple,562,Escherichia coli,GSM3942200,GEO,SRA921338,07,2022,Makar,atASMT-325G,atASMT-325G-1 [ribosome profiling],bpTDC,Gly2,bpTDC,1mM Rhamnose,0.3,2hr
SRR9691455,3037448,230846048,76,83,SRX6450786,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104504,SAMN12283950,simple,562,Escherichia coli,GSM3942201,GEO,SRA921338,07,2022,Makar,atASMT-325G,atASMT-325G-2 [ribosome profiling],BRCA,Gly2,BRCA,1mM Rhamnose,0.3,2hr
SRR9691456,3002511,228190836,76,82,SRX6450786,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104504,SAMN12283950,simple,562,Escherichia coli,GSM3942201,GEO,SRA921338,07,2022,Makar,atASMT-325G,atASMT-325G-2 [ribosome profiling],BRCA,Gly2,BRCA,1mM Rhamnose,0.3,2hr
SRR9691457,2906448,220890048,76,79,SRX6450786,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104504,SAMN12283950,simple,562,Escherichia coli,GSM3942201,GEO,SRA921338,07,2022,Makar,atASMT-325G,atASMT-325G-2 [ribosome profiling],BRCA_v1,Gly2,BRCA_v1,1mM Rhamnose,0.3,2hr
SRR9691458,2975646,226149096,76,81,SRX6450786,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104504,SAMN12283950,simple,562,Escherichia coli,GSM3942201,GEO,SRA921338,07,2022,Makar,atASMT-325G,atASMT-325G-2 [ribosome profiling],BRCA_v1,Gly2,BRCA_v1,1mM Rhamnose,0.3,2hr
SRR9691459,4450103,338207828,76,123,SRX6450787,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104505,SAMN12283949,simple,562,Escherichia coli,GSM3942202,GEO,SRA921338,07,2022,Makar,bpTDC,bpTDC-1 [ribosome profiling],BRCA_v2,Gly2,BRCA_v2,1mM Rhamnose,0.3,2hr
SRR9691460,4898526,372287976,76,129,SRX6450787,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104505,SAMN12283949,simple,562,Escherichia coli,GSM3942202,GEO,SRA921338,07,2022,Makar,bpTDC,bpTDC-1 [ribosome profiling],BRCA_v2,Gly2,BRCA_v2,1mM Rhamnose,0.3,2hr
SRR9691461,4593509,349106684,76,126,SRX6450787,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104505,SAMN12283949,simple,562,Escherichia coli,GSM3942202,GEO,SRA921338,07,2022,Makar,bpTDC,bpTDC-1 [ribosome profiling],btAANAT,Gly2,btAANAT,1mM Rhamnose,0.3,2hr
SRR9691462,4559684,346535984,76,125,SRX6450787,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104505,SAMN12283949,simple,562,Escherichia coli,GSM3942202,GEO,SRA921338,07,2022,Makar,bpTDC,bpTDC-1 [ribosome profiling],btAANAT,Gly2,btAANAT,1mM Rhamnose,0.3,2hr
SRR9691463,4503609,342274284,76,121,SRX6450788,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP214776,PRJNA554781,1,"",SRS5104506,SAMN12283948,simple,562,Escherichia coli,GSM3942203,GEO,SRA921338,07,2022,Makar,bpTDC,bpTDC-2 [ribosome profiling],btASMT,Gly2,btASMT,1mM Rhamnose,0.3,2hr
