Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,host,collection_date,geo_loc_name,sample_type,sample_label,isolate,BioSampleModel,extracted_nucleic_acid,rap_protein,atc_plus/minus,replicate_number,ip/input,time_point
SRR13389631,63691833,12865750266,101,3652,SRX9808734,RAP01KD_RNA_32h_aTc-_rep1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992724,SAMN17266111,simple,36329,Plasmodium falciparum 3D7,RAP01KD_RNAseq_32h_aTc-_rep1,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2019,not applicable,clonal culture,RAP01_32h_aTc-_rep1,3D7,"Microbe, viral or environmental",,,,,,
SRR13389630,59269563,11972451726,101,3438,SRX9808735,RAP01KD_RNA_32h_aTc+_rep1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992725,SAMN17266112,simple,36329,Plasmodium falciparum 3D7,RAP01KD_RNAseq_32h_aTc+_rep1,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2019,not applicable,clonal culture,RAP01_32h_aTc+_rep1,3D7,"Microbe, viral or environmental",,,,,,
SRR13389629,32639241,6593126682,101,2053,SRX9808736,RAP01KD_RNA_56h_aTc-_rep2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992726,SAMN17266121,simple,36329,Plasmodium falciparum 3D7,RAP01KD_RNAseq_56h_aTc-_rep2,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2020,not applicable,clonal culture,RAP01_56h_aTc-_rep2,3D7,"Microbe, viral or environmental",,,,,,
SRR13389628,28926851,5843223902,101,1823,SRX9808737,RAP01KD_RNA_56h_aTc+_rep2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992727,SAMN17266122,simple,36329,Plasmodium falciparum 3D7,RAP01KD_RNAseq_56h_aTc+_rep2,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2020,not applicable,clonal culture,RAP01_56h_aTc+_rep2,3D7,"Microbe, viral or environmental",,,,,,
SRR13389627,29343102,5927306604,101,1830,SRX9808738,RAP01KD_RNA_72h_aTc-_rep2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992728,SAMN17266123,simple,36329,Plasmodium falciparum 3D7,RAP01KD_RNAseq_72h_aTc-_rep2,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2020,not applicable,clonal culture,RAP01_72h_aTc-_rep2,3D7,"Microbe, viral or environmental",,,,,,
SRR13389626,25131402,5076543204,101,1585,SRX9808739,RAP01KD_RNA_72h_aTc+_rep2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992729,SAMN17266124,simple,36329,Plasmodium falciparum 3D7,RAP01KD_RNAseq_72h_aTc+_rep2,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2020,not applicable,clonal culture,RAP01_72h_aTc+_rep2,3D7,"Microbe, viral or environmental",,,,,,
SRR13389625,20289081,4098394362,101,1266,SRX9808740,RAP01KD_RNA_80h_aTc-_rep2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992730,SAMN17266125,simple,36329,Plasmodium falciparum 3D7,RAP01KD_RNAseq_80h_aTc-_rep2,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2020,not applicable,clonal culture,RAP01_80h_aTc-_rep2,3D7,"Microbe, viral or environmental",,,,,,
SRR13389624,13331984,2693060768,101,846,SRX9808741,RAP01KD_RNA_80h_aTc+_rep2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992731,SAMN17266126,simple,36329,Plasmodium falciparum 3D7,RAP01KD_RNAseq_80h_aTc+_rep2,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2020,not applicable,clonal culture,RAP01_80h_aTc+_rep2,3D7,"Microbe, viral or environmental",,,,,,
SRR13389619,83908010,16949418020,101,4779,SRX9808746,RAP01KD_RNA_56h_aTc-_rep1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992736,SAMN17266113,simple,36329,Plasmodium falciparum 3D7,RAP01KD_RNAseq_56h_aTc-_rep1,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2019,not applicable,clonal culture,RAP01_56h_aTc-_rep1,3D7,"Microbe, viral or environmental",,,,,,
SRR13389608,69396247,14018041894,101,3981,SRX9808757,RAP01KD_RNA_56h_aTc+_rep1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP300936,PRJNA690830,1,"",SRS7992746,SAMN17266114,simple,36329,Plasmodium falciparum 3D7,RAP01KD_RNAseq_56h_aTc+_rep1,UC Riverside,SRA1181866,02,2022,Makar,"","",Homo sapiens,2019,not applicable,clonal culture,RAP01_56h_aTc+_rep1,3D7,"Microbe, viral or environmental",,,,,,
