Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,cell type,genotype,treatment,geo_loc_name,collection_date
SRR24190359,257422558,25999678358,101,7592,SRX19987568,GSM7179256,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332744,SAMN34223648,simple,9606,Homo sapiens,GSM7179256,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,"GSC2 t0,t1,t2; GSC20 t0 Riboseq RNA seq",Riboseq_GSC2_20,"GSC2 t0,t1,t2; GSC20 t0 Riboseq RNA seq",Glioblastoma,GSC2,CNS derived tumor,IDH1 wild type EGFR ampllified,"multiplexed sample: t0 none, t1 & t2 irradiated",missing,missing
SRR24412652,318935275,32212462775,101,9708,SRX19987569,GSM7179257,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332745,SAMN34223647,simple,9606,Homo sapiens,GSM7179257,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,"GSC20 t1, t2 Riboseq RNA seq",Riboseq_GSC20_23,"GSC20 t1, t2 Riboseq RNA seq",Glioblastoma,GSC20,CNS derived tumor,IDH1 wild type,"multiplexed sample: t0 none, t1 & t2 irradiated",missing,missing
SRR24190357,134396431,13574039531,101,3960,SRX19987570,GSM7179258,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332743,SAMN34223646,simple,9606,Homo sapiens,GSM7179258,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,"GSC28 t0,t1,t2 Riboseq RNA seq",Riboseq_GSC28,"GSC28 t0,t1,t2 Riboseq RNA seq",Glioblastoma,GSC28,CNS derived tumor,IDH1 wild type,"multiplexed sample: t0 none, t1 & t2 irradiated",missing,missing
SRR24412653,98954057,9994359757,101,3164,SRX19987571,GSM7179259,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332747,SAMN34223645,simple,9606,Homo sapiens,GSM7179259,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,"GSC34 t0,t1,t2 Riboseq RNA seq",Riboseq_GSC34,"GSC34 t0,t1,t2 Riboseq RNA seq",Glioblastoma,GSC34,CNS derived tumor,IDH1 wild type,"multiplexed sample: t0 none, t1 & t2 irradiated",missing,missing
SRR24190355,89181984,9007380384,101,2620,SRX19987572,GSM7179260,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332746,SAMN34223644,simple,9606,Homo sapiens,GSM7179260,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,"VU591 t0,t1,t2 Riboseq RNA seq",Riboseq_VU591,"VU591 t0,t1,t2 Riboseq RNA seq",Glioblastoma,VU591,CNS derived tumor,IDH1 mutant,"multiplexed sample: t0 none, t1 & t2 irradiated",missing,missing
SRR24190354,149896812,15139578012,101,4437,SRX19987573,GSM7179261,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332749,SAMN34223643,simple,9606,Homo sapiens,GSM7179261,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,"VU593 t0,t1,t2 Riboseq RNA seq",Riboseq_VU593,"VU593 t0,t1,t2 Riboseq RNA seq",Glioblastoma,VU593,CNS derived tumor,IDH1 wild type,"multiplexed sample: t0 none, t1 & t2 irradiated",missing,missing
SRR24190353,239125122,24151637322,101,7013,SRX19987574,GSM7179262,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332748,SAMN34223642,simple,9606,Homo sapiens,GSM7179262,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,"VU598 t0,t1,t2 Riboseq RNA seq",Riboseq_VU598,"VU598 t0,t1,t2 Riboseq RNA seq",Glioblastoma,VU598,CNS derived tumor,IDH1 wild type,"multiplexed sample: t0 none, t1 & t2 irradiated",missing,missing
SRR24190352,306537142,30960251342,101,9982,SRX19987575,GSM7179263,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332750,SAMN34223641,simple,9606,Homo sapiens,GSM7179263,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,"VU609 t0,t1,t2 Riboseq RNA seq",Riboseq_VU609,"VU609 t0,t1,t2 Riboseq RNA seq",Glioblastoma,VU609,CNS derived tumor,IDH1 wild type,"multiplexed sample: t0 none, t1 & t2 irradiated",missing,missing
SRR24190351,19751283,3989759166,101,1175,SRX19987576,GSM7179264,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332752,SAMN34223640,simple,9606,Homo sapiens,GSM7179264,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,GSC2 RNA seq not irratiated (t=0 min),RNAseq_GSC2_t_0_S72,GSC2 RNA seq not irratiated (t=0 min),Glioblastoma,GSC2,CNS derived tumor,IDH1 wild type EGFR ampllified,None,missing,missing
SRR24190350,14403421,2909491042,101,846,SRX19987577,GSM7179265,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP433008,PRJNA956494,1,"",SRS17332751,SAMN34223639,simple,9606,Homo sapiens,GSM7179265,"Neuro-oncology Research Group, CCA-Neurosurgery, Cancer Center Amsterdam CCA",SRA1624893,08,2023,Makar,GSC2 RNA seq irradiated (t=30 min),RNAseq_GSC2_t_1_S73,GSC2 RNA seq irradiated (t=30 min),Glioblastoma,GSC2,CNS derived tumor,IDH1 wild type EGFR ampllified,Irradiated,missing,missing
