Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,sex,tissue,BioSampleModel
SRR10970373,10150606,1268825750,125,394,SRX7635867,1R,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP245385,PRJNA603339,1,"",SRS6066586,SAMN13928239,simple,9606,Homo sapiens,1R_CAGATC_WT,Food and Drug Administration,SRA1032624,01,2020,Makar,"","",Wild-type RIBO-SEQ 1,female,Human Embryonic Kidney,Human
SRR10970372,11587026,1448378250,125,452,SRX7635868,1T,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP245385,PRJNA603339,1,"",SRS6066587,SAMN13928240,simple,9606,Homo sapiens,1T_ATCACG_WT,Food and Drug Administration,SRA1032624,01,2020,Makar,"","",Wild-type mRNA-SEQ 1,female,Human Embryonic Kidney,Human
SRR10970371,10805514,1350689250,125,419,SRX7635869,6R,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP245385,PRJNA603339,1,"",SRS6066588,SAMN13928249,simple,9606,Homo sapiens,6R_CTTGTA_c.459G>A,Food and Drug Administration,SRA1032624,01,2020,Makar,"","",c.459G>A RIBO-SEQ 3,female,Human Embryonic Kidney,Human
SRR10970370,12530527,1566315875,125,489,SRX7635870,6T,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP245385,PRJNA603339,1,"",SRS6066589,SAMN13928250,simple,9606,Homo sapiens,6T_GCCAAT_c.459G>A,Food and Drug Administration,SRA1032624,01,2020,Makar,"","",c.459G>A mRNA-SEQ 3,female,Human Embryonic Kidney,Human
SRR10970369,9909859,1238732375,125,385,SRX7635871,2R,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP245385,PRJNA603339,1,"",SRS6066590,SAMN13928241,simple,9606,Homo sapiens,2R_ACTTGA_WT,Food and Drug Administration,SRA1032624,01,2020,Makar,"","",Wild-type RIBO-SEQ 2,female,Human Embryonic Kidney,Human
SRR10970368,11146212,1393276500,125,435,SRX7635872,2T,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP245385,PRJNA603339,1,"",SRS6066591,SAMN13928242,simple,9606,Homo sapiens,2T_CGATGT_WT,Food and Drug Administration,SRA1032624,01,2020,Makar,"","",Wild-type mRNA-SEQ 2,female,Human Embryonic Kidney,Human
SRR10970367,8809303,1101162875,125,342,SRX7635873,3R,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP245385,PRJNA603339,1,"",SRS6066592,SAMN13928243,simple,9606,Homo sapiens,3R_GATCAG_WT,Food and Drug Administration,SRA1032624,01,2020,Makar,"","",Wild-type RIBO-SEQ 3,female,Human Embryonic Kidney,Human
SRR10970366,10864696,1358087000,125,422,SRX7635874,3T,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP245385,PRJNA603339,1,"",SRS6066593,SAMN13928244,simple,9606,Homo sapiens,3T_TTAGGC_WT,Food and Drug Administration,SRA1032624,01,2020,Makar,"","",Wild-type mRNA-SEQ 3,female,Human Embryonic Kidney,Human
SRR10970365,11326473,1415809125,125,441,SRX7635875,4R,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP245385,PRJNA603339,1,"",SRS6066594,SAMN13928245,simple,9606,Homo sapiens,4R_TAGCTT_c.459G>A,Food and Drug Administration,SRA1032624,01,2020,Makar,"","",c.459G>A RIBO-SEQ 1,female,Human Embryonic Kidney,Human
SRR10970364,12179731,1522466375,125,475,SRX7635876,4T,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP245385,PRJNA603339,1,"",SRS6066595,SAMN13928246,simple,9606,Homo sapiens,4T_TGACCA_c.459G>A,Food and Drug Administration,SRA1032624,01,2020,Makar,"","",c.459G>A mRNA-SEQ 1,female,Human Embryonic Kidney,Human
SRR10970363,11121557,1390194625,125,430,SRX7635877,5R,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP245385,PRJNA603339,1,"",SRS6066596,SAMN13928247,simple,9606,Homo sapiens,5R_GGCTAC_c.459G>A,Food and Drug Administration,SRA1032624,01,2020,Makar,"","",c.459G>A RIBO-SEQ 2,female,Human Embryonic Kidney,Human
SRR10970362,15215077,1901884625,125,591,SRX7635878,5T,RNA-Seq,PCR,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP245385,PRJNA603339,1,"",SRS6066597,SAMN13928248,simple,9606,Homo sapiens,5T_ACAGTG_c.459G>A,Food and Drug Administration,SRA1032624,01,2020,Makar,"","",c.459G>A mRNA-SEQ 2,female,Human Embryonic Kidney,Human
